modifier,pollutant,level,HR,HR_lci,HR_uci
Sex,PM[2.5],Male,1.01098112747141,1.0081931581485,1.01377680640124
Sex,PM[2.5],Female,1.00511170508299,1.00232145860363,1.00790971900596
Sex,NO[2],Male,1.00929065286732,1.00579143920194,1.01280204052405
Sex,NO[2],Female,1.01415136201128,1.0106343639544,1.01768059918823
Sex,"Summer
ozone",Male,1.00206702026179,0.99977676289084,1.00436252408278
Sex,"Summer
ozone",Female,1.00353789400001,1.00124900072178,1.00583201977529
Sex,Ox,Male,1.00355528651408,1.00108408320149,1.00603259005932
Sex,Ox,Female,1.00861700657812,1.00611511337108,1.01112512121006
"Dual 
 elegibility",PM[2.5],TRUE,1.00562757710879,1.00301415501496,1.00824780865293
"Dual 
 elegibility",PM[2.5],FALSE,1.00977651514999,1.0071548899054,1.01240496448787
"Dual 
 elegibility",NO[2],TRUE,1.01860061829941,1.01516494407914,1.02204792004624
"Dual 
 elegibility",NO[2],FALSE,0.999986558464436,0.996582407809368,1.00340233710088
"Dual 
 elegibility","Summer
ozone",TRUE,1.00175506293977,0.999618103348759,1.00389659087171
"Dual 
 elegibility","Summer
ozone",FALSE,1.00498130069273,1.00280168002427,1.00716565883457
"Dual 
 elegibility",Ox,TRUE,1.00837407470844,1.00575404300574,1.01100093170423
"Dual 
 elegibility",Ox,FALSE,1.00421864459062,1.00161751504406,1.00682652908587
"Above median 
 population 
 density",PM[2.5],FALSE,0.997053617695862,0.99428863419011,0.99982629025037
"Above median 
 population 
 density",PM[2.5],TRUE,1.01625908951069,1.01342526158504,1.01910084163265
"Above median 
 population 
 density",NO[2],FALSE,1.01434306338046,1.01021614850481,1.0184868374465
"Above median 
 population 
 density",NO[2],TRUE,1.01043395508471,1.00631730922544,1.01456744133118
"Above median 
 population 
 density","Summer
ozone",FALSE,1.00231333900068,0.999995746476885,1.00463630278242
"Above median 
 population 
 density","Summer
ozone",TRUE,1.00383197252981,1.00151761744345,1.00615167573923
"Above median 
 population 
 density",Ox,FALSE,1.00749127486411,1.00478083426521,1.01020902699602
"Above median 
 population 
 density",Ox,TRUE,1.00457870567329,1.00188058695722,1.00728409056928
"Entry age 
 over 85",PM[2.5],FALSE,1.00913257859489,1.00662441508435,1.01164699159044
"Entry age 
 over 85",PM[2.5],TRUE,1.00407913605343,1.00157702405369,1.0065874987601
"Entry age 
 over 85",NO[2],FALSE,1.01438829824712,1.01106372891324,1.01772379939562
"Entry age 
 over 85",NO[2],TRUE,1.00773159135257,1.00444461989417,1.01102931918434
"Entry age 
 over 85","Summer
ozone",FALSE,1.00393185085217,1.00202733654019,1.00583998500028
"Entry age 
 over 85","Summer
ozone",TRUE,0.99946143355832,0.99757027546573,1.00135617684086
"Entry age 
 over 85",Ox,FALSE,1.00737674941704,1.00509700589862,1.00966166381
"Entry age 
 over 85",Ox,TRUE,1.00313439687931,1.0008536347983,1.00542035639928
Race,PM[2.5],Black,1.01440617360524,1.00887979003037,1.01996282928558
Race,PM[2.5],Hispanic,1.00676399294648,1.00129934433957,1.01225846518663
Race,PM[2.5],Others,0.998227671473084,0.992789426762878,1.00369570548677
Race,PM[2.5],White,1.00891402547278,1.0034175625727,1.01444059658058
Race,NO[2],Black,1.02982372994275,1.0237526141184,1.03593084904253
Race,NO[2],Hispanic,1.01158654114504,1.00564640950233,1.01756175983584
Race,NO[2],Others,0.969631518244692,0.963915253331545,0.975381682076281
Race,NO[2],White,0.991153032738514,0.985309892124789,0.997030824676156
Race,"Summer
ozone",Black,0.991278897892382,0.986799396703406,0.995778733438036
Race,"Summer
ozone",Hispanic,1.00367975623145,0.999126421619921,1.00825384182667
Race,"Summer
ozone",Others,0.998717810523946,0.994204693550301,1.00325141445058
Race,"Summer
ozone",White,1.00071264646545,0.996190515005576,1.00525530579888
Race,Ox,Black,1.01334569791913,1.00783427672116,1.01888725875842
Race,Ox,Hispanic,1.006108942442,1.00066354502878,1.01158397254557
Race,Ox,Others,0.977194401823172,0.971879601600702,0.982538266449668
Race,Ox,White,1.0016923738209,0.99624433314312,1.00717020753864
