rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.0108429325711883,1.01090193020754,0.000191723947434638,0.000189976264885869,57.0751960920087,0
mean_bmi,0.0234452652892065,1.02372226607096,0.000696937127270547,0.000690289151992948,33.9644121909163,7.47385676503567e-253
smoke_rate,0.127188233947035,1.1356307619246,0.00899221826950613,0.00890470987251563,14.2832541169703,2.7829680562867e-46
hispanic,0.0152839072075247,1.01540130344582,0.00464709112695967,0.00461341693171368,3.31292563272564,0.000923255255237671
pct_blk,0.12390053954205,1.13190328578122,0.00378324100230769,0.00374669067110888,33.0693271524814,8.20639132001384e-240
medhouseholdincome,1.19734612049829e-06,1.00000119734684,5.59632006088609e-08,5.57017574773675e-08,21.4956614427254,1.70941971104008e-102
medianhousevalue,9.11235296369877e-08,1.00000009112353,7.74576589453845e-09,7.71030273269087e-09,11.8184113900786,3.1355778515143e-32
poverty,-0.1065412798958,0.898937939330846,0.0124479280439186,0.012428736278917,-8.57217318839784,1.01550215181119e-17
education,0.401938733014189,1.49471975289677,0.00642033752967873,0.0063741039652172,63.058076116663,0
popdensity,1.00823356335112e-06,1.00000100823407,7.36731974184829e-08,7.58178748185484e-08,13.2980984466273,2.37430109672231e-40
pct_owner_occ,-0.0271314338984295,0.973233317268759,0.00534869667220621,0.00531565270890494,-5.10406442711694,3.32435012414673e-07
summer_tmmx,-0.0041433795367678,0.995865192417186,0.00034389053123878,0.000340431651020717,-12.1709586178156,4.43839081600006e-34
winter_tmmx,0.0112261822474097,1.01128943229527,0.000178565704840527,0.000177192793586216,63.3557495211982,0
summer_rmax,0.000966374548959085,1.00096684163929,0.000105019996591654,0.000104468633360587,9.25037992622643,2.23696117097505e-20
winter_rmax,-0.000571273593413422,0.999428889552277,0.000104864680271435,0.000103271089721488,-5.53178624292713,3.16986053801364e-08
as.factor(year)2001,0.172971196178134,1.18883186168969,0.00375465309904899,0.00370427999853313,46.6949572512416,0
as.factor(year)2002,0.135722074376418,1.14536352348381,0.00357805015195921,0.00353595904416786,38.3833841628555,1.11253692925361e-308
as.factor(year)2003,0.174601009167041,1.19077101509896,0.00351693991538716,0.00347417244658713,50.2568631383168,0
as.factor(year)2004,0.152869457038925,1.16517286389836,0.00344227977374643,0.00340264424054406,44.9266647442644,0
as.factor(year)2005,0.150003125691367,1.16183787426922,0.00336889449680435,0.00333074439173025,45.0359163146241,0
as.factor(year)2006,0.119875957238786,1.12735700243046,0.00327973588135418,0.00324480378964044,36.9439772048804,9.10015657654312e-299
as.factor(year)2007,0.116391869663888,1.12343602638413,0.0032626622828688,0.00322708104013105,36.0672286244046,7.40620313170415e-285
as.factor(year)2008,0.0916505886994721,1.09598180674132,0.00326917581186634,0.00323582134027233,28.3237481497538,1.76277120990363e-176
as.factor(year)2009,0.0802594207998865,1.08356813132786,0.00328654992812682,0.00324946532971237,24.6992697740187,1.08897970638111e-134
as.factor(year)2010,0.117278285971695,1.12443229989,0.00334765722864469,0.00330888504856721,35.4434452240878,3.66003152484109e-275
as.factor(year)2011,0.0954277541476949,1.10012933938105,0.00340551967343152,0.00336552304401389,28.3545092099215,7.36432794795589e-177
as.factor(year)2012,0.047838267977684,1.0490009845536,0.00326471686330179,0.0032265061846181,14.8266469178785,9.85333012255829e-50
as.factor(year)2013,0.0140075728347778,1.01410613856765,0.00348841565337999,0.00344940594669038,4.06086527687984,4.88911793209171e-05
as.factor(year)2014,0.03133153051481,1.03182752949948,0.00370130118510125,0.00365639612144687,8.56896503391209,1.04419232597441e-17
as.factor(year)2015,0.0561422959362104,1.05774818629685,0.00376389384118723,0.00370994796512918,15.132906570094,9.82579620018506e-52
as.factor(year)2016,,,0,0,,
as.factor(region)NORTHEAST,0.0277064862888383,1.02809388048151,0.00182996448452898,0.00181888942057817,15.2326392002606,2.14744827622735e-52
as.factor(region)SOUTH,-0.0292510383614628,0.971172632275965,0.00210356769451694,0.00208016311952621,-14.0618964382587,6.51175188881112e-45
as.factor(region)WEST,-0.195049744134086,0.822793727876484,0.00331822386829812,0.00329258367741933,-59.2391153098842,0
