rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.00752926893720304,1.00755768515558,8.03740082892092e-05,8.00174574406114e-05,94.0953284199418,0
mean_bmi,0.0263361242747917,1.02668598456469,0.000680811864493897,0.0006746241189182,39.0382192635261,0
smoke_rate,0.149559647610294,1.16132273887229,0.00878411463303335,0.00872294172623628,17.1455516159713,6.78519250276052e-66
hispanic,-0.0425939757689491,0.95830040427185,0.00456692502565963,0.00452291893643596,-9.41736439842385,4.6255258168381e-21
pct_blk,0.0686759796845747,1.07108909828842,0.00376433053686204,0.00370322535283209,18.5449096777364,8.96511668975776e-77
medhouseholdincome,5.70595278420307e-07,1.00000057059544,5.43747367271565e-08,5.41624091397319e-08,10.5348947264928,5.96499808267908e-26
medianhousevalue,8.97574537479155e-08,1.00000008975746,7.39171203253963e-09,7.34789680517728e-09,12.2153938913068,2.57252507249657e-34
poverty,-0.0822398382198485,0.921051028964534,0.0120639082006517,0.0119847564881322,-6.86203664640877,6.78856419015976e-12
education,0.411987895320337,1.50981616037716,0.00624724602166811,0.00619400595199039,66.5139650354951,0
popdensity,-3.82993928027068e-07,0.999999617006145,7.49961741970128e-08,7.57216620172147e-08,-5.05791761332441,4.23859468629649e-07
pct_owner_occ,0.0357538738733096,1.03640072979945,0.00523934279863912,0.00520660143394875,6.86702723972352,6.55535566048375e-12
summer_tmmx,0.000839963408294934,1.00084031627635,0.000330680229862072,0.000329191516215257,2.55159494373386,0.0107231103313478
winter_tmmx,0.0096663991915844,1.00971326972963,0.000171604139958671,0.000170909803230708,56.5584829474989,0
summer_rmax,0.00162539514782377,1.0016267168185,0.000101873717652242,0.000102135834262553,15.9140536674473,5.0626697774079e-57
winter_rmax,-0.000433049408577863,0.999567044343784,9.79510853454627e-05,9.69993565684013e-05,-4.46445650670361,8.02722520849121e-06
as.factor(year)2002,-0.0285707546968939,0.971833529926628,0.00300712753577816,0.00296886871633508,-9.62344833225331,6.3660444157233e-22
as.factor(year)2003,0.00079441367193611,1.00079472930205,0.00293837084087128,0.00289829444053504,0.274096951926477,0.784010116182403
as.factor(year)2004,-0.0122324684563381,0.987842044052501,0.00302802318456758,0.00298338378309806,-4.10019941974592,4.12794273014672e-05
as.factor(year)2005,-0.00860249387355385,0.991434401703077,0.00298499376741481,0.00294128150247022,-2.92474347196251,0.00344740281469522
as.factor(year)2006,-0.0242620548363624,0.976029902885174,0.00314927930306,0.00310558235811789,-7.81240103742286,5.6108695834727e-15
as.factor(year)2007,-0.0176583185888523,0.982496675864119,0.00330912917398001,0.00326514970464112,-5.4081191327162,6.36900562715176e-08
as.factor(year)2008,-0.0479128883525169,0.953216819748473,0.00327941827540556,0.0032423481087161,-14.7772190850567,2.05476468843803e-49
as.factor(year)2009,-0.062452055167937,0.939458103894745,0.00339198791244628,0.00335023950714265,-18.6410717904766,1.49220871841629e-77
as.factor(year)2010,-0.0177095605019667,0.982446332144685,0.00332700394090177,0.00328659297408924,-5.38842522989152,7.1077721477716e-08
as.factor(year)2011,-0.0478792267485072,0.953248907095647,0.00332504091476196,0.00328934783552856,-14.5558418089322,5.36217638016115e-48
as.factor(year)2012,-0.0942782408442657,0.910029519629333,0.00340041003942636,0.00336600326701693,-28.0089570227359,1.26391352696062e-172
as.factor(year)2013,-0.119992155397749,0.886927394282501,0.00344012243897505,0.00341074285101567,-35.1806514413765,3.95250017161724e-271
as.factor(year)2014,-0.0979128775714951,0.906727896649194,0.00354440747543833,0.00351789831795885,-27.8327764823816,1.74098321088476e-170
as.factor(year)2015,-0.0795499504784613,0.92353188795678,0.00346381113180973,0.0034413151997815,-23.1161477110589,3.18583040129148e-118
as.factor(year)2016,-0.170655451153456,0.84311201670567,0.00357289696977368,0.00355039849665476,-48.0665624758037,0
as.factor(region)NORTHEAST,0.0431823259196398,1.04412824914007,0.00176228465708225,0.00176358174096441,24.4855823331589,2.10396639109167e-132
as.factor(region)SOUTH,0.0134920757825941,1.01358350456233,0.00208488319903069,0.0020744662719509,6.50387811314263,7.82753275147694e-11
as.factor(region)WEST,-0.136697849851763,0.872233731872339,0.00321259599757381,0.00321321300804888,-42.5424176702085,0
