rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
pm25,0.00459354811905936,1.00460411463429,0.000223451047371719,0.0010520590847763,4.36624538063475,1.2640047634432e-05
ox,0.000600393685623269,1.00060057395799,0.000124921145956459,0.000642441098353238,0.934550555937737,0.350019970281927
mean_bmi,0.00770708001931404,1.00773685600668,0.000598344846923364,0.00249916749324749,3.08385894108251,0.00204334453475521
smoke_rate,0.02259214678357,1.02284928209348,0.00759602573793286,0.0324504222481294,0.696205017328311,0.486300446001515
hispanic,-0.0590496231255554,0.942659990261399,0.00388212322077494,0.0168248301236894,-3.50967128294588,0.000448660984098359
pct_blk,-0.00782778787913753,0.992202769468275,0.00322384772322527,0.012904092429227,-0.606612818535617,0.544107891332687
medhouseholdincome,8.27723832682135e-08,1.00000008277239,3.91333553112425e-08,1.77943819864256e-07,0.465160202424317,0.641816736285994
medianhousevalue,-7.42132123371924e-08,0.99999992578679,5.07284432526544e-09,2.4239913449758e-08,-3.06161210067907,0.00220148540220097
poverty,-0.03600976593932,0.964630872910552,0.00996066502879678,0.0424844871873337,-0.847597989838886,0.396661894224617
education,0.0674016384270933,1.06972503458596,0.0054734671095172,0.0234562871686442,2.87349988267513,0.00405951228880725
popdensity,-1.37260955172771e-06,0.99999862739139,4.28854334111672e-08,2.13978891036589e-07,-6.41469607155316,1.41104079388531e-10
pct_owner_occ,0.023158455594762,1.0234286947022,0.00423380335110115,0.0185064189924654,1.25137421800461,0.210797979081722
summer_tmmx,0.00254711922644912,1.00255036589059,0.000254286898013857,0.00118852632818204,2.14309028420528,0.0321058494679262
winter_tmmx,-0.00299359772263192,0.997010878623124,0.000135150965507268,0.000631387641837526,-4.74129920237219,2.12352054901308e-06
summer_rmax,-0.000419799774161395,0.999580288329435,7.69890647204384e-05,0.000372457121907021,-1.12710899985473,0.259696398668858
winter_rmax,0.00122501013502758,1.00122576076642,7.42428027976762e-05,0.000357940315679579,3.42238658615975,0.000620739879866909
as.factor(year)2002,0.0357087478065549,1.03635396216616,0.00510980022047915,0.0182756803299305,1.95389430991928,0.0507137176424276
as.factor(year)2003,-0.00825529869794682,0.991778682707173,0.00485647934530755,0.0171247643373838,-0.482067871726871,0.629757732250201
as.factor(year)2004,-0.0295936725165957,0.970839932362048,0.0047453791129739,0.0166811268962143,-1.77408113376992,0.0760497309572776
as.factor(year)2005,-0.00738815719776559,0.992639068145991,0.00455900220786068,0.015573162108119,-0.474415995060746,0.635203289135984
as.factor(year)2006,-0.0264051743579306,0.973940393980081,0.00470428863576251,0.016454401816138,-1.60474836174435,0.108549194205108
as.factor(year)2007,-0.044672295157787,0.956310818175154,0.00469116477056132,0.0164311146894858,-2.71876229957621,0.00655266786506404
as.factor(year)2008,-0.014519823245361,0.985585081043847,0.00469523855826584,0.0163621316368923,-0.887404133372368,0.374861358937844
as.factor(year)2009,-0.0561390693475223,0.945407649522785,0.00463174802977459,0.0161169760692255,-3.4832259541985,0.000495410039791485
as.factor(year)2010,-0.0251017496259851,0.975210679658078,0.00463372199109241,0.0159913142685068,-1.56971148240269,0.11648224867325
as.factor(year)2011,-0.0427138722623345,0.958185514301358,0.00468700505241055,0.0162394865751477,-2.63024770300941,0.00853226748054577
as.factor(year)2012,-0.030834114196086,0.969636408650641,0.00470140427146259,0.0163082039749687,-1.89071183089278,0.058662822284216
as.factor(year)2013,-0.0115051929293986,0.988560738708462,0.00464501481038099,0.0162360776213462,-0.708618990233964,0.478560948461349
as.factor(year)2014,-0.0476305657793637,0.953485972365939,0.0047293351158032,0.0165979231588525,-2.86967021858756,0.00410900102522594
as.factor(year)2015,-0.0120335560628262,0.98803855762174,0.00472439185683647,0.0166189086783406,-0.724088223585317,0.469011573966737
as.factor(year)2016,-0.0297317213001838,0.970705918340776,0.00480491157836968,0.0169880071380718,-1.75015945416882,0.0800908030099678
as.factor(region)NORTHEAST,0.0155113708176643,1.01563229656231,0.0016276732011608,0.00624841290067415,2.48244971390907,0.0130482483149013
as.factor(region)SOUTH,0.0469431989330474,1.04806247632202,0.00171092438561457,0.00704716152813129,6.66129174784155,2.71431210240581e-11
as.factor(region)WEST,-0.00404273089799906,0.9959654299375,0.00246761136732383,0.0112826517065322,-0.358313896693139,0.720108419542657
