rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.00462080189444624,1.00463149426228,0.000164266259797094,0.000163610206013801,28.2427484631152,1.74733721865561e-175
as.factor(above_median_popdensity)TRUE,0.185159812141503,1.20341074440918,0.00847092646170045,0.00842968107419223,21.9652215204649,6.19543655567627e-107
mean_bmi,0.0240692246177612,1.02436122645063,0.000680900384831833,0.000675108175317498,35.6523969013434,2.16313927038344e-278
smoke_rate,0.137243547016939,1.14710748910982,0.00876947757148943,0.00871120363651477,15.7548316792475,6.36285493822589e-56
hispanic,0.0030051411469213,1.00300966111015,0.00459429819209053,0.00454514335277109,0.66117631803387,0.508499246714667
pct_blk,0.110242084285885,1.11654833655067,0.0037675271951644,0.00370246789194044,29.7752978562923,8.16059159273205e-195
medhouseholdincome,9.86676525707235e-07,1.00000098667701,5.44060483530273e-08,5.41566660394926e-08,18.2189303342219,3.65224759468539e-74
medianhousevalue,9.53604226693527e-08,1.00000009536043,7.39788060406104e-09,7.34240871605872e-09,12.9876211413821,1.43828437370243e-38
poverty,-0.114474689449686,0.891834510954724,0.0121224666389549,0.0120449056893283,-9.50399217746553,2.01994416198533e-21
education,0.426940462437136,1.53256141403618,0.00631570510605185,0.0062631035796959,68.1675557500306,0
popdensity,1.17837736122057e-06,1.00000117837806,7.35120503380306e-08,7.40071056700334e-08,15.9224894765438,4.42417856221977e-57
pct_owner_occ,0.025070533527569,1.02538744216727,0.0053965019497724,0.00535927999510258,4.67796673256089,2.89733537239642e-06
summer_tmmx,-0.00182956655751439,0.998172106079158,0.000361413676514189,0.000360113379142327,-5.08052925406944,3.76384765085101e-07
winter_tmmx,0.0103676923086926,1.01042162304856,0.000188308142974945,0.000188113708526159,55.1139647924749,0
summer_rmax,0.000990636868090051,1.00099112771086,0.000102984377232492,0.00010298715444855,9.61903329977868,6.6452735828905e-22
winter_rmax,-0.00145987250200573,0.998541192593491,0.000102271005591009,0.00010110276351243,-14.4394915755814,2.91988028925777e-47
as.factor(year)2002,-0.0475939831716797,0.953520854007225,0.00301127398675521,0.00296626655546779,-16.0450796587881,6.18795003912947e-58
as.factor(year)2003,-0.00843285411038035,0.991602602666567,0.00295236031859449,0.00290500936707858,-2.90286640929521,0.00369764329914403
as.factor(year)2004,-0.0380767794243687,0.962639027183328,0.00302280083825299,0.00297181540807088,-12.8126327499883,1.3932582714396e-37
as.factor(year)2005,-0.0393224939902472,0.961440600329354,0.00296882178599561,0.00291878822321507,-13.4721983861279,2.27975701814199e-41
as.factor(year)2006,-0.0702812280285346,0.932131641497845,0.00309750145728406,0.00304903239557146,-23.0503382419334,1.45945665640472e-117
as.factor(year)2007,-0.0808247340897207,0.922355334726258,0.00321351975852273,0.00316545159741985,-25.533397558693,8.39596537547081e-144
as.factor(year)2008,-0.101678772159438,0.903319676497314,0.00320677056539738,0.00316538458017709,-32.122091197446,2.16746310296796e-226
as.factor(year)2009,-0.1227946681382,0.884445248707049,0.00331039101583044,0.00326523523770942,-37.6066835001882,1.19611789588944e-308
as.factor(year)2010,-0.0744287761742345,0.928273586900767,0.00327887116797731,0.00323648097620195,-22.9968217707795,5.01543772752314e-117
as.factor(year)2011,-0.0976148551723236,0.906998162142934,0.00331485486396785,0.0032772091025888,-29.7859709638954,5.93642537028924e-195
as.factor(year)2012,-0.158675770877659,0.853272970070224,0.00330154279275534,0.00326465216172314,-48.6041890582019,0
as.factor(year)2013,-0.185615121594905,0.830593210861642,0.0033475091744631,0.00331725979672791,-55.9543517749176,0
as.factor(year)2014,-0.1652780239571,0.847658002092025,0.00343911693453931,0.00341010727090118,-48.4671040607535,0
as.factor(year)2015,-0.144131539977773,0.865773856694869,0.00337601049683369,0.00335219487221921,-42.996169814661,0
as.factor(year)2016,-0.248294058557097,0.780130505494823,0.00343299039725942,0.00341100132587435,-72.7921319389846,0
as.factor(region)NORTHEAST,0.0355125215418519,1.03615062225022,0.00176346226719003,0.00176379047382984,20.1342064540926,3.70195224416823e-90
as.factor(region)SOUTH,-0.0208546179112883,0.979361335816699,0.00204130111159914,0.00203007981456235,-10.2728068924641,9.34455356207073e-25
as.factor(region)WEST,-0.16579598590436,0.847219061189806,0.00338838076393745,0.00339338563387399,-48.8585748254855,0
get(pollutants_i):as.factor(above_median_popdensity)TRUE,-0.00254161226226387,0.997461614899538,0.000184640492350892,0.000183553458571295,-13.8467140965185,1.33165795380313e-43
