rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.012450003582551,1.01252782751119,0.000209135949455929,0.000208311194040913,59.7663684847671,0
as.factor(dual)1,,,0,0,,
mean_bmi,0.0233507964123668,1.02362556074618,0.000678366834701408,0.000672136427441466,34.7411559008239,1.88506947121566e-264
smoke_rate,0.139791878483645,1.15003442704006,0.00875857566664062,0.0086966551585696,16.074211974002,3.86881782421009e-58
hispanic,0.0159117963102036,1.0160390630593,0.00451391422975562,0.00446389226454242,3.56455652762817,0.000364471899398014
pct_blk,0.125878372471367,1.13414421673565,0.00369578910610316,0.00363175318990182,34.6604975308825,3.10375370064123e-263
medhouseholdincome,1.27130617902482e-06,1.00000127130699,5.34036118073778e-08,5.31941759326315e-08,23.8993490684936,3.11084074413574e-126
medianhousevalue,7.68307606963065e-08,1.00000007683076,7.37496540484863e-09,7.32424005882713e-09,10.489929341367,9.61002315627717e-26
poverty,-0.117602435901529,0.889049436501309,0.0120863967053502,0.012006074411325,-9.79524462971826,1.18011407178222e-22
education,0.407506464314404,1.50306516178847,0.00624856882459832,0.00619585035746355,65.7708693405611,0
popdensity,1.03006535752937e-06,1.00000103006589,7.22867307539115e-08,7.30521522903985e-08,14.1004108056205,3.7756537600416e-45
pct_owner_occ,-0.0313056121486506,0.969179334832383,0.00516952262719231,0.00513916372133414,-6.09157712152506,1.11803700783193e-09
summer_tmmx,-0.00456129551116015,0.995449091398621,0.000332661766020788,0.000330970087238788,-13.7815944311284,3.2892635093787e-43
winter_tmmx,0.0114818823481812,1.01154805216817,0.000171700175101568,0.00017107285505284,67.1169154488871,0
summer_rmax,0.000864964576088976,1.00086533876583,0.000101144706426061,0.000101340837320585,8.53520257931876,1.39910068577478e-17
winter_rmax,-0.00044118132970793,0.999558915976464,0.000101080408467464,0.000100019544131222,-4.41095121498572,1.02917505813645e-05
as.factor(year)2002,-0.0392382786974107,0.961521571740523,0.0030073276780936,0.00296625975128055,-13.2282004906925,6.03141698552793e-40
as.factor(year)2003,4.75387963408274e-06,1.00000475389093,0.00294940183323486,0.00290604002497528,0.00163586172015066,0.998694771772025
as.factor(year)2004,-0.0214603087335749,0.97876832525255,0.00304371386960584,0.00299556923400839,-7.16401693873012,7.83467169020362e-13
as.factor(year)2005,-0.0245362996927557,0.975762268404989,0.00298126993801494,0.00293535086523586,-8.35889841427325,6.33065930479306e-17
as.factor(year)2006,-0.0537529974893305,0.947666153514703,0.00312490676535549,0.00307957645664032,-17.4546721752681,3.17193387980641e-68
as.factor(year)2007,-0.0563738771953143,0.94518568644767,0.00326807171054279,0.00322332600145294,-17.4893501836002,1.72715393451843e-68
as.factor(year)2008,-0.0813379909459523,0.921882050995277,0.00325151321101548,0.00321340101258637,-25.3121196599381,2.34941852220325e-141
as.factor(year)2009,-0.0922834192153575,0.911846678048907,0.00339581671857655,0.00335269618875359,-27.5251361948382,8.78409501660283e-167
as.factor(year)2010,-0.055031132042567,0.946455682396233,0.00328855691130513,0.00324793137916508,-16.9434404912562,2.15164457742884e-64
as.factor(year)2011,-0.0755984697544553,0.927188426022062,0.00331202080083635,0.00327634714851739,-23.0740108808876,8.44592543518222e-118
as.factor(year)2012,-0.135367332765819,0.873395026145149,0.00335590414745134,0.00332217188247156,-40.7466373067703,0
as.factor(year)2013,-0.161638119875092,0.850749018001987,0.00340324458730239,0.00337370565234037,-47.9111506846966,0
as.factor(year)2014,-0.14505234450004,0.864977015136322,0.00348757122223803,0.00346091159016817,-41.9116006638562,0
as.factor(year)2015,-0.123707567414292,0.883638207709381,0.0034132471659723,0.00339130272787072,-36.4778898674031,2.48628514322709e-291
as.factor(year)2016,-0.226595910453708,0.797242874720195,0.00348858597999176,0.00346898836624826,-65.3204584536481,0
as.factor(region)NORTHEAST,0.0314857945497706,1.03198671565559,0.0017559766222154,0.0017562027668285,17.9283367185615,7.08682034317891e-72
as.factor(region)SOUTH,-0.0254779334112236,0.974843890207647,0.00201984520314575,0.00200868548730577,-12.6838838495303,7.26412688778967e-37
as.factor(region)WEST,-0.193030469206534,0.824456853210264,0.00318775438222943,0.00318770568196673,-60.5546711224103,0
get(pollutants_i):as.factor(dual)1,-0.00405962920070354,0.995948599954381,0.000280457787173627,0.000281163500358136,-14.4386778352543,2.95455519352291e-47
