rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.00719028393985211,1.00721619609945,8.82969285430963e-05,8.71543759660984e-05,82.5005498593555,0
as.factor(entry_age_over85)TRUE,-0.0226897258886791,0.977565750067364,0.0033013317895996,0.00330836158859028,-6.85829685815793,6.9686334697677e-12
mean_bmi,0.0262671883909113,1.02661521149831,0.000680842179658611,0.000674648831179441,38.9346089060737,0
smoke_rate,0.149867422885591,1.16168022030711,0.00878404706182529,0.0087228045698737,17.1811051921528,3.67836112385723e-66
hispanic,-0.0418041821632465,0.959057562763596,0.00456757023705859,0.00452329914983847,-9.24196715239128,2.4200640804418e-20
pct_blk,0.0692034032392607,1.07165416490965,0.00376476725341939,0.00370348728897284,18.6860107351561,6.43484923228956e-78
medhouseholdincome,5.71262130057437e-07,1.00000057126229,5.43762638017082e-08,5.41615195678666e-08,10.5473800331917,5.2233313242222e-26
medianhousevalue,8.95223734943336e-08,1.00000008952238,7.39207882203766e-09,7.34770916071719e-09,12.1837121660917,3.79602322928721e-34
poverty,-0.0829582019564142,0.920389616901464,0.0120643822019938,0.0119848766811111,-6.92190701362505,4.45603720893629e-12
education,0.411763360592943,1.50947719227366,0.00624728074471282,0.00619395597483215,66.4782510993067,0
popdensity,-3.94443483733902e-07,0.999999605556594,7.5004700797193e-08,7.56987856243926e-08,-5.21069764171751,1.88131842370628e-07
pct_owner_occ,0.0353131113353913,1.03594402384031,0.00523950446431934,0.00520658822414421,6.78238989049217,1.18203947495e-11
summer_tmmx,0.000800694926083412,1.00080101556784,0.000330703109591905,0.000329209226778126,2.4321764426823,0.0150083941346563
winter_tmmx,0.00967247366879227,1.0097194032285,0.000171609014750226,0.000170914348129421,56.5925200233511,0
summer_rmax,0.00161237401924407,1.00161367459314,0.000101884230703615,0.000102140374899947,15.785863531669,3.89285120547827e-56
winter_rmax,-0.00042831926639587,0.999571772449206,9.79523772654202e-05,9.70009101652575e-05,-4.41562110774172,1.00720370142033e-05
as.factor(year)2002,-0.0285110217111648,0.971891582178802,0.00300713803656425,0.00296891139558385,-9.60319050059019,7.75073179475176e-22
as.factor(year)2003,0.000886892841014,1.00088728624676,0.00293839393760745,0.00289837464641049,0.30599661852286,0.759607220402192
as.factor(year)2004,-0.0121452995811522,0.987928156885468,0.00302803461002666,0.00298343908984366,-4.07090582894676,4.68306794685547e-05
as.factor(year)2005,-0.00846438918113929,0.991571332901377,0.00298503516882228,0.00294137073631989,-2.87770224835022,0.00400583037448175
as.factor(year)2006,-0.0242115567631646,0.976079191759139,0.0031492756242378,0.00310560708441583,-7.79607854601442,6.38606457283617e-15
as.factor(year)2007,-0.017645639674211,0.982509132934579,0.00330911260112837,0.00326516599712945,-5.40420906309941,6.50949859325917e-08
as.factor(year)2008,-0.0479157606237833,0.953214081855123,0.00327940526505277,0.00324236507995197,-14.7780275947498,2.03025065552053e-49
as.factor(year)2009,-0.0624799257522139,0.939431921013354,0.00339196126204737,0.00335022731440682,-18.6494586452491,1.27562338931745e-77
as.factor(year)2010,-0.0176612003018154,0.982493844594791,0.00332701012370646,0.00328662327612141,-5.37366129855247,7.71537235032018e-08
as.factor(year)2011,-0.0477486352625546,0.95337340141568,0.00332508366198197,0.00328941505764141,-14.5158438281095,9.61669380711557e-48
as.factor(year)2012,-0.0941835658596576,0.910115680738684,0.00340041436115619,0.00336602976070463,-27.9806099634549,2.79768610473116e-172
as.factor(year)2013,-0.119928440271736,0.886983906773523,0.0034400734057978,0.00341072266195142,-35.1621788571693,7.57292685672545e-271
as.factor(year)2014,-0.0979270597690938,0.906715037346182,0.00354438436541808,0.00351790263088904,-27.8367737950569,1.55743848925584e-170
as.factor(year)2015,-0.0794720213341671,0.923603860810892,0.00346378970539294,0.00344130720288665,-23.0935562124486,5.37447213003522e-118
as.factor(year)2016,-0.170525039866125,0.843221975198891,0.00357288951336183,0.0035503749287099,-48.0301498546489,0
as.factor(region)NORTHEAST,0.0430191937736105,1.04395793215052,0.00176239644563027,0.00176368374531209,24.3916710623186,2.09621156919091e-131
as.factor(region)SOUTH,0.0132824131511408,1.01337101625378,0.00208504812996887,0.00207466981821357,6.40218170358202,1.53172218669775e-10
as.factor(region)WEST,-0.136968309160059,0.871997860038848,0.00321275728096826,0.00321332984643679,-42.625038731066,0
get(pollutants_i):as.factor(entry_age_over85)TRUE,0.000998242093515445,1.00099874050298,0.000107322520403243,0.000107282894106574,9.30476477008344,1.34289257721852e-20
