rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.0182036310263331,1.01837032707245,0.000922468382437173,0.000898592519169019,20.2579374277087,3.02366277445974e-91
as.factor(race_collapsed)Hispanic,,,0,0,,
as.factor(race_collapsed)Others,,,0,0,,
as.factor(race_collapsed)White,,,0,0,,
mean_bmi,0.0100400673054831,1.01009063788354,0.000841752884937158,0.000834054945831305,12.0376569381483,2.25263074590701e-33
smoke_rate,0.252428689843388,1.28714770617755,0.0108232120539511,0.0107467392873303,23.4888632816267,5.30107751158106e-122
hispanic,0.0333206049253871,1.03388195375855,0.00596824851682687,0.00590796657657684,5.63994472438156,1.70104762027895e-08
pct_blk,0.150029898436082,1.16186898027442,0.00476648165745238,0.00468563570657203,32.0191128443151,5.91064446368957e-225
medhouseholdincome,1.14502258931314e-06,1.00000114502324,6.33858707043662e-08,6.2933326037159e-08,18.1942169819066,5.73528557307353e-74
medianhousevalue,5.52669719530711e-08,1.00000005526697,8.72296554181821e-09,8.62190823433427e-09,6.41006265097862,1.45459848569968e-10
poverty,-0.113473281369557,0.892728048563351,0.0159916859933627,0.0158642013942115,-7.15278875689016,8.50324092174795e-13
education,0.289632346344849,1.33593623588551,0.00791555163714029,0.00784691543358604,36.9103437900168,3.15378244495764e-298
popdensity,9.75504195783306e-07,1.00000097550467,8.81592975231372e-08,8.83156264908971e-08,11.0456578812115,2.30076133748029e-28
pct_owner_occ,0.0365439451292506,1.03721988377809,0.00643656749448828,0.00639366918531298,5.71564528443174,1.09288500571864e-08
summer_tmmx,-0.00728991488984012,0.992736592089393,0.000416120736668817,0.000413405448926275,-17.6338142343648,1.35509157326892e-69
winter_tmmx,0.0113391433582508,1.0114036751253,0.000214259338777195,0.000212882275861302,53.2648540719217,0
summer_rmax,-0.00279828140546207,0.997205630134569,0.000128085690680002,0.00012768248696859,-21.9159375095071,1.83085791531787e-106
winter_rmax,-0.000676306741454503,0.999323921902402,0.000121585154835566,0.00012047236155321,-5.61379168412661,1.97940493508312e-08
as.factor(year)2002,-0.0402557342799229,0.960543763772091,0.0037335496610926,0.00369624777551434,-10.8909728797392,1.2727331998822e-27
as.factor(year)2003,-0.00269008558697357,0.997313529450945,0.0036465691507614,0.00360770908344293,-0.745649254070773,0.45587932120538
as.factor(year)2004,-0.0285629746068269,0.971841090908434,0.00373881165777014,0.00369401237148735,-7.73223577357063,1.05673993720583e-14
as.factor(year)2005,-0.0312013364223436,0.969280401980778,0.00365122299296848,0.00361029120355107,-8.64233233919028,5.50769431045327e-18
as.factor(year)2006,-0.0491735026862133,0.952015938045753,0.00382752754843373,0.00378319859880742,-12.9978644794683,1.25807481128944e-38
as.factor(year)2007,-0.0755577261337304,0.927226203805229,0.0039466155625242,0.00390599730970008,-19.3440292306632,2.28873512439816e-83
as.factor(year)2008,-0.0842631900463233,0.91918930278149,0.00398076971445812,0.00394371506229686,-21.3664498360709,2.74207030792155e-101
as.factor(year)2009,-0.0949888304693891,0.909383091793786,0.00413992720684591,0.00409690631708397,-23.1855022101161,6.377011104911e-119
as.factor(year)2010,-0.0370251819039841,0.963651868454686,0.00411772537724461,0.00408016222553565,-9.07443867605618,1.14264941482585e-19
as.factor(year)2011,-0.0448949283169999,0.956097935374779,0.00416270434992487,0.00412898625185221,-10.8731116013914,1.54828618902637e-27
as.factor(year)2012,-0.101652935218223,0.903343015816201,0.00423098588734197,0.00419341550669909,-24.2410834451845,8.21091207683905e-130
as.factor(year)2013,-0.121514056638381,0.885578605003169,0.00429055551862977,0.00426124107511815,-28.5161187776759,7.39445004478942e-179
as.factor(year)2014,-0.119953645451332,0.886961550466603,0.00433588261568979,0.0043089825394183,-27.8380439823099,1.50326324820369e-170
as.factor(year)2015,-0.0644574814464094,0.937575977789031,0.00434636896499432,0.00432210616695357,-14.9134424182463,2.69492722826963e-50
as.factor(year)2016,-0.162107962383279,0.850349393837093,0.00450671126277456,0.00448196620468524,-36.168939028103,1.87480820471279e-286
as.factor(region)NORTHEAST,0.0537216170014048,1.05519081408126,0.00208319246925035,0.00208473431888312,25.7690471705698,1.97202678435979e-146
as.factor(region)SOUTH,-0.00376616862344571,0.996240914494742,0.00246392656732621,0.00244352660944582,-1.54128406414198,0.123247665625071
as.factor(region)WEST,-0.181613271823641,0.83392377988612,0.00399763356554691,0.00397857430462553,-45.6478270652118,0
get(pollutants_i):as.factor(race_collapsed)Hispanic,0.0086389370434245,1.00867636034828,0.00281422134526677,0.00270062591081101,3.19886475533007,0.00137969876564156
get(pollutants_i):as.factor(race_collapsed)Others,-0.00631796635729265,0.993701950026399,0.00224433187475075,0.00219652121388704,-2.87635116717683,0.00402301866352514
get(pollutants_i):as.factor(race_collapsed)White,0.00245594249983456,1.00245896079703,0.000914033866338087,0.000888724475262932,2.763446454097,0.00571944757382683
