rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.0091357035984845,1.00917756150866,0.000222290665255775,0.000218987368817026,41.7179476964162,0
as.factor(race_collapsed)Hispanic,,,0,0,,
as.factor(race_collapsed)Others,,,0,0,,
as.factor(race_collapsed)White,,,0,0,,
mean_bmi,0.0365089775122882,1.03718361530461,0.0011665601543041,0.00115994625559476,31.4747147432,1.92735448911432e-217
smoke_rate,0.0865115567326225,1.09036396868981,0.0153472312753973,0.0152932886315665,5.65683149104087,1.54193015149721e-08
hispanic,-0.0391834361076315,0.961574305519661,0.0072744516048582,0.00723712671032167,-5.41422551739321,6.15545471767592e-08
pct_blk,0.0514884197873554,1.05283699414527,0.00604403618627204,0.00599582769299476,8.58737482524923,8.89789797476786e-18
medhouseholdincome,-1.84189273137924e-07,0.999999815810744,1.06431101242022e-07,1.07114907488367e-07,-1.7195484499478,0.0855145535027503
medianhousevalue,2.11920451611769e-07,1.00000021192047,1.41038149259941e-08,1.41499449800263e-08,14.9767685959847,1.04159652385379e-50
poverty,-0.153626300835,0.85759244271682,0.0190129385769618,0.0189829454426259,-8.09285899805805,5.82803171631789e-16
education,0.45418151202248,1.57488383188254,0.0105736221499706,0.0105572515324836,43.0208099736006,0
popdensity,-5.68063078621575e-07,0.999999431937083,1.33691441253506e-07,1.3599076421944e-07,-4.17721807714033,2.95096073380316e-05
pct_owner_occ,-0.03766565985409,0.963034868289954,0.00921763347190714,0.00921283680417427,-4.08838891371916,4.343794698434e-05
summer_tmmx,0.00472171750581543,1.00473288237946,0.000560930936786402,0.000561439378649739,8.41002196385147,4.09933951344014e-17
winter_tmmx,0.011239633058529,1.01130303504989,0.000295953119105928,0.000298218231133327,37.6892888667964,1.11625683769312e-308
summer_rmax,0.00381275875204942,1.00382003656327,0.00017667754328038,0.000178914659941963,21.3104882142482,9.07442241131094e-101
winter_rmax,-0.00137161005636759,0.998629330170782,0.000166519099711509,0.000165378797578576,-8.29374790753269,1.09734888045212e-16
as.factor(year)2002,-0.0302188035156019,0.970233219882403,0.00504284487954577,0.0049624532548096,-6.08948879998293,1.13271788572723e-09
as.factor(year)2003,0.00504984495148248,1.00506261690825,0.00495227673709072,0.00487319129315625,1.03625009725646,0.300085480505779
as.factor(year)2004,-0.015864249602814,0.984260924798108,0.00511197261903911,0.00502622171522318,-3.15629721521537,0.00159785950431811
as.factor(year)2005,-0.0138931608064274,0.986202903757436,0.00511096386732511,0.0050281110929043,-2.76309742360973,0.00572556738995375
as.factor(year)2006,-0.0419541178625111,0.958913776576898,0.00542416344405211,0.00534431816069094,-7.85022833616011,4.1528049028087e-15
as.factor(year)2007,-0.0229843381095254,0.977277789671122,0.00573366419315008,0.00565241998333442,-4.06628279167018,4.77689657750656e-05
as.factor(year)2008,-0.0392658302672475,0.961495080676726,0.00569239183838795,0.00562494852425531,-6.98065592919288,2.9380506325365e-12
as.factor(year)2009,-0.0528329176656905,0.948538483267062,0.00589403928507824,0.00581669704542462,-9.08297565664841,1.05646251999541e-19
as.factor(year)2010,-0.0020401755846585,0.997961904158962,0.005770424101073,0.00569487015130202,-0.358247954818084,0.720157762730037
as.factor(year)2011,-0.0534899409318474,0.947915476102223,0.0057755725627704,0.00571016980773481,-9.36748691070301,7.4280024156112e-21
as.factor(year)2012,-0.106139467950144,0.899299215911034,0.00590653040668699,0.0058455121454554,-18.1574283499972,1.12156840977422e-73
as.factor(year)2013,-0.139150332753506,0.870097214515612,0.00600890569261983,0.00595697288582588,-23.3592355413608,1.11033358152335e-120
as.factor(year)2014,-0.113550725915131,0.892658914322378,0.00620696159420427,0.00615483872545941,-18.4490172659488,5.31019645947418e-76
as.factor(year)2015,-0.118953941016259,0.887848693228736,0.00609921990843483,0.00605780798614403,-19.6364660762344,7.54708572515527e-86
as.factor(year)2016,-0.199684284896323,0.818989279550782,0.00631036015366638,0.00627052761762098,-31.8448936155205,1.54900668562388e-222
as.factor(region)NORTHEAST,0.0466056604473249,1.04770877459815,0.00352959513366562,0.00355512713924084,13.1094215823958,2.90807835467614e-39
as.factor(region)SOUTH,0.00680866716560849,1.00683189883553,0.003793695441502,0.00382566446371592,1.77973453505516,0.0751194157746569
as.factor(region)WEST,-0.109262892720351,0.89649470458432,0.00549037440166319,0.00553576754584843,-19.7376229791826,1.02487326399158e-86
get(pollutants_i):as.factor(race_collapsed)Hispanic,-0.00289963689688159,0.997104562989822,0.000406551547197476,0.000395610834876081,-7.32951840863979,2.30981252094727e-13
get(pollutants_i):as.factor(race_collapsed)Others,-0.00753558296637721,0.992492738355071,0.00044145304241633,0.000429596363581518,-17.541077171961,6.95956138046278e-69
get(pollutants_i):as.factor(race_collapsed)White,-0.00348928954764407,0.996516790948869,0.000214392646953305,0.000210739029108931,-16.5573959526997,1.41590807227408e-61
