rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.0209680191762277,1.0211893926373,0.000607464005204074,0.000593431528685327,35.3335105444763,1.79647089137224e-273
as.factor(race_collapsed)Hispanic,,,0,0,,
as.factor(race_collapsed)Others,,,0,0,,
as.factor(race_collapsed)White,,,0,0,,
mean_bmi,0.0152192954620604,1.0153356987147,0.000680029782369453,0.000673813103092079,22.5868202803124,5.84029767341061e-113
smoke_rate,0.212100424045848,1.23627203028387,0.00882147617583276,0.00875777325521448,24.2185333948399,1.41933698066706e-129
hispanic,0.0483393134752226,1.04952671346988,0.00452197479637491,0.0044713859901423,10.8108120349691,3.05949684101329e-27
pct_blk,0.132268664684571,1.14141493596059,0.00368986571913618,0.003631842480847,36.4191633811507,2.11765065301673e-290
medhouseholdincome,9.38901396978057e-07,1.00000093890184,5.38326507142926e-08,5.35291923001031e-08,17.5399881192724,7.09422240592636e-69
medianhousevalue,9.80907020926037e-08,1.00000009809071,7.38347344756462e-09,7.31348566836455e-09,13.4123052318142,5.12215536225053e-41
poverty,-0.0647699331108654,0.937283076375367,0.0121213126721074,0.0120400603424559,-5.37953558940836,7.4678231255161e-08
education,0.317531127554054,1.37373200511708,0.0063663416711558,0.00631483056324774,50.2833962643562,0
popdensity,6.64487410628456e-07,1.00000066448763,7.26150611942606e-08,7.31537399675533e-08,9.0834373050945,1.05198954142225e-19
pct_owner_occ,0.0162909575853345,1.01642437876982,0.00523382889333988,0.00519929452415499,3.13330154882544,0.00172851760439386
summer_tmmx,-0.00626263329134068,0.993756936123197,0.000334738598142987,0.000332812128094319,-18.8173229359173,5.4467953007003e-79
winter_tmmx,0.0123785762623839,1.01245550794471,0.000173387012739222,0.000172611513236184,71.7135029425663,0
summer_rmax,-0.00186115692662853,0.998140573951946,0.000104942746761727,0.000104923482786945,-17.7382305389894,2.12522627756325e-70
winter_rmax,-0.000724003138220411,0.999276258888812,9.79562768039403e-05,9.6988028075936e-05,-7.46487120713042,8.3381128866429e-14
as.factor(year)2002,-0.0393766862397221,0.961388499112239,0.00299351421189302,0.0029626768520415,-13.290915009036,2.61362399369356e-40
as.factor(year)2003,0.000921930767017169,1.00092235587582,0.00293242740183344,0.00290046406163588,0.3178562972772,0.750593944359866
as.factor(year)2004,-0.026803363026283,0.973552659152478,0.00300634286078298,0.0029687656194865,-9.02845372849581,1.74114550959972e-19
as.factor(year)2005,-0.0305817440020748,0.969881146860228,0.00295683872318798,0.00292245611539772,-10.4643980249855,1.25874056959282e-25
as.factor(year)2006,-0.0522284223526923,0.949112043674219,0.003102157201332,0.00306500364221187,-17.0402480549751,4.12976293119333e-65
as.factor(year)2007,-0.0693831331550183,0.932969160175838,0.00320733558072677,0.00317244949350139,-21.8705241161904,4.95846546816673e-106
as.factor(year)2008,-0.0731596006312922,0.929452476985405,0.00323665503118993,0.00320426382926495,-22.8319528383138,2.20866655888471e-115
as.factor(year)2009,-0.0818879128069243,0.921375227271693,0.00336575311770081,0.00332736438508056,-24.610443380983,9.76528969351577e-134
as.factor(year)2010,-0.0206455454924717,0.979566114666132,0.00334785131708017,0.00331404087028397,-6.22971963852173,4.67270630777783e-10
as.factor(year)2011,-0.0379815878965537,0.96273066662464,0.00338385571156743,0.00335382469583319,-11.3248578387959,9.88390924058587e-30
as.factor(year)2012,-0.0969953031603877,0.907560268788283,0.00343503297392283,0.00340225899683244,-28.5090885939877,9.03787904002125e-179
as.factor(year)2013,-0.120773617225623,0.886234565124802,0.00349078157738239,0.00346393499120779,-34.8660172700042,2.43495842480431e-266
as.factor(year)2014,-0.11596338966214,0.890507824493021,0.003533067423102,0.00350850282666056,-33.0521009648196,1.45115290810507e-239
as.factor(year)2015,-0.0720231462440324,0.930509357765275,0.00354554245976772,0.00352314989218778,-20.442827710435,6.95881417630113e-93
as.factor(year)2016,-0.165488394376066,0.847479698678523,0.00366973715507007,0.0036470610771042,-45.3758220324255,0
as.factor(region)NORTHEAST,0.058331479156113,1.06006632736913,0.00179572095229071,0.00179876342584137,32.428655329607,1.0832282156222e-230
as.factor(region)SOUTH,-0.00556311021627462,0.994452335226525,0.00204979512622032,0.00203817082733877,-2.7294621930873,0.00634377227061487
as.factor(region)WEST,-0.173148860888737,0.841012411670886,0.00321277124994664,0.00320380439760981,-54.0447665962111,0
get(pollutants_i):as.factor(race_collapsed)Hispanic,0.00385463568135437,1.00386207434418,0.0013130223757528,0.00126008536984278,3.05902740687745,0.00222056834342324
get(pollutants_i):as.factor(race_collapsed)Others,-0.00768440546897351,0.992345044092328,0.00125394336391202,0.00121786218892434,-6.30974960784412,2.7948726956509e-10
get(pollutants_i):as.factor(race_collapsed)White,-1.85438179021033e-07,0.999999814561838,0.00060508478951894,0.000590203961941569,-0.000314193382252136,0.999749309955319
