rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.00800271130950316,1.00803481859495,0.0001061638939891,0.000105259372143545,76.0284917773372,0
as.factor(sex)2,,,0,0,,
mean_bmi,0.026328617597875,1.02667827759364,0.000680819710136966,0.000674612563138007,39.0277605792066,0
smoke_rate,0.149648824472067,1.16142630660751,0.00878420833898284,0.00872290067226389,17.1558556143949,5.68269201816825e-66
hispanic,-0.0425988800739368,0.958295704485922,0.00456697295892862,0.00452305517614126,-9.41816502673731,4.59039799772436e-21
pct_blk,0.0685773754392669,1.07098348956305,0.00376437262094643,0.00370326980744402,18.5180607962774,1.47660596664054e-76
medhouseholdincome,5.70428885427456e-07,1.00000057042905,5.43748697626794e-08,5.41624031094115e-08,10.5318237869755,6.16286985383462e-26
medianhousevalue,8.95879427642349e-08,1.00000008958795,7.39187634003543e-09,7.34809402687744e-09,12.1919973310828,3.42912347910208e-34
poverty,-0.0821990377638172,0.921088609033181,0.0120641148672153,0.0119848225011202,-6.85859450618768,6.95413203278468e-12
education,0.411794355783965,1.50952397953266,0.00624740636563129,0.00619406927641261,66.4820390937671,0
popdensity,-3.78612510848672e-07,0.999999621387561,7.49987879294319e-08,7.57360071598658e-08,-4.99910841681271,5.75960129563373e-07
pct_owner_occ,0.0358352377210761,1.03648505878127,0.00523937735117214,0.00520668131703226,6.88254869831398,5.87910568840414e-12
summer_tmmx,0.000837058236892131,1.00083740866791,0.000330681860518525,0.000329195473735438,2.54273920413876,0.0109987288135905
winter_tmmx,0.00966812961857842,1.00971501696624,0.000171606422583554,0.000170911260946465,56.5681252659343,0
summer_rmax,0.00162623779515405,1.00162756083693,0.000101873792640148,0.000102139660115729,15.9217075258665,4.4798235177588e-57
winter_rmax,-0.000430372175169522,0.999569720421651,9.79521545806626e-05,9.7002190003768e-05,-4.43672637857769,9.13372735029818e-06
as.factor(year)2002,-0.028588840084225,0.971815954099751,0.00300711444808697,0.00296889453838487,-9.62945625538382,6.00463703782751e-22
as.factor(year)2003,0.000776888049946411,1.00077718990563,0.00293835324830781,0.00289834431868231,0.268045464763694,0.788664322929825
as.factor(year)2004,-0.0122848431903272,0.987790307443078,0.00302800896782467,0.00298340822167871,-4.11772116905098,3.82637251896511e-05
as.factor(year)2005,-0.0086572276688738,0.991380138220498,0.00298498214792976,0.00294131219424972,-2.94332158476707,0.00324710926092012
as.factor(year)2006,-0.0243310093451588,0.975962603542973,0.00314926820900413,0.00310559237683016,-7.8345791697213,4.70415592815752e-15
as.factor(year)2007,-0.0177221901695594,0.982433924252436,0.00330911409190086,0.0032651448744141,-5.42768877069794,5.70884746089692e-08
as.factor(year)2008,-0.0479907126469019,0.953142639208641,0.00327940628044875,0.00324234727548561,-14.8012253375032,1.43838192805521e-49
as.factor(year)2009,-0.0625294633546743,0.939385384960964,0.00339197664408816,0.00335022879422971,-18.6642367417928,9.67475364278318e-78
as.factor(year)2010,-0.0177656355460207,0.982391242967907,0.00332698212916121,0.00328656897482905,-5.40552645694734,6.4618311274277e-08
as.factor(year)2011,-0.0479268769923059,0.953203485635004,0.00332501746940877,0.00328931762361769,-14.5704618636356,4.32953956842555e-48
as.factor(year)2012,-0.0943315273554615,0.909981028623117,0.00340038538038094,0.00336597031223363,-28.0250621975522,8.04463778916606e-173
as.factor(year)2013,-0.120036415526573,0.886888139630488,0.00344008738050419,0.00341068856093304,-35.1941883235845,2.45379617921677e-271
as.factor(year)2014,-0.0979515408618251,0.906692840242978,0.00354437479117527,0.00351785467725587,-27.8441123492437,1.2693068449467e-170
as.factor(year)2015,-0.0795735017305577,0.92351013788059,0.00346377634966485,0.00344125469263413,-23.1233979574025,2.69332501833674e-118
as.factor(year)2016,-0.17061440155301,0.843146626827447,0.00357286274234676,0.00355033254623352,-48.0558931680955,0
as.factor(region)NORTHEAST,0.0432478655583953,1.04419668317088,0.00176229636997903,0.00176361945814205,24.5222206858368,8.56031135453272e-133
as.factor(region)SOUTH,0.0135045605385227,1.013596158984,0.00208489568866435,0.00207448999650736,6.50982196166731,7.52399267738973e-11
as.factor(region)WEST,-0.136694246211734,0.872236875094392,0.00321264110457311,0.0032132926484931,-42.5402417908739,0
get(pollutants_i):as.factor(sex)2,-0.000725171470631458,0.999275091402653,0.000106374946706605,0.000105020163956859,-6.90506892494803,5.01790583986975e-12
