rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),3.65314876139269e-05,1.0000365321549,0.00125839004148778,0.00125707286823376,0.029060755774051,0.976816134923913
as.factor(race_collapsed)Hispanic,,,0,0,,
as.factor(race_collapsed)Others,,,0,0,,
as.factor(race_collapsed)White,,,0,0,,
mean_bmi,0.00212416093283782,1.00212641856091,0.0010488211617887,0.00104340763281146,2.03579202033847,0.0417712440605651
smoke_rate,0.0210915554726034,1.02131555438538,0.0134045348762876,0.0133274205922767,1.58256845925805,0.113519857189005
hispanic,-0.0191381646180631,0.981043807335632,0.00748625086230805,0.00751088536448771,-2.54805707840389,0.0108324745736013
pct_blk,-0.0179887818835727,0.982172050416913,0.00619306628512536,0.0062077273728473,-2.89780475255017,0.00375784450887877
medhouseholdincome,4.36573368359712e-07,1.00000043657346,7.89957729631051e-08,7.82393607113065e-08,5.57997105792587,2.40558608689638e-08
medianhousevalue,-2.52963394571499e-07,0.999999747036637,1.09283260526531e-08,1.08795465839882e-08,-23.2512809811205,1.38071241853246e-119
poverty,-0.0525747959474862,0.948783353251917,0.019970205682644,0.019902283646674,-2.64164640002366,0.00825041417265583
education,0.0920195267345187,1.09638623071465,0.00994558444236903,0.00988391283440936,9.31003017490872,1.27796038049716e-20
popdensity,-9.18495732364047e-07,0.999999081504689,1.19861446910612e-07,1.19667423625046e-07,-7.67540325128056,1.64899074182743e-14
pct_owner_occ,0.00071720290669473,1.0007174601582,0.00802021803398683,0.00794807702530959,0.0902360287162408,0.928099654323396
summer_tmmx,0.00084953890828625,1.00084989986867,0.000506369095697797,0.00050358361992848,1.6869867777012,0.0916058944377924
winter_tmmx,-0.00202618514805447,0.997975866179382,0.000260966676803056,0.000259114734800508,-7.81964464357625,5.29726620596189e-15
summer_rmax,-0.00117981494099953,0.998820880767019,0.0001551970518385,0.000154504905657063,-7.63610020006891,2.23900096071e-14
winter_rmax,0.000654171008041214,1.00065438502456,0.000148924267247216,0.000148426656408947,4.40736875618105,1.04633962968507e-05
as.factor(year)2002,-0.0138244385877096,0.986270680137933,0.00475161418092811,0.00472972226829221,-2.92288591243251,0.00346803562165826
as.factor(year)2003,-0.0631600859397012,0.93879317407157,0.00466160299080289,0.0046362239978654,-13.6231739382698,2.91613379245786e-42
as.factor(year)2004,-0.119487287040361,0.887375288913575,0.0047827369920209,0.00475913747992575,-25.1069206435754,4.17903677204947e-139
as.factor(year)2005,-0.127633240139979,0.880176133229822,0.00468882233749044,0.00466391834615228,-27.3660966310175,6.94825692996852e-165
as.factor(year)2006,-0.160166967189949,0.852001520789725,0.00489856283567473,0.00487018207049168,-32.8872647617009,3.3426903867509e-237
as.factor(year)2007,-0.174439435670476,0.839927722348151,0.00502813065085575,0.00499914184497055,-34.8938760051334,9.20738781143323e-267
as.factor(year)2008,-0.151549832888921,0.859375056064148,0.00501830061697298,0.0049881388967642,-30.3820394791395,9.48668291774232e-203
as.factor(year)2009,-0.198037312721088,0.82033924347738,0.00520611226184723,0.00517688355888579,-38.2541562831116,1.11253692925537e-308
as.factor(year)2010,-0.186524022331125,0.829838627053626,0.00517247901056524,0.00513765815426396,-36.3052614110421,1.33641739018327e-288
as.factor(year)2011,-0.168269151041396,0.84512633743664,0.00519855797370082,0.00516348700217673,-32.588278225637,6.01168083378167e-233
as.factor(year)2012,-0.162195080720985,0.850275316038247,0.00527002236080989,0.00523709964532735,-30.9704018837409,1.35000718726767e-210
as.factor(year)2013,-0.14090377195601,0.868572888746522,0.00529718293355801,0.00526409988366218,-26.766925983552,7.84543722453283e-158
as.factor(year)2014,-0.156905223063873,0.854785068888558,0.00534547669294529,0.00531230869185904,-29.5361644371919,9.88761762884388e-192
as.factor(year)2015,-0.112071223097029,0.893980583167026,0.00534801886919955,0.00530975834169292,-21.1066522965897,6.90970363687464e-99
as.factor(year)2016,-0.124422606491424,0.883006597700652,0.00551191324551767,0.005476431643711,-22.7196493239001,2.86485685069113e-114
as.factor(region)NORTHEAST,0.0312372925070069,1.03173029671028,0.00256110732164286,0.00253361464403618,12.3291411267043,6.31158611445478e-35
as.factor(region)SOUTH,0.0441828033967956,1.0451733986737,0.00304328275987863,0.00303008011682823,14.5813977496557,3.68885874113837e-48
as.factor(region)WEST,0.070239784134202,1.07276538253504,0.00479823601232424,0.00477265050020442,14.7171438870694,5.00350282025678e-49
get(pollutants_i):as.factor(race_collapsed)Hispanic,0.000126963059817108,1.00012697111997,0.00367220467633495,0.00367860844712775,0.0345138825297487,0.972467372286105
get(pollutants_i):as.factor(race_collapsed)Others,0.00171297836761542,1.00171444635315,0.00285120804724418,0.00287009026742141,0.596837802301744,0.550615676638964
get(pollutants_i):as.factor(race_collapsed)White,-0.000214164174174111,0.999785858757336,0.00124907177600422,0.00124851988706627,-0.171534451627636,0.863803543390272
