rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.00152380915758492,1.0015249707447,0.000281709245362094,0.000279135558847133,5.45902916804458,4.78745114632527e-08
as.factor(dual)1,,,0,0,,
mean_bmi,0.00117369197998438,1.00117438102597,0.000634569495853363,0.00062961340298594,1.86414706932563,0.0623010540826349
smoke_rate,0.0757644636429468,1.07870846916983,0.00820573790020742,0.00813293483481258,9.31575933925367,1.21083293022864e-20
hispanic,-0.0636230449311673,0.938358651921236,0.00424824579694367,0.00425253045259357,-14.9612202994018,1.31590764220574e-50
pct_blk,0.0032229076428642,1.00322810679366,0.00348168308375101,0.0034604944213772,0.931343111826651,0.351676107787498
medhouseholdincome,6.22603710797748e-07,1.0000006226039,4.92074650968758e-08,4.83363868703384e-08,12.8806423299257,5.78520662491726e-38
medianhousevalue,-2.51772727147592e-07,0.999999748227305,6.82395941710893e-09,6.73268912069354e-09,-37.3955670066134,4.61247803720765e-306
poverty,-0.171390931827785,0.842492152088254,0.011350799990059,0.0112336971644969,-15.2568588344584,1.48213365931934e-52
education,0.0383181578411367,1.03906176594313,0.00603886429466707,0.00597526757529293,6.41279362945653,1.42876874408004e-10
popdensity,-1.08163001188581e-06,0.999998918370573,7.23166031828834e-08,7.13233959098334e-08,-15.1651502019506,6.01611213506096e-52
pct_owner_occ,-0.00940762635146448,0.990636486923204,0.00488656197017765,0.00481542848475395,-1.95364262624807,0.0507434958270967
summer_tmmx,0.000551518884062849,1.00055167099857,0.000308727512302854,0.000306309024945913,1.80053096431042,0.0717768388484803
winter_tmmx,-2.61394994610312e-05,0.999973860842173,0.00015941374718548,0.000158279538507638,-0.165147685591526,0.868827740594646
summer_rmax,-0.00134563427826935,0.998655270681576,9.59454559183192e-05,9.53927508860221e-05,-14.1062529990057,3.47560644039488e-45
winter_rmax,0.000937832073870782,1.00093827197588,9.04448547720964e-05,9.00469218791494e-05,10.4149265105301,2.11961224127032e-25
as.factor(year)2002,-0.0181414991977715,0.982022067192101,0.00362842581291667,0.00361057961534528,-5.02453930683831,5.04642440762871e-07
as.factor(year)2003,-0.0525087621498763,0.948846007088454,0.00349990698579002,0.00348048363410789,-15.0866280867703,1.98321601040345e-51
as.factor(year)2004,-0.110905120885752,0.895023663953103,0.00351202000222378,0.00349311234913854,-31.7496575548458,3.20998177443761e-221
as.factor(year)2005,-0.10942401265588,0.896350273051027,0.00343849559130514,0.00341883119544478,-32.0062636615917,8.9217520984879e-225
as.factor(year)2006,-0.147409839172792,0.86294023821978,0.0035224754886694,0.00350058573458887,-42.1100496743311,0
as.factor(year)2007,-0.163851113023091,0.84886839792166,0.00358157265421016,0.00355806511769957,-46.0506223475268,0
as.factor(year)2008,-0.147681972343058,0.862705435507255,0.00357601264176656,0.00355142043009391,-41.5839169847747,0
as.factor(year)2009,-0.200606025273133,0.818234731865602,0.00367207781289287,0.00364736206025797,-55.0003048666203,0
as.factor(year)2010,-0.189669933948203,0.827232130130609,0.00365353208461125,0.00362646057897189,-52.3016670987706,0
as.factor(year)2011,-0.175474621627415,0.83905869084734,0.00367193783013121,0.00364341518124992,-48.1621261640613,0
as.factor(year)2012,-0.180262246424104,0.835051193504755,0.00370927261425066,0.00368136910700127,-48.9660887524915,0
as.factor(year)2013,-0.16481801702427,0.848048020348329,0.00372870001389311,0.0036999067425409,-44.5465327893863,0
as.factor(year)2014,-0.186703639199504,0.829689587423591,0.00375624141055855,0.00372946139825117,-50.0618237494169,0
as.factor(year)2015,-0.142538025024624,0.867154580091076,0.00376727569236831,0.00373682770844435,-38.1441254844373,1.1125369293726e-308
as.factor(year)2016,-0.156563831718929,0.855076934930299,0.0038650866733955,0.00383541247495962,-40.8205982384142,0
as.factor(region)NORTHEAST,0.0108796125834072,1.01093901078275,0.00164754249962746,0.00162581591337456,6.69178625569318,2.20462729015894e-11
as.factor(region)SOUTH,0.0352381301011852,1.0358663503909,0.00188045081570327,0.00186233114171987,18.9215168622711,7.58401163568794e-80
as.factor(region)WEST,0.0388447711971342,1.03960909384922,0.00292497438433063,0.00290838624303105,13.3561253393398,1.0909685452026e-40
get(pollutants_i):as.factor(dual)1,0.0011179791502944,1.00111860432194,0.000360776593230132,0.000354151992317659,3.15677780881045,0.00159522849854177
