rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.00170185490107998,1.001703303878,0.000239573316761826,0.000238297770356974,7.14171558773117,9.21731656297142e-13
as.factor(race_collapsed)Hispanic,,,0,0,,
as.factor(race_collapsed)Others,,,0,0,,
as.factor(race_collapsed)White,,,0,0,,
mean_bmi,0.00424702297969748,1.00425605436276,0.000794647028991614,0.0007898755340253,5.37682558422103,7.58105472489535e-08
smoke_rate,0.0400231192763212,1.04083483726243,0.0101635146874985,0.0100983450785541,3.96333448352032,7.39101126026084e-05
hispanic,-0.0300651698895256,0.970382291781048,0.0057030646927061,0.00572269500233222,-5.25367329156506,1.49095259945623e-07
pct_blk,-0.017660847061897,0.982494191650898,0.00472150952870376,0.00471755121649972,-3.74364712779966,0.000181368320659633
medhouseholdincome,6.00759633589334e-07,1.00000060075981,5.92439416259638e-08,5.81831730241019e-08,10.3253157633819,5.41403715069408e-25
medianhousevalue,-2.0799413586549e-07,0.999999792005886,8.09235265775462e-09,7.97707059268586e-09,-26.0739996529802,7.19106636926217e-150
poverty,-0.0632833103845948,0.938677498930974,0.014947375368329,0.0148350827371684,-4.26578749210763,1.99198319678699e-05
education,0.114501844877635,1.12131470975048,0.00748831093601904,0.00743088581482575,15.4089092109565,1.42598519667711e-53
popdensity,-9.80200865949212e-07,0.999999019799614,8.95393135576261e-08,8.83133494027194e-08,-11.0991245669936,1.26678592731044e-28
pct_owner_occ,-0.00596081480514101,0.994056915604707,0.00606775601157748,0.00599202161938363,-0.994791938977379,0.319837467620822
summer_tmmx,0.00264041973414275,1.00264390871244,0.000386201263370498,0.000384135421457874,6.87366898923772,6.25713058606099e-12
winter_tmmx,-0.00220716514554935,0.997795268852366,0.000200397757051514,0.000199902580461171,-11.0412038726937,2.41771910936648e-28
summer_rmax,-0.000721038412980986,0.999279221472749,0.00011787846157598,0.000117517203484425,-6.13559880257489,8.4839017631695e-10
winter_rmax,0.000721640868423885,1.00072190131384,0.000114921205788569,0.000114545972856306,6.30001082036433,2.97624866859221e-10
as.factor(year)2002,-0.00499948779361251,0.99501298884456,0.00451479351218676,0.0044925403660377,-1.11284204175597,0.26577627564755
as.factor(year)2003,-0.0560843030532405,0.945459427414163,0.00435143724844201,0.00432707698576923,-12.9612445624816,2.02928121351569e-38
as.factor(year)2004,-0.108668676878596,0.897027574243951,0.0043853256725994,0.00436229850878233,-24.910875920073,5.6722582265532e-137
as.factor(year)2005,-0.112529890623772,0.893570637325598,0.00428226938049436,0.00425797658206819,-26.4280200829835,6.52955457184422e-154
as.factor(year)2006,-0.146535506099025,0.863695065347815,0.00440860894335347,0.0043814609746224,-33.4444394113664,3.10035023154755e-245
as.factor(year)2007,-0.159713277041553,0.852388153185148,0.00452750517382656,0.00449809868433928,-35.5068415011915,3.85465150145589e-276
as.factor(year)2008,-0.143654878888922,0.866186635774147,0.00446284729123421,0.00443340888469094,-32.4028039428032,2.50611368614648e-230
as.factor(year)2009,-0.192161268744392,0.825173783020815,0.00456687008174062,0.00453740637212894,-42.3504647775752,0
as.factor(year)2010,-0.185054167809892,0.831059265972549,0.00449399908786948,0.00446204013267427,-41.472994932249,0
as.factor(year)2011,-0.174254183868776,0.84008333488532,0.00447763066635292,0.00444613223990624,-39.1923079355936,0
as.factor(year)2012,-0.169030889108038,0.844482817662163,0.00454660185335447,0.0045147446257468,-37.4397453499549,8.82087682032068e-307
as.factor(year)2013,-0.148624826632744,0.861892413327606,0.00455102767612171,0.00451728620052773,-32.9013527226549,2.10209561485938e-237
as.factor(year)2014,-0.165707147145878,0.847294330422727,0.00464382505530494,0.00461104196817305,-35.9370286129782,8.07066739675261e-283
as.factor(year)2015,-0.128245760396934,0.879637172597533,0.0045600782538582,0.00452667257532716,-28.3311324737609,1.42967635366591e-176
as.factor(year)2016,-0.136100277190287,0.872755110670265,0.00465369102926525,0.00462022277685818,-29.457514012525,1.00875034658308e-190
as.factor(region)NORTHEAST,0.0359491508339433,1.03660313474583,0.0019063725187586,0.00188460028981355,19.0752124088338,4.05770521623652e-81
as.factor(region)SOUTH,0.0433555494010606,1.04430913233659,0.00235589022602645,0.00234447377454649,18.4926570182886,2.36603863487347e-76
as.factor(region)WEST,0.0542132778569049,1.05570973765638,0.00373404784760598,0.00372652826454528,14.5479314816146,6.01958727425918e-48
get(pollutants_i):as.factor(race_collapsed)Hispanic,-0.00179914514204021,0.998202472349402,0.000677466297173652,0.000669499173285831,-2.68730002041704,0.00720322206795433
get(pollutants_i):as.factor(race_collapsed)Others,-0.00287652491153368,0.997127608322183,0.000606994454479992,0.000606660107957789,-4.74157584090535,2.12062243313508e-06
get(pollutants_i):as.factor(race_collapsed)White,-0.00109354391641701,0.998907053784841,0.000232083974491743,0.000231022535292142,-4.7334945702771,2.20686869901903e-06
