rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.000234069568993256,1.00023409696541,0.000713431605998845,0.000713984840436889,0.327835488565876,0.743036052860781
as.factor(race_collapsed)Hispanic,,,0,0,,
as.factor(race_collapsed)Others,,,0,0,,
as.factor(race_collapsed)White,,,0,0,,
mean_bmi,0.00389120717853717,1.00389878775453,0.000793644856559332,0.00078879518267523,4.93310210812899,8.09338177790913e-07
smoke_rate,0.040150945838487,1.04096789210525,0.0101589065228527,0.0100936074259783,3.97785887086803,6.95386228898197e-05
hispanic,-0.0235422318162776,0.97673272460084,0.00563674311052783,0.00565809573192331,-4.16080478869436,3.17128074528868e-05
pct_blk,-0.00891875733019077,0.99112089680985,0.00460139952556496,0.00459859716504526,-1.93945175237,0.0524463540430281
medhouseholdincome,6.58828271286784e-07,1.00000065882849,5.84096784961454e-08,5.73664215502502e-08,11.4845628066531,1.57731347281528e-30
medianhousevalue,-2.08758361681506e-07,0.99999979124166,8.09035111173576e-09,7.97552366893955e-09,-26.1748783336334,5.13549065244821e-151
poverty,-0.0657006888660138,0.936411100619004,0.0149503512878418,0.0148358886105802,-4.42849704460302,9.48920188583441e-06
education,0.113768531185451,1.12049273573981,0.0074888458203437,0.00743119486424583,15.3095879281585,6.59806274712644e-53
popdensity,-8.24292236276505e-07,0.999999175708103,8.6525112657402e-08,8.53883670148049e-08,-9.65344888412712,4.75297434023205e-22
pct_owner_occ,-0.0106222513640139,0.98943396552197,0.00600731582548654,0.00593204114291492,-1.79065706189528,0.0733483440846333
summer_tmmx,0.00218222772834208,1.00218461052022,0.000388558402525609,0.000386455961126594,5.64676948436883,1.63490808198046e-08
winter_tmmx,-0.00207276510571803,0.99792938158842,0.000200423123691473,0.000199876155560618,-10.3702470157297,3.38648229669387e-25
summer_rmax,-0.000826363994108775,0.999173977350585,0.000117064504692318,0.000116734078810606,-7.07902955613757,1.45167425164772e-12
winter_rmax,0.000700494051276015,1.00070073945453,0.000118807326768817,0.000118384336626756,5.91711767988821,3.27632285115315e-09
as.factor(year)2002,-0.00623180102899297,0.993787576370113,0.00451153593154258,0.00448949652836563,-1.38808460806665,0.165111282932988
as.factor(year)2003,-0.0565132800948509,0.945053934005928,0.00435751521099826,0.00433339591931665,-13.041337820746,7.11966992172534e-39
as.factor(year)2004,-0.110225418666986,0.895632220318467,0.00439977505119374,0.00437737619285514,-25.1807050184305,6.51769039190091e-140
as.factor(year)2005,-0.114302009889325,0.891988525843219,0.00427667175998062,0.00425320087247968,-26.8743502402898,4.38125786398092e-159
as.factor(year)2006,-0.149773488272096,0.8609029589581,0.00438738007851529,0.00436164848309827,-34.338734277299,2.07447162189471e-258
as.factor(year)2007,-0.163967673804283,0.848769458924384,0.00449019724928767,0.00446245744325871,-36.7438067229041,1.45999912047786e-295
as.factor(year)2008,-0.147550804128568,0.862818602460654,0.00443588228324752,0.00440821008348338,-33.4718176616421,1.23945682295137e-245
as.factor(year)2009,-0.196124054650015,0.821910266563046,0.00457100504858319,0.00454319619400116,-43.1687398640142,0
as.factor(year)2010,-0.189248110422903,0.827581149711141,0.00445353176454299,0.00442324210245975,-42.7849315138467,0
as.factor(year)2011,-0.177475409195466,0.837381590969594,0.00446234950160266,0.00443210389694842,-40.0431518127679,0
as.factor(year)2012,-0.173652965083045,0.840588560628218,0.00450064803212281,0.00447118276897847,-38.8382613853022,0
as.factor(year)2013,-0.153525814405178,0.857678623449556,0.0045109815052718,0.00447970099320342,-34.2714423659317,2.09077456874744e-257
as.factor(year)2014,-0.171209009267632,0.842645434359799,0.00458587910621685,0.00455602388008262,-37.5786022580126,1.35291425163862e-308
as.factor(year)2015,-0.133247657217783,0.875248303705508,0.00450757652625773,0.00447712965143049,-29.7618491292091,1.21839175453256e-194
as.factor(year)2016,-0.142126599996285,0.867511422590698,0.00456955865243265,0.00453985264168543,-31.3064346387066,3.8142245072373e-215
as.factor(region)NORTHEAST,0.0346488941001047,1.03525616043554,0.00189516437145867,0.00187344663433392,18.4947323639264,2.27669473548243e-76
as.factor(region)SOUTH,0.0395221458418625,1.04031353724894,0.00228447273874058,0.00227388765080495,17.3808700829488,1.15192448953673e-67
as.factor(region)WEST,0.0486908348616935,1.04989570940652,0.00367654095998302,0.00367112910569359,13.2631769300019,3.78514286349006e-40
get(pollutants_i):as.factor(race_collapsed)Hispanic,-7.70705150994244e-05,0.999922932454756,0.00181189091251193,0.00180998067830471,-0.0425808496318376,0.966035661422717
get(pollutants_i):as.factor(race_collapsed)Others,-0.00274464067973977,0.997259122402934,0.00154070627162816,0.00153720485568871,-1.78547489593382,0.0741843197636261
get(pollutants_i):as.factor(race_collapsed)White,0.000560752443906839,1.00056090969495,0.000716190549899487,0.000716794680588249,0.782305531964396,0.434035036544058
