rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.00279366212924765,1.00279756803971,0.000441333293508571,0.000439412630183056,6.35771923097394,2.0477130735854e-10
as.factor(race_collapsed)Hispanic,,,0,0,,
as.factor(race_collapsed)Others,,,0,0,,
as.factor(race_collapsed)White,,,0,0,,
mean_bmi,0.00211839321120561,1.00212063859136,0.000633163449057262,0.000628110648431256,3.37264336545865,0.000744503161264457
smoke_rate,0.068507522740131,1.07090868108839,0.0081492996728002,0.00807656985740078,8.48225471328718,2.20871382982119e-17
hispanic,-0.0679652693830835,0.934292921583288,0.00426167042434247,0.00426555499316733,-15.9335114637959,3.70928735266118e-57
pct_blk,0.000872166487456344,1.00087254693524,0.00349889574329146,0.00347757683351215,0.250797187010102,0.801970916528074
medhouseholdincome,6.32785939003327e-07,1.00000063278614,4.89695944190539e-08,4.81064307891868e-08,13.1538742039778,1.61673606815413e-39
medianhousevalue,-2.52327240360576e-07,0.999999747672791,6.82187050972515e-09,6.7311737937795e-09,-37.4863653934711,1.53625762592898e-307
poverty,-0.174167761963623,0.840155939624883,0.0113206817414196,0.0112038785564433,-15.545309696655,1.71193066742438e-54
education,0.0468202713911918,1.0479336484965,0.00593322849098337,0.00587192434929669,7.97358218635765,1.54140026030817e-15
popdensity,-1.05572698201437e-06,0.999998944273575,7.22125507066644e-08,7.12311644623357e-08,-14.8211388931119,1.06955536410554e-49
pct_owner_occ,-0.0120266337399085,0.988045397167363,0.00483140243541991,0.00476187450681876,-2.52560913201031,0.011549790294554
summer_tmmx,0.000778112090919742,1.00077841489867,0.000307545172189294,0.000305225144253797,2.54930534252688,0.0107937749369392
winter_tmmx,-6.6486316128944e-05,0.999933515894037,0.000159038430616098,0.000157965812764086,-0.420890539323453,0.673835013884212
summer_rmax,-0.00106688336490456,0.998933685552812,9.34118584600756e-05,9.29182992062348e-05,-11.4819510690416,1.62569990423398e-30
winter_rmax,0.000986233627059192,1.00098672011536,9.44327930346121e-05,9.38965904560846e-05,10.5034019048908,8.33220757187982e-26
as.factor(year)2002,-0.0178107886915713,0.982346885914564,0.00363046788139875,0.00361257409618032,-4.9302210051285,8.21366422668204e-07
as.factor(year)2003,-0.0518220375311285,0.949497826785622,0.00350467387769847,0.00348511199486108,-14.8695472649206,5.19635446028883e-50
as.factor(year)2004,-0.109155258403934,0.896591203372217,0.00353370788122659,0.00351429886482125,-31.0603231548112,8.27671397939013e-212
as.factor(year)2005,-0.108361675546513,0.897303005180828,0.00344834062933077,0.00342853783851248,-31.60579834625,3.07332575738539e-219
as.factor(year)2006,-0.146585355955133,0.863652011346213,0.00353413988430795,0.0035119174677712,-41.7394079730928,0
as.factor(year)2007,-0.161535594001804,0.850836246259506,0.0036239996003041,0.00359919062749099,-44.8810887558939,0
as.factor(year)2008,-0.147048782058357,0.863251865186303,0.0035847853296131,0.00355972173545112,-41.309066546945,0
as.factor(year)2009,-0.199555033856934,0.819095141607656,0.00369572795300734,0.00366976066922458,-54.3782147785403,0
as.factor(year)2010,-0.191707549700975,0.825548265028684,0.00360444118777568,0.00357779305523983,-53.5826267034118,0
as.factor(year)2011,-0.177997198966029,0.836944767796211,0.00361139643085012,0.0035843479156654,-49.6595763452794,0
as.factor(year)2012,-0.182709872366209,0.833009799843732,0.00364112264440197,0.00361438762429679,-50.5507132489027,0
as.factor(year)2013,-0.166928525298677,0.846260095363182,0.00365695129730965,0.00362848980594736,-46.0049591499661,0
as.factor(year)2014,-0.187440662943155,0.8290783117878,0.00371998560374119,0.00369285050639326,-50.7577175460115,0
as.factor(year)2015,-0.145589536026694,0.864512481595952,0.00365822581803915,0.00362994602017411,-40.1079066238321,0
as.factor(year)2016,-0.160633192298291,0.851604388872016,0.00371173206087962,0.00368500054619028,-43.5910904991209,0
as.factor(region)NORTHEAST,0.00851430494287178,1.00855065472835,0.00160602600244328,0.00158509614925083,5.371475381412,7.80950313479179e-08
as.factor(region)SOUTH,0.0332047376349043,1.03376216759767,0.00185533214259968,0.00183720932731426,18.0734645427938,5.15711355872441e-73
as.factor(region)WEST,0.0371379183163681,1.03783614758217,0.00292047613658487,0.00290447880429382,12.7864311701864,1.95235406222684e-37
get(pollutants_i):as.factor(race_collapsed)Hispanic,-0.00243733930007101,0.997565628599612,0.000866848960617595,0.0008591242915968,-2.8370042890312,0.00455390002545167
get(pollutants_i):as.factor(race_collapsed)Others,-0.00765500146280455,0.992374223441119,0.000893096166249061,0.000885279155356735,-8.64699164832347,5.28748385558718e-18
get(pollutants_i):as.factor(race_collapsed)White,-0.00151027570129827,0.998490864191126,0.00044619055397846,0.000444460064396004,-3.39800090554964,0.000678801954065126
