rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.000747856565580134,1.00074813628003,0.00024911022956329,0.000246493974415416,3.033975038756,0.00241354398628952
as.factor(sex)2,,,0,0,,
mean_bmi,0.00207855107333401,1.00208071275808,0.000645306692787758,0.00064062043292407,3.24459066009899,0.0011761956919324
smoke_rate,0.067827250771123,1.07018041966728,0.00828748860361863,0.00821532820439748,8.25618272132044,1.50405315752706e-16
hispanic,-0.0673233605394152,0.934892844999703,0.00434331175714501,0.00434988987694594,-15.4770264176626,4.95868976958503e-54
pct_blk,0.00304074202994047,1.00304536977539,0.0035646393145456,0.00354273178191228,0.858304330422425,0.390724438876167
medhouseholdincome,6.90184357596838e-07,1.0000006901846,5.04326977435116e-08,4.95710617024574e-08,13.923130429192,4.58379431381654e-44
medianhousevalue,-2.50280274701233e-07,0.999999749719757,7.04450662499289e-09,6.95325481878864e-09,-35.9946933089438,1.01275556082753e-283
poverty,-0.170807143971248,0.842984132367954,0.0115703614502792,0.0114540205815369,-14.9124181116435,2.7365956817312e-50
education,0.0472276787880639,1.04836067139657,0.00604882755740717,0.00598188358708664,7.89511833530435,2.90039915627342e-15
popdensity,-1.00898504330451e-06,0.999998991015466,7.3511648385246e-08,7.25992070509536e-08,-13.8980174066688,6.51202709051496e-44
pct_owner_occ,-0.0150357772430166,0.985076695644271,0.00494460914304688,0.00487221966250709,-3.08602203605895,0.00202853787988135
summer_tmmx,0.000549480709630361,1.00054963170181,0.000313457307382461,0.000310918742852065,1.7672807518452,0.0771812217368767
winter_tmmx,2.26581149003311e-05,1.0000226583716,0.000162920088970631,0.000161801683215219,0.140036336149807,0.888631281142743
summer_rmax,-0.00112612620458001,0.998874507637583,9.54349326367302e-05,9.49052643650817e-05,-11.8657928210181,1.78206314043314e-32
winter_rmax,0.00110711505282033,1.00110772813092,9.64281260969298e-05,9.58438184211937e-05,11.5512410821846,7.27620448037848e-31
as.factor(year)2001,0.0708983304043788,1.07347208084772,0.00383668614464729,0.00381263721333738,18.5956141214701,3.48696427139915e-77
as.factor(year)2002,0.058567420047946,1.06031646987207,0.00340107210823224,0.00337995650301301,17.3278620585019,2.89906760587658e-67
as.factor(year)2003,0.0270944406909019,1.02746483267031,0.00322944735778068,0.00320952040357519,8.44189700764032,3.12228414382226e-17
as.factor(year)2004,-0.0282886514587071,0.972107725986379,0.00309740381069344,0.0030799535807434,-9.18476552230348,4.12424848746903e-20
as.factor(year)2005,-0.0257568920228495,0.974571987036111,0.00296767181152243,0.00295089144286643,-8.72851222132046,2.58044569273729e-18
as.factor(year)2006,-0.0629267037179139,0.939012297277069,0.00284221375924216,0.00282927066807108,-22.2413162614858,1.36881609405848e-109
as.factor(year)2007,-0.0764358140859149,0.926412375005641,0.0027902712692716,0.00277792201620972,-27.515464307456,1.14669211643652e-166
as.factor(year)2008,-0.0616061580141099,0.940253125036624,0.00275003199326543,0.0027362492624307,-22.5148194135585,2.97146662338965e-112
as.factor(year)2009,-0.11312425372397,0.893039689714815,0.0027627706810579,0.00274881294301703,-41.1538566170342,0
as.factor(year)2010,-0.104185736935346,0.901057922140773,0.00280754162410086,0.00279112803750462,-37.3274660049247,5.88470733956236e-305
as.factor(year)2011,-0.0842814904750904,0.919172481377051,0.00284851109375399,0.00282883180960329,-29.7937439012713,4.70813623350349e-195
as.factor(year)2012,-0.0925439188328599,0.911609173274349,0.00270629869486682,0.00268401836633259,-34.4796145934392,1.62127667501786e-260
as.factor(year)2013,-0.0617028636998925,0.940162201609835,0.0027263115622613,0.00269960363491584,-22.8562678245972,1.26601527616402e-115
as.factor(year)2014,-0.0767015660846842,0.926166211775933,0.0028521593927036,0.00282142102656108,-27.1854378919734,9.65554259602209e-163
as.factor(year)2015,-0.024963822938197,0.975345196513538,0.00286290703565177,0.00282874692347113,-8.82504642994506,1.09414407369926e-18
as.factor(year)2016,,,0,0,,
as.factor(region)NORTHEAST,0.00970159558835803,1.00974880862391,0.00164638707835207,0.00162462479306135,5.97159148979679,2.34950241607299e-09
as.factor(region)SOUTH,0.0328375174126462,1.03338261891796,0.00190164103715552,0.00188241988941828,17.4443106966926,3.80278598019287e-68
as.factor(region)WEST,0.035130198905701,1.0357545541306,0.00298763372946765,0.0029705379183325,11.8262078692539,2.85762463644437e-32
get(pollutants_i):as.factor(sex)2,0.00106017718721284,1.0010607393737,0.000267920947994524,0.000265969534482264,3.98608505773631,6.71724400560618e-05
