rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.00356643452490254,1.00357280181978,3.27510871584107e-05,3.25198294921729e-05,109.669533346137,0
mean_bmi,0.0171054147314728,1.01725255007786,0.000280880838111944,0.000279560930327398,61.1867141500796,0
smoke_rate,0.184652928243734,1.20280090945125,0.00351511855669399,0.00350740760661397,52.6465552208791,0
hispanic,-0.124952453740813,0.88253886300858,0.00193879803966683,0.00194602748050136,-64.2089872793684,0
pct_blk,0.0431049838342515,1.04404749720667,0.00168640908080879,0.00168198353731242,25.6274707082612,7.54011906326604e-145
medhouseholdincome,8.92289377938084e-07,1.00000089228978,2.34466935293265e-08,2.34111092381827e-08,38.1139299663251,1.11253692963021e-308
medianhousevalue,-2.39154510239602e-10,0.999999999760846,3.22831635855822e-09,3.21224403051758e-09,-0.0744509159228066,0.940651596134519
poverty,-0.162135522866903,0.8503259581195,0.005171521779541,0.00518476332223764,-31.2715379256557,1.1378586160338e-214
education,0.255230591349599,1.29075922447074,0.00253040526525877,0.00252461048026588,101.097018072554,0
popdensity,-1.4776777235132e-06,0.999998522323368,3.47794216934819e-08,3.49036393892586e-08,-42.335921106495,0
pct_owner_occ,-0.0813662994334823,0.921855954278114,0.00221224211162075,0.0022080012759192,-36.8506577966579,2.85446013965893e-297
summer_tmmx,0.00463249300718116,1.004643239591,0.000134765969145457,0.000134017382836132,34.5663592971776,8.0945367079987e-262
winter_tmmx,0.00308528788347577,1.00309005228273,7.01766642533566e-05,6.99736739300959e-05,44.0921236543617,0
summer_rmax,0.000533039108363357,1.00053318119895,4.09434004776507e-05,4.09576913549227e-05,13.014383641506,1.01356806064596e-38
winter_rmax,-0.000795771867809142,0.999204544674653,3.97731902692567e-05,3.95016938484531e-05,-20.1452593618414,2.96154640618463e-90
as.factor(year)2002,-0.142510348741535,0.86717858003883,0.00107978346555948,0.00106785815927461,-133.45438015695,0
as.factor(year)2003,-0.195561236780885,0.822372982548087,0.00107441578571257,0.00106249290816454,-184.058863149231,0
as.factor(year)2004,-0.242700013829993,0.784506819671711,0.00113050885483571,0.00111813720737136,-217.057452546954,0
as.factor(year)2005,-0.288476707413017,0.749404260508135,0.00113310430829845,0.00112101541791108,-257.335182731535,0
as.factor(year)2006,-0.344434481507702,0.708620978444047,0.00121856143146887,0.00120657917868303,-285.46363768986,0
as.factor(year)2007,-0.385559943102618,0.680069729217246,0.00129952532150375,0.0012875553728275,-299.451154676105,0
as.factor(year)2008,-0.459178839604365,0.631802243531967,0.00131183455643918,0.00129926596539252,-353.414044418259,0
as.factor(year)2009,-0.498634373935605,0.607359519617923,0.00137281864508008,0.00136098733328787,-366.37693954947,0
as.factor(year)2010,-0.489354304644208,0.613022091938329,0.00135775698735476,0.00134583196493731,-363.607283370628,0
as.factor(year)2011,-0.539279079570277,0.583168518965695,0.00137601874581336,0.00136412861854576,-395.328616553166,0
as.factor(year)2012,-0.576796159803002,0.56169506809386,0.0014237420426167,0.00141143165298693,-408.660354599787,0
as.factor(year)2013,-0.598239783347972,0.549778514182517,0.00144334011394997,0.0014305638021203,-418.184622357489,0
as.factor(year)2014,-0.603133681371601,0.547094527134821,0.00148719245258134,0.00147438361378749,-409.07513874373,0
as.factor(year)2015,-0.564322291883634,0.568745459592087,0.00145416893423693,0.00144211783641745,-391.314965832154,0
as.factor(year)2016,-0.613004720471352,0.541720701919851,0.00150418410245909,0.00149281761107389,-410.636045504831,0
as.factor(region)NORTHEAST,0.0235049667583788,1.02378338561871,0.000729926467093347,0.000730620749264433,32.1712280715308,4.45947280883583e-227
as.factor(region)SOUTH,0.00671262716264884,1.00673520734019,0.000857470672527496,0.000851553842190732,7.88279828011785,3.20129649239525e-15
as.factor(region)WEST,-0.0959986581264728,0.908465235113338,0.00130531597775238,0.00130556541330176,-73.5303318764346,0
