rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.00506810417536713,1.00508096873913,7.56460383034418e-05,7.53620642301217e-05,67.2500710687997,0
mean_bmi,0.0154148099956886,1.01553423100765,0.000279952760588294,0.000278530195083421,55.3434071701699,0
smoke_rate,0.178858268878318,1.19585124281835,0.00351071722607314,0.00350187650471318,51.0749789827233,0
hispanic,-0.0973312548687338,0.907255423575059,0.00191630694530049,0.00192283233841801,-50.6186904204098,0
pct_blk,0.0723256679640694,1.07500538187675,0.00165537180341989,0.00165119793811196,43.8019369420781,0
medhouseholdincome,1.27462599694887e-06,1.00000127462681,2.29915433587861e-08,2.29639427967041e-08,55.5055378875012,0
medianhousevalue,-1.02324185212311e-08,0.999999989767582,3.22081579312465e-09,3.20446822434106e-09,-3.19317209748124,0.00140719053668801
poverty,-0.184424848617346,0.831582432120751,0.00517509106228681,0.00518828236835937,-35.5464170073042,9.43823650475304e-277
education,0.254356006839459,1.28963083995244,0.00253157317213235,0.00252559323501623,100.711390620202,0
popdensity,-6.8606228990637e-07,0.999999313937945,3.34822886570732e-08,3.36356899424502e-08,-20.3968549799396,1.78321971271356e-92
pct_owner_occ,-0.114298134473093,0.891991982676729,0.00217932144261275,0.00217666311019053,-52.5107141927391,0
summer_tmmx,0.00219839136165356,1.00220080959569,0.00013554000807164,0.000134788466431396,16.3099367464982,8.38795578558611e-60
winter_tmmx,0.00399523136930921,1.00400322294534,6.99789529434249e-05,6.98212412633426e-05,57.2208585384571,0
summer_rmax,0.000178632265753785,1.00017864822145,4.07041492835577e-05,4.07082973316694e-05,4.38810457480905,1.14342796871622e-05
winter_rmax,-0.000807453783931832,0.999192872119152,4.10440779329739e-05,4.07696672673573e-05,-19.8052581257716,2.68184824725481e-87
as.factor(year)2002,-0.147767333981945,0.862631796700414,0.00107841521192892,0.00106653543227623,-138.54892159239,0
as.factor(year)2003,-0.196117421429108,0.821915718493492,0.00107734233085056,0.00106551121988095,-184.059461570962,0
as.factor(year)2004,-0.247356200546672,0.780862500338538,0.00113610977530201,0.00112371363515221,-220.123875700029,0
as.factor(year)2005,-0.296019775297757,0.743772719547755,0.00113061191704069,0.00111867385122135,-264.616693216319,0
as.factor(year)2006,-0.358532780230992,0.698700721892141,0.00120856198521735,0.0011966957758487,-299.602277760795,0
as.factor(year)2007,-0.404167201583147,0.667532499446807,0.00128351672533059,0.00127174464054764,-317.805311457105,0
as.factor(year)2008,-0.475184272880372,0.621770470472275,0.00130121203578261,0.0012888577584328,-368.686357956347,0
as.factor(year)2009,-0.513371463416478,0.59847443895058,0.00137431596974199,0.00136259403150563,-376.760393445446,0
as.factor(year)2010,-0.507091126673918,0.602244887408974,0.00134331778934937,0.00133168083954535,-380.790285191041,0
as.factor(year)2011,-0.552814678710126,0.57532816530794,0.00137096717723714,0.00135960842955858,-406.59844900315,0
as.factor(year)2012,-0.596572447266416,0.550695944355754,0.00140772730087766,0.00139584687596374,-427.391039475246,0
as.factor(year)2013,-0.618411436221427,0.538799675763459,0.00142980144402955,0.00141757242830639,-436.246800426457,0
as.factor(year)2014,-0.625523022910381,0.534981547727245,0.00146730840202706,0.001455125493939,-429.875653691628,0
as.factor(year)2015,-0.585530493695935,0.556810399042012,0.00143547822271823,0.00142384358017247,-411.232316421309,0
as.factor(year)2016,-0.639904805995097,0.527342621509859,0.0014735080895566,0.00146310117039351,-437.361967131085,0
as.factor(region)NORTHEAST,0.0184593385132059,1.01863076528607,0.000727565976589566,0.00072790021925135,25.3597100605237,7.02260369223063e-142
as.factor(region)SOUTH,-0.0119645227135848,0.988106767586906,0.000832814573850947,0.000826635652570658,-14.4737559726316,1.77508289944985e-47
as.factor(region)WEST,-0.122457636106776,0.884743385323877,0.00129143153224886,0.00129035969504284,-94.9019382558365,0
