rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
pm25,0.00509749367125637,1.0051105079962,0.000141389240566664,0.000140888157726365,36.1811365377976,1.20553604949445e-286
no2,0.00155406719151226,1.00155527537972,4.21785460518896e-05,4.20773278325079e-05,36.9335999115331,1.33550793243966e-298
ozone_summer,0.000597386250540794,1.00059756472124,6.3714530791556e-05,6.37019458814291e-05,9.37783363247227,6.73421027483526e-21
mean_bmi,0.00742961063692034,1.00745727867249,0.00032184959504557,0.000321847427395366,23.0842629287001,6.66342190891318e-118
smoke_rate,0.161506111572989,1.17527964094373,0.00404170314718455,0.00402849590146018,40.0909211585517,0
hispanic,-0.127324322236865,0.880448077397318,0.00221220944639815,0.00224033910928741,-56.8326115046769,0
pct_blk,0.043204364510242,1.04415126050866,0.00189967994639763,0.00192182100010789,22.4809514038074,6.37582657936461e-112
medhouseholdincome,1.87444140801515e-06,1.00000187444316,2.60885003491303e-08,2.61281259313403e-08,71.7403694754388,0
medianhousevalue,-4.74449646075069e-07,0.999999525550466,3.60445124762907e-09,3.62174413077639e-09,-131.000321652585,0
poverty,-0.276271788047977,0.75860672249975,0.00584265548085405,0.00590936700603317,-46.7515027863251,0
education,0.182265062932167,1.19993220928075,0.00302628790300759,0.00304259155255715,59.9045451168041,0
popdensity,-9.65701314364938e-07,0.999999034299152,4.08747136829086e-08,4.11521660219865e-08,-23.4665974531933,8.94957630432058e-122
pct_owner_occ,-0.147308195213337,0.863027955340248,0.00253025687315052,0.00254493195344153,-57.8829602945301,0
summer_tmmx,-0.00135646835872862,0.998644451228632,0.000165242231421711,0.000165109120715153,-8.21558707873443,2.11128777729015e-16
winter_tmmx,-0.000335025237325623,0.999665030877362,8.49221057841413e-05,8.47460119616885e-05,-3.95328617324293,7.70851512213959e-05
summer_rmax,-0.000503127167617179,0.999496999379632,4.87413335955258e-05,4.87547607032713e-05,-10.3195495241846,5.7492261130793e-25
winter_rmax,0.0003635475154672,1.00036361360687,4.78763042379974e-05,4.78271274637711e-05,7.60128267671075,2.93209844959304e-14
as.factor(year)2002,-0.0668090215384304,0.935373820533262,0.00177163185929746,0.0017648095035881,-37.8562226702646,1.11254369242072e-308
as.factor(year)2003,-0.141363403975079,0.86817375656995,0.00174061135575353,0.00173524424442084,-81.4659979017887,0
as.factor(year)2004,-0.214219954597154,0.807170824562226,0.0017713182661514,0.00176764801003411,-121.189260181398,0
as.factor(year)2005,-0.24296978092103,0.784295214092464,0.00174849495352164,0.00174540108797038,-139.205700394954,0
as.factor(year)2006,-0.280521485284213,0.755389714105171,0.00180613399001575,0.00180293162374288,-155.591860273576,0
as.factor(year)2007,-0.311352599843837,0.732455566613702,0.00186122719575845,0.00185941128045145,-167.446870478404,0
as.factor(year)2008,-0.311606873251768,0.732269346317059,0.00184804481643093,0.00184855710207709,-168.567621147131,0
as.factor(year)2009,-0.361271578702768,0.696789739515126,0.00190200660573867,0.00190301441623353,-189.841745612102,0
as.factor(year)2010,-0.372526340448467,0.688991502973683,0.00188997806465025,0.00189233762330392,-196.860399466168,0
as.factor(year)2011,-0.380725841716411,0.68336521417462,0.00190146978810315,0.00190442879529651,-199.916028709876,0
as.factor(year)2012,-0.395112342722631,0.673604360450137,0.00192708228103449,0.00193011668788525,-204.709044381943,0
as.factor(year)2013,-0.393567723677927,0.674645626546581,0.00194137492330307,0.00194514904385694,-202.332939432518,0
as.factor(year)2014,-0.419615865413604,0.657299262706348,0.00196268931150564,0.00196778830461694,-213.242382033207,0
as.factor(year)2015,-0.400799134291428,0.669784584282041,0.00196293072510743,0.00196878433480432,-203.576962293975,0
as.factor(year)2016,-0.415496254693788,0.660012665038316,0.00203287465997937,0.00204036389477092,-203.638309694966,0
as.factor(region)NORTHEAST,0.0313357188149866,1.03183185111195,0.000835149151953122,0.000835645968879494,37.4987973160503,9.63592649674759e-308
as.factor(region)SOUTH,0.0480604631761183,1.0492340934324,0.000975227064425756,0.000971541534197353,49.4682537847688,0
as.factor(region)WEST,0.0576226610511127,1.05931519940179,0.00153228655745675,0.00153086078608353,37.6406931152318,1.13576464006787e-308
