rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.00749293525159827,1.00752107753647,0.000122166784358912,0.000121761899137515,61.5376017019569,0
mean_bmi,0.00585343736515224,1.00587060220441,0.000318896303404451,0.000318777281961257,18.3621534418618,2.63930399427767e-75
smoke_rate,0.165698504789277,1.18021721823848,0.0040372645617084,0.0040230086836369,41.1877074646235,0
hispanic,-0.113035964188518,0.893118539254904,0.0021612797494936,0.00218953302152314,-51.6256037599672,0
pct_blk,0.0570979656251658,1.05875952735407,0.00185431909127332,0.00187619826374485,30.4327995225833,2.0233232693649e-203
medhouseholdincome,2.01300369305465e-06,1.00000201300572,2.572818446199e-08,2.57621137863769e-08,78.1381415262259,0
medianhousevalue,-4.75923321972768e-07,0.999999524076791,3.5998087385663e-09,3.61585723180426e-09,-131.6211596483,0
poverty,-0.286513970263104,0.750876588514316,0.00583472468121224,0.00590213790532131,-48.5440995888601,0
education,0.174862689598371,1.19108265734537,0.00301687866817282,0.00303269140136858,57.659242717363,0
popdensity,-7.05018458663703e-07,0.99999929498179,3.91981825128116e-08,3.94151638052196e-08,-17.8869853782097,1.48951777232949e-71
pct_owner_occ,-0.157568087263627,0.854218650217976,0.00250890023944569,0.00252410541879246,-62.425319517363,0
summer_tmmx,-0.00172374804333708,0.998277736757058,0.000154242992882373,0.000154273809160664,-11.1733031855195,5.50932075987899e-29
winter_tmmx,-0.000244832141034919,0.999755197827908,7.94138388100149e-05,7.92578545226763e-05,-3.08905839691724,0.00200791967078139
summer_rmax,-0.000944218320499084,0.99905622731335,4.73178242727751e-05,4.73256179055471e-05,-19.9515265153762,1.45381254801382e-88
winter_rmax,-1.24806204970499e-05,0.999987519457386,4.51180213813716e-05,4.50839261490206e-05,-0.276830825598382,0.781910010405387
as.factor(year)2002,-0.0693651436691067,0.932985943962367,0.00176709968278791,0.00176029155859249,-39.4054856029478,0
as.factor(year)2003,-0.144169483877234,0.865741006481931,0.00173738088632506,0.00173197214519447,-83.2400707351138,0
as.factor(year)2004,-0.220912520318806,0.801786817277531,0.00176109893994622,0.00175745334750185,-125.700361055288,0
as.factor(year)2005,-0.248602062603527,0.77989025914271,0.00174103615426592,0.0017379115352273,-143.046442563035,0
as.factor(year)2006,-0.289416228952218,0.748700509710102,0.0017892998134717,0.0017861084650325,-162.037320027455,0
as.factor(year)2007,-0.325301022323536,0.722309889511681,0.0018232921517429,0.00182147312734026,-178.592270970555,0
as.factor(year)2008,-0.322065863764052,0.724650460551135,0.00182650856073478,0.00182697901987525,-176.283285281537,0
as.factor(year)2009,-0.373382550513845,0.68840183399016,0.0018741197506279,0.001875153026028,-199.121109227418,0
as.factor(year)2010,-0.382363183925468,0.682247226978829,0.00187052328800797,0.00187276296551902,-204.170624347807,0
as.factor(year)2011,-0.388986056631867,0.677743719978277,0.00188498310849116,0.00188772600650361,-206.060654613926,0
as.factor(year)2012,-0.404404089577917,0.667374387739691,0.00190948082253431,0.00191248692719738,-211.454564121149,0
as.factor(year)2013,-0.404669085993589,0.667197559349508,0.00191858679817326,0.00192243332243374,-210.498372698456,0
as.factor(year)2014,-0.432231062858628,0.649059385840046,0.00193373214583177,0.00193917123241797,-222.894737521284,0
as.factor(year)2015,-0.410425280150512,0.663368072864503,0.00194589379310642,0.00195178994944069,-210.281480478022,0
as.factor(year)2016,-0.426843550179363,0.652565638019062,0.0020093598049389,0.00201693099921738,-211.630219548904,0
as.factor(region)NORTHEAST,0.0316729529730666,1.03217987873764,0.000832112796970525,0.000832523576462493,38.0445117334087,1.11253693455862e-308
as.factor(region)SOUTH,0.041761036787704,1.04264529511008,0.000952248613628521,0.000948592740761934,44.0242002633928,0
as.factor(region)WEST,0.0539640193109052,1.05544662577498,0.00145315834145498,0.00145314019528398,37.1361410867583,7.33828284592147e-302
