modifier,pollutant,level,HR,HR_lci,HR_uci
Sex,PM[2.5],Male,1.08892401715694,1.08398170278611,1.09388886555327
Sex,PM[2.5],Female,1.08145291285553,1.07651636504433,1.0864120980414
Sex,NO[2],Male,1.11781311549834,1.11061263058645,1.12506028363851
Sex,NO[2],Female,1.10658859750795,1.09947769965029,1.11374548526459
Sex,Summer ozone,Male,1.02285853377618,1.01879948798762,1.02693375139531
Sex,Summer ozone,Female,1.01813118761245,1.01411094373576,1.02216736895726
Sex,Ox,Male,1.05724740160882,1.05216814063834,1.06235118232192
Sex,Ox,Female,1.05338347242962,1.04832211464596,1.05846926673165
Dual elegibility,PM[2.5],TRUE,1.08121555690912,1.07612411283477,1.08633109002902
Dual elegibility,PM[2.5],FALSE,1.08915763619143,1.08405005514389,1.09428928198028
Dual elegibility,NO[2],TRUE,1.11916596582434,1.11206589992951,1.12631136260803
Dual elegibility,NO[2],FALSE,1.09140171693217,1.08450761779499,1.09833964112151
Dual elegibility,Summer ozone,TRUE,1.02323654137935,1.01934617658567,1.02714175386519
Dual elegibility,Summer ozone,FALSE,1.0139278674816,1.0100438848676,1.01782678540799
Dual elegibility,Ox,TRUE,1.06190019519839,1.05706269443726,1.06675983411058
Dual elegibility,Ox,FALSE,1.04130623767565,1.03654454823885,1.04608980141233
Above median population density,PM[2.5],FALSE,1.07279075606109,1.06696912178974,1.07864415453713
Above median population density,PM[2.5],TRUE,1.07985905082172,1.07400711682172,1.08574287020776
Above median population density,NO[2],FALSE,1.08827528130848,1.07751795108096,1.09914000664112
Above median population density,NO[2],TRUE,1.11101826301163,1.09984029437518,1.1223098363082
Above median population density,Summer ozone,FALSE,1.03055795873404,1.02552292028688,1.03561771784971
Above median population density,Summer ozone,TRUE,1.01363618415377,1.00870511155185,1.01859136239047
Above median population density,Ox,FALSE,1.05171867280517,1.04553278256744,1.05794116183605
Above median population density,Ox,TRUE,1.0405484879121,1.03444794052926,1.04668501262828
Entry age over 85,PM[2.5],FALSE,1.08299792414418,1.07782913090294,1.08819150463862
Entry age over 85,PM[2.5],TRUE,1.08620296821622,1.08104474667374,1.09138580229167
Entry age over 85,NO[2],FALSE,1.10524563225947,1.0984616329123,1.11207152897089
Entry age over 85,NO[2],TRUE,1.12070751476327,1.11373583560922,1.12772283470597
Entry age over 85,Summer ozone,FALSE,1.022409762292,1.01858362192704,1.02625027491838
Entry age over 85,Summer ozone,TRUE,1.01451861497949,1.01072731286654,1.01832413850658
Entry age over 85,Ox,FALSE,1.0519327588432,1.04716340393705,1.05672383600028
Entry age over 85,Ox,TRUE,1.06028241914204,1.05545135609371,1.06513559516605
Race,PM[2.5],Black,1.08462168789866,1.07694520270892,1.09235289121586
Race,PM[2.5],Hispanic,1.08462090870929,1.07696909599647,1.09232708717689
Race,PM[2.5],Others,1.05280859445095,1.04535726863559,1.0603130334536
Race,PM[2.5],White,1.10093995623619,1.09314797737099,1.10878747646988
Race,NO[2],Black,1.13366311715714,1.12414053924321,1.14326636068801
Race,NO[2],Hispanic,1.11043181137603,1.10115092591541,1.11979091938807
Race,NO[2],Others,1.04322275054727,1.0344598563741,1.05205987506762
Race,NO[2],White,1.09419772158701,1.08500664630251,1.10346665433457
Race,Summer ozone,Black,1.01599440983698,1.009677623946,1.02235071505873
Race,Summer ozone,Hispanic,1.01912807301268,1.0128191858375,1.02547625847323
Race,Summer ozone,Others,1.04937370967822,1.04284939322581,1.05593884382248
Race,Summer ozone,White,1.02164036604821,1.01528847731002,1.02803199372902
Race,Ox,Black,1.05860307950286,1.05078584275533,1.06647847195432
Race,Ox,Hispanic,1.05510378147453,1.04732821362332,1.06293707665001
Race,Ox,Others,1.04337028117834,1.03566553077544,1.05113235045205
Race,Ox,White,1.04315536980546,1.03545220641201,1.05091584026331
