rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
pm25,0.0129652240493003,1.013049636983,0.000306797843260321,0.000303493686880497,42.7199134933091,0
no2,0.00585239480821799,1.00586955352758,9.1101247409814e-05,9.012503698192e-05,64.9363928626408,0
ozone_summer,-0.000269459239639835,0.99973057706124,0.000138591774934981,0.000137348158353401,-1.96187005978274,0.0497776143906008
mean_bmi,0.0220856221309931,1.02233131490888,0.00070710703725492,0.000700395750091732,31.5330613129799,3.06099887627644e-218
smoke_rate,0.188431264628509,1.2073540922024,0.00908200507268013,0.00899571475071093,20.9467807562059,2.00751854285349e-97
hispanic,-0.0178621040863099,0.982296477689713,0.00477529455870367,0.00474267940351403,-3.76624742399311,0.000165719568456682
pct_blk,0.0750043542738263,1.0778888442976,0.00387122238979512,0.00383276001165709,19.5692801129487,2.82645720628002e-85
medhouseholdincome,3.00729532463057e-07,1.00000030072958,5.72515707492104e-08,5.6907949546788e-08,5.28449074089036,1.26054924173209e-07
medianhousevalue,1.17332069838797e-07,1.00000011733208,7.7746975115722e-09,7.73051322264862e-09,15.1777852853341,4.9625649357875e-52
poverty,-0.0239841171344181,0.976301216095749,0.0124863581109678,0.0124676943970226,-1.9237010766117,0.0543920630208125
education,0.346876339303319,1.41464177896571,0.00656147488130644,0.00651200687986854,53.2671948452121,0
popdensity,-3.3906769111268e-07,0.999999660932366,7.77345306315775e-08,7.92692636627283e-08,-4.27741693874352,1.89074471509994e-05
pct_owner_occ,0.0675011133548616,1.06983145069929,0.00547638577835677,0.00543560623430639,12.4183228963191,2.07873498730884e-35
summer_tmmx,-0.00163323230792056,0.998368100690168,0.000373570899370024,0.000370609470021698,-4.40688228453779,1.04869142723729e-05
winter_tmmx,0.0103863330772209,1.01044045825971,0.000193299163368839,0.000192110047345657,54.064496993919,0
summer_rmax,0.000148716871724444,1.00014872793063,0.000112870969534958,0.000112415740705329,1.32291857698354,0.185862456763006
winter_rmax,0.000117414635500898,1.00011742152887,0.000107579800587302,0.00010614444629945,1.10617785097915,0.268649547637916
as.factor(year)2001,0.0693076468792298,1.07176588386348,0.00398427285107662,0.003932241893581,17.6254789900814,1.57033072079904e-69
as.factor(year)2002,0.0459458652924599,1.04701772942416,0.00378260617468349,0.00374168975508466,12.2794427918624,1.16799916850235e-34
as.factor(year)2003,0.0782303851147314,1.08137176193158,0.00372465896932478,0.00367915204407284,21.26315634081,2.49087396683943e-100
as.factor(year)2004,0.0660079586986644,1.06823521889437,0.00362235720034222,0.00358131618569899,18.431201065756,7.38257190036432e-76
as.factor(year)2005,0.0630131958226933,1.06504089322937,0.00357610523082061,0.00353732446268159,17.8138015009581,5.52281636098827e-71
as.factor(year)2006,0.0531666576512406,1.0546053885315,0.00342557646590026,0.00339026688483525,15.6821452284646,2.00371064923204e-55
as.factor(year)2007,0.0526478814227188,1.05405842621325,0.00343673218382989,0.00339969772767498,15.486047772466,4.30983299242107e-54
as.factor(year)2008,0.0357503744212155,1.03639710297109,0.00337050656938127,0.00333686377690559,10.7137650235061,8.7720138273987e-27
as.factor(year)2009,0.0301858288553763,1.0306460399332,0.00334497725035996,0.00330746083865292,9.12658692813745,7.0692846913878e-20
as.factor(year)2010,0.078443957931322,1.08160273820881,0.00339584688058608,0.00335575793751654,23.3759285955456,7.51166764881554e-121
as.factor(year)2011,0.0513245649531072,1.05266449584683,0.003463063295276,0.00342225810861201,14.9972805452489,7.6489618843904e-51
as.factor(year)2012,0.0179513844599742,1.01811347905004,0.00329041151539194,0.0032526049188814,5.51907929418857,3.40780407460922e-08
as.factor(year)2013,-0.0105110956706931,0.989543952853148,0.00350156032946869,0.00346236165354236,-3.03581679861175,0.0023988507095275
as.factor(year)2014,0.0035314329039459,1.0035376757597,0.00373110351316983,0.00368591910469891,0.958087468453643,0.338018654009242
as.factor(year)2015,0.0380993428526403,1.03883442852809,0.00377119669395469,0.00371739673537047,10.2489310570838,1.19659501731689e-24
as.factor(year)2016,,,0,0,,
as.factor(region)NORTHEAST,0.0566427906922894,1.05827771621976,0.00188085841993697,0.00187068203383391,30.279218845226,2.15268524692533e-201
as.factor(region)SOUTH,0.0195042332583715,1.01969568348681,0.00219268264180269,0.0021708391091905,8.98465168413361,2.59555118334435e-19
as.factor(region)WEST,-0.137610771869196,0.871437813854984,0.00351925781741104,0.00349583012340449,-39.3642617093707,0
