rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
pm25,0.00094058601649825,1.00094102850625,0.000283981562295752,0.00028083915503521,3.34919828533285,0.000810457718993693
no2,0.000734113457531643,1.00073438298477,8.29781071602367e-05,8.18848724792501e-05,8.96519021529489,3.09745775197915e-19
ozone_summer,9.80044546237766e-05,1.00009800925722,0.000125929868384113,0.000124855012260806,0.784946097470704,0.432485172943156
mean_bmi,0.00191654085649881,1.00191837859477,0.000640364644960748,0.000635470516702997,3.01593985263451,0.00256184072277391
smoke_rate,0.0741917520030525,1.0770133051558,0.00821255366711415,0.00813971762090465,9.11478204262408,7.88287619814614e-20
hispanic,-0.0712092478923123,0.931267006080354,0.00435317943828251,0.00435441375947308,-16.3533489984492,4.11716510650424e-60
pct_blk,-0.00348018663402018,0.99652586219643,0.00357079689288796,0.00354875393973644,-0.980678484087473,0.326751317376533
medhouseholdincome,5.55120535665066e-07,1.00000055512069,4.98707093136972e-08,4.9002106767888e-08,11.3285034517913,9.48108141733709e-30
medianhousevalue,-2.50978059412362e-07,0.999999749021972,6.82833485012679e-09,6.73736133283167e-09,-37.2516846008135,9.95084647973261e-304
poverty,-0.167398881390213,0.845862145368742,0.0113700895048517,0.0112526691422484,-14.876371043534,4.69272194840247e-50
education,0.0425292749876394,1.04344660281295,0.00605714508368858,0.00599258410274669,7.09698424893966,1.2750858423077e-12
popdensity,-1.21270673070775e-06,0.999998787294005,7.49541304750166e-08,7.39021821822764e-08,-16.4096200531219,1.63223709955347e-60
pct_owner_occ,-0.00399156305982121,0.996016392639264,0.00493223023209268,0.0048620301698351,-0.820966328959777,0.411665447679029
summer_tmmx,0.000913158346593456,1.00091357540261,0.000332021690310597,0.000329135353470919,2.77441586558139,0.00553009360903979
winter_tmmx,-0.000155084985433066,0.999844927039622,0.000170953767860514,0.000169623365835063,-0.914290225698422,0.360564365173809
summer_rmax,-0.00113119362834861,0.998869445929986,9.87535288217228e-05,9.8187091165447e-05,-11.520797845437,1.03646798913372e-30
winter_rmax,0.0010767815941729,1.00107736153161,9.61643573260812e-05,9.56594453092714e-05,11.2564064185363,2.15362812610512e-29
as.factor(year)2002,-0.0166092061665036,0.98352796620685,0.00363724742579487,0.00361917147020902,-4.58922886169424,4.44886453334865e-06
as.factor(year)2003,-0.0513959528022233,0.949902479511796,0.00350681545324021,0.00348719789840504,-14.7384674743382,3.64973217401459e-49
as.factor(year)2004,-0.107890617769304,0.897725786309283,0.0035327847720042,0.00351318313486375,-30.7102173805375,4.15762578676101e-207
as.factor(year)2005,-0.106619056894469,0.898868025354821,0.00345340727510258,0.00343298860411394,-31.0572125892586,9.11714133711164e-212
as.factor(year)2006,-0.142981993794181,0.86676967598816,0.00355644224812613,0.00353291979270466,-40.4713387746398,0
as.factor(year)2007,-0.157241718212736,0.854497486247352,0.00365727617452344,0.00363101792733365,-43.3051340862429,0
as.factor(year)2008,-0.142590754815067,0.867108856417296,0.00361939898379854,0.00359282314964992,-39.6876631205633,0
as.factor(year)2009,-0.194879984371846,0.822933417000562,0.00372893099032614,0.0037016686963624,-52.6465225165484,0
as.factor(year)2010,-0.185229108015915,0.830913893009501,0.003691644838395,0.00366280944484562,-50.570227800568,0
as.factor(year)2011,-0.171995741411396,0.841982758819047,0.00370354776335497,0.00367387234611342,-46.8159275031289,0
as.factor(year)2012,-0.17559267675827,0.838959641510554,0.00374332904029244,0.00371354297483115,-47.2844068180614,0
as.factor(year)2013,-0.15951726120951,0.852555251134605,0.00377383026704935,0.00374264503756626,-42.6215309248884,0
as.factor(year)2014,-0.180543083108002,0.834816713423532,0.00381533315803712,0.00378540462103575,-47.6945270539143,0
as.factor(year)2015,-0.137813089916602,0.87126152409195,0.00380090099669148,0.00376841354872773,-36.5705855088887,8.39627451963765e-293
as.factor(year)2016,-0.150784449491653,0.860033059244319,0.00391197995195095,0.0038798001397286,-38.8639734164763,0
as.factor(region)NORTHEAST,0.0111088119036887,1.01117074387239,0.00165312657786886,0.00163131870058134,6.8097128413534,9.77937500651773e-12
as.factor(region)SOUTH,0.0386504251749832,1.03940706958918,0.00193039730780586,0.00191136243055505,20.2214004822514,6.34559660010371e-91
as.factor(region)WEST,0.0425539512324882,1.0434723514745,0.00309039339966969,0.00306936295702426,13.8640987815088,1.04530728311803e-43
