rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.011498067385738,1.01156442424388,0.000245557860164248,0.0010288593365812,11.1755484709357,5.37174995694482e-29
mean_bmi,0.0103743116804111,1.01042831142702,0.000739252925052127,0.00224097676767571,4.62937047364892,3.66779061216713e-06
smoke_rate,0.210914989673758,1.23480737922129,0.00917435447948267,0.0301304008741289,7.00007247015612,2.55830143431174e-12
hispanic,0.0724962814330838,1.07518880792119,0.00467353165747111,0.0151890089824192,4.77294348281681,1.81552751483068e-06
pct_blk,0.171684516922865,1.18730320005476,0.00411183459093641,0.0116969594159609,14.6777047621961,8.95713929890767e-49
medhouseholdincome,1.19295551271461e-06,1.00000119295622,5.31812039246281e-08,1.86891942742096e-07,6.38312971234315,1.735048176958e-10
medianhousevalue,5.46607019141694e-08,1.0000000546607,7.05332908995534e-09,2.59555244333621e-08,2.10593710231148,0.0352098162679344
poverty,-0.129353604298032,0.878663211518726,0.0125499756126582,0.0409627037274993,-3.15783853425655,0.00158943567425925
education,0.258433592691561,1.29490015616353,0.00665187933334964,0.0216897398029335,11.9150158111444,9.88474304436388e-33
popdensity,-8.39723746008323e-08,0.999999916027629,6.53902284084222e-08,2.46027836761578e-07,-0.341312494171985,0.732868343054976
pct_owner_occ,-0.0218857582818156,0.978351997280292,0.00535739176519105,0.0180373102882844,-1.21336041416501,0.224992054130357
summer_tmmx,-0.00255956123858405,0.997443711645305,0.000316364795294239,0.00117848556209077,-2.17190716706201,0.0298626657792689
winter_tmmx,0.0100992618421136,1.01015043150051,0.000174546872385333,0.000626649227227597,16.1162918636228,1.96024200898903e-58
summer_rmax,0.000265885619430919,1.00026592097015,9.4310624109502e-05,0.000367741212008736,0.723023720889358,0.469665310894441
winter_rmax,-0.002702512073159,0.99730113642515,8.70945608442488e-05,0.000342587953536175,-7.88852043763888,3.05790154769672e-15
as.factor(year)2002,-0.0328458627430652,0.967687704822709,0.00365321304522384,0.0118698198039022,-2.76717450523276,0.00565444789267685
as.factor(year)2003,0.0115497147141225,1.01161667019305,0.00349589412213986,0.0111277425094819,1.03792073767712,0.299306958006311
as.factor(year)2004,-0.0177980005093606,0.98235944842586,0.00354291309124159,0.0115042461153016,-1.54708099348533,0.121843716458847
as.factor(year)2005,0.00600570815496782,1.0060237785773,0.00334529253557866,0.0105567059727867,0.568899822581917,0.569424125783076
as.factor(year)2006,-0.0308243014291791,0.969645923513387,0.00363494209147381,0.0115675198999689,-2.66472862772098,0.00770504717582759
as.factor(year)2007,-0.0711707792505246,0.931302831346289,0.00362986308380685,0.0114641506968785,-6.20811616423563,5.36235084776139e-10
as.factor(year)2008,-0.0631007016360444,0.938848925305848,0.00366315022274892,0.011410899688809,-5.52986209298896,3.20482633124059e-08
as.factor(year)2009,-0.116883237814702,0.889689069138849,0.00368982860679607,0.0115539930953113,-10.1162634294921,4.67940091438251e-24
as.factor(year)2010,-0.0464470498084545,0.954615106284486,0.00367906808164097,0.0114042764315511,-4.07277481278462,4.64563356954898e-05
as.factor(year)2011,-0.0921676309827973,0.911952265276886,0.00376974790555724,0.0116471223047941,-7.91333932716235,2.50575166291538e-15
as.factor(year)2012,-0.145151648559213,0.864891123672383,0.00384827215948376,0.0119880637268891,-12.1080144271873,9.57848109958097e-34
as.factor(year)2013,-0.186930635556972,0.829501272283651,0.00376386285005109,0.0122898871955905,-15.2101180899399,3.02996086367906e-52
as.factor(year)2014,-0.165536314642619,0.847439088198506,0.0039562969750704,0.0122961657465379,-13.4624335792828,2.60202996551799e-41
as.factor(year)2015,-0.1275751987992,0.880227221315312,0.00401692888607416,0.0125318040879227,-10.180114363753,2.43275296477328e-24
as.factor(year)2016,-0.22520742035619,0.798350607417034,0.00409230875294659,0.0129586208666466,-17.3789651440329,1.19083005124731e-67
as.factor(region)NORTHEAST,0.0374603684105918,1.03817085190557,0.00198348893252752,0.00580706947040501,6.45082146881552,1.11245489121643e-10
as.factor(region)SOUTH,-0.0191677340698646,0.981014798836941,0.00215471972209521,0.00690283079902886,-2.77679326466487,0.00548980848693638
as.factor(region)WEST,-0.107699109052089,0.897897725086391,0.00312559041735078,0.0114429571117242,-9.41182493306238,4.8759632885216e-21
