rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
pm25,0.00232681478337122,1.0023295239177,0.00027546987949724,0.00101676687734165,2.28844471158887,0.0221116363723164
no2,0.00017458250932066,1.00017459774973,6.19269732371433e-05,0.000245105975136588,0.712273575637527,0.476295383711899
ozone_summer,0.00127337531171779,1.0012741863983,0.000116601234877381,0.000436807389349978,2.9151872032493,0.00355475244993159
mean_bmi,0.00649757440004144,1.00651872943056,0.00067642029249568,0.00233906390848162,2.77785244622036,0.00547194605717782
smoke_rate,0.000602796493292691,1.00060297821161,0.00856539708497957,0.0300415583013179,0.0200654202836824,0.983991185204584
hispanic,-0.0822866380963727,0.921007924898747,0.00447476249923927,0.0159868395916074,-5.14714854207774,2.64475894597092e-07
pct_blk,-0.0197464141793787,0.980447269310576,0.00365711428524249,0.0126184744691324,-1.56488125626302,0.117610754403354
medhouseholdincome,-6.91493464966656e-08,0.999999930850656,4.37063523126538e-08,1.60273847653984e-07,-0.431444976887011,0.666144852546923
medianhousevalue,-9.37877759412311e-08,0.999999906212228,5.71230699828857e-09,2.16150306276504e-08,-4.33900731194227,1.43127761128604e-05
poverty,-0.0597976502496479,0.941955118684283,0.0112674758273757,0.0395145883530655,-1.51330566107261,0.130202035388966
education,0.0296839387665217,1.03012889868553,0.00618864331312741,0.0216547321006655,1.37078300615917,0.170442609994518
popdensity,-8.25043728324316e-07,0.999999174956612,5.14783325331876e-08,2.05937900154362e-07,-4.00627435603597,6.16839965765402e-05
pct_owner_occ,0.00266129350033338,1.0026648378854,0.00480364932958712,0.0170729722952856,0.155877573881395,0.876129522661115
summer_tmmx,0.00337117323270473,1.00337686202803,0.000304860031981372,0.00112500442431818,2.99658664431285,0.00273020639048533
winter_tmmx,-0.00419805863124924,0.995810740898932,0.000164539780696265,0.000605647786214334,-6.93151816419515,4.16347981284207e-12
summer_rmax,-0.000229682742331436,0.99977034363273,8.83278500743707e-05,0.000331563827198384,-0.692725573450479,0.488481787030849
winter_rmax,0.000826711057405768,1.00082705287718,8.87015126261879e-05,0.000332675963081393,2.48503393436785,0.012953908573256
as.factor(year)2002,0.0315312410642232,1.03203361692052,0.00599706880332285,0.0179922802926502,1.75248720847816,0.0796900674835153
as.factor(year)2003,-0.0217311176687161,0.978503301931599,0.00570930256356335,0.0168129223227108,-1.29252471709584,0.196175491839721
as.factor(year)2004,-0.0296661547769818,0.970769566239456,0.00559117263636536,0.0164119105535842,-1.80759910189146,0.0706689181229445
as.factor(year)2005,0.00885256258044691,1.00889186239499,0.00535625933032214,0.0151852774966058,0.582970089445228,0.559913435720944
as.factor(year)2006,-0.0445001344421576,0.956475471502986,0.00553175570088773,0.0161069981732753,-2.76278260936243,0.00573109233157567
as.factor(year)2007,-0.0421346663610302,0.958740661762608,0.00549446833524497,0.0158873996264672,-2.65208072759981,0.00799974127115246
as.factor(year)2008,-0.03185241993184,0.96864952489409,0.00551250816779071,0.0159585090304499,-1.99595212002973,0.0459391347034652
as.factor(year)2009,-0.0528599798006637,0.948512814137933,0.00549090776032426,0.0158037204021926,-3.34478075133054,0.000823476388282279
as.factor(year)2010,-0.033306051549489,0.967242488222541,0.0054960959402787,0.0158448090461182,-2.10201659436525,0.0355518221908138
as.factor(year)2011,-0.0409524301729041,0.959874789939562,0.00553099920230188,0.0159522752928458,-2.56718426814452,0.0102528112198981
as.factor(year)2012,-0.0319611862481354,0.968544174182894,0.00553598319325644,0.0159487892014757,-2.00398825543309,0.0450713185227124
as.factor(year)2013,-0.0203622267732084,0.979843683401526,0.00549442151085223,0.0158972054976154,-1.28086831212333,0.200239924679412
as.factor(year)2014,-0.0463285655832304,0.954728219816694,0.0055724535930694,0.0162002970400662,-2.85973556340675,0.00423994393213504
as.factor(year)2015,-0.0188798397879476,0.981297268046686,0.00557797153846753,0.0162284893531814,-1.16337629320048,0.244676863683586
as.factor(year)2016,-0.0422807931933329,0.958600574262226,0.0056681128257004,0.0165950028880595,-2.54780270172504,0.010840376064444
as.factor(region)NORTHEAST,0.00310087044488358,1.00310568311685,0.00180129615266647,0.00595180060618273,0.520997030993007,0.602368839647429
as.factor(region)SOUTH,0.0455828647237679,1.04663773036706,0.00191144962744344,0.00656157967270655,6.94693457939308,3.73308704688776e-12
as.factor(region)WEST,0.0200238417636784,1.02022566371597,0.00295955554209688,0.0108063992983832,1.85296149168523,0.06388787830212
