rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.000413753566834789,1.00041383917465,0.000151805262365212,0.000465565130088537,0.888712534712608,0.374157592772174
mean_bmi,0.00712762562341921,1.00715308760548,0.00065858204771968,0.00136393299076017,5.22578870934616,1.73414299227302e-07
smoke_rate,0.0262166086898016,1.02656328692093,0.00853276700871726,0.017757234876343,1.47639026415811,0.139839154811142
hispanic,-0.058612423892549,0.943072210590767,0.00447921154487671,0.00960682180284477,-6.10112533524799,1.05324276180733e-09
pct_blk,-0.00466726066886031,0.995343614067228,0.00357179605079427,0.00716198419179141,-0.651671456383499,0.51461313997825
medhouseholdincome,2.69679114097057e-07,1.00000026967915,4.73546120827938e-08,1.13494977684891e-07,2.3761325795913,0.0174951754197002
medianhousevalue,-1.477784380383e-07,0.999999852221573,6.45580839706067e-09,1.67877197874136e-08,-8.802770114682,1.33479798587193e-18
poverty,-0.159941021892798,0.852194048276034,0.0115057277649211,0.0245926976397404,-6.50359811012933,7.84212346372295e-11
education,0.103688241120322,1.1092545810383,0.00612318355753666,0.0127999519590729,8.10067424095487,5.46554217510097e-16
popdensity,-1.21752887724039e-06,0.999998782471864,5.32941361189734e-08,1.6222634489931e-07,-7.505124263239,6.13703563558964e-14
pct_owner_occ,0.00174885678161291,1.0017503869235,0.00483233000688881,0.0109183366342916,0.160176118413515,0.872742341230589
summer_tmmx,0.00122641963522603,1.00122717199533,0.000306269984557373,0.000755407989169341,1.62351954547717,0.104478388586548
winter_tmmx,-0.00156952417176743,0.998431706887152,0.000161532658471444,0.000384785579682293,-4.0789578784718,4.52380316356991e-05
summer_rmax,-0.000582731512013094,0.999417438243019,9.38303626730901e-05,0.000245912350496418,-2.36967159574029,0.0178038913167451
winter_rmax,0.000869679541291091,1.0008700578222,9.38555729389781e-05,0.00023969891097173,3.62821648945105,0.000285385912466636
as.factor(year)2002,-0.00544709224333422,0.994567716263651,0.00426379883995495,0.00689953214589894,-0.789487189587479,0.42982731414336
as.factor(year)2003,-0.05420325560842,0.947239555181785,0.00409818522223718,0.00672588304023132,-8.05890546775786,7.69805989204104e-16
as.factor(year)2004,-0.107591279992878,0.897994549773519,0.0040108010290149,0.00682599269455672,-15.7619975302164,5.6808653684489e-56
as.factor(year)2005,-0.10593714383127,0.899481184240168,0.00393183364462774,0.00642475057929927,-16.4889115186203,4.40819295694319e-61
as.factor(year)2006,-0.134208329203851,0.874407880929228,0.00402473594683988,0.00672341216457623,-19.9613419374997,1.1946093405052e-88
as.factor(year)2007,-0.148968431053492,0.861596314157583,0.00409059597237753,0.00705454982666292,-21.1166459538582,5.59275992720277e-99
as.factor(year)2008,-0.128937010509707,0.879029333411432,0.00407393058693626,0.0069685847835348,-18.5026105751567,1.96710879116842e-76
as.factor(year)2009,-0.183636985550071,0.832237863367546,0.00404406832581841,0.00730298884732377,-25.1454561124472,1.58455320082715e-139
as.factor(year)2010,-0.16428953758156,0.848496314740265,0.00398934954615881,0.00683921612146834,-24.0216911797617,1.65038589413915e-127
as.factor(year)2011,-0.1657088749853,0.847292866435446,0.00403848870289529,0.00698327765439692,-23.7293837057966,1.79400837636528e-124
as.factor(year)2012,-0.16289702807966,0.849678676955119,0.004078732084784,0.00708058814281612,-23.0061436697082,4.04588149156208e-117
as.factor(year)2013,-0.148381224173547,0.862102398014411,0.00403678484801834,0.00728951830242594,-20.3554224048201,4.1565282196803e-92
as.factor(year)2014,-0.171172264793921,0.842676397491668,0.00414961815978807,0.0074307481303812,-23.0356704049851,2.04764307061728e-117
as.factor(year)2015,-0.133426502950124,0.875091783278574,0.00407197269438122,0.00729836302380345,-18.2817026934611,1.15755284216501e-74
as.factor(year)2016,-0.145741993822916,0.864380689974787,0.00417986314510796,0.00739986677941182,-19.6952185988543,2.36971893471316e-86
as.factor(region)NORTHEAST,0.00071616685804367,1.00071642336676,0.00169829820372801,0.00321991023939426,0.222418267839168,0.823988292269742
as.factor(region)SOUTH,0.033488688947832,1.03405574740163,0.00192345897214643,0.00398706674145889,8.39932991329319,4.49033602050425e-17
as.factor(region)WEST,-0.0245063250090186,0.975791517008743,0.00289720147301728,0.00720071607606602,-3.40331777425213,0.000665728040195542
