rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.00363679868775569,1.0036434198643,0.00024263991080825,0.000776289227259628,4.68485013065803,2.80164856028777e-06
mean_bmi,0.00362709115954844,1.00363367701478,0.000653104999276758,0.00163812772600934,2.21416871343997,0.0268171752164606
smoke_rate,0.0347561951882484,1.035367250508,0.00826572260068532,0.0219034723085677,1.58678928612854,0.112560376170014
hispanic,-0.0612487863102289,0.940589204947146,0.00419733826898791,0.0114365975276456,-5.35550771653656,8.53165054698176e-08
pct_blk,0.00127958949613971,1.00128040852008,0.00351107755938883,0.00882982018606876,0.144916823805606,0.88477654317962
medhouseholdincome,1.17959277062274e-07,1.00000011795928,4.56761403779027e-08,1.3224713949916e-07,0.891960896160052,0.372413892371762
medianhousevalue,-1.13414102124824e-07,0.999999886585904,6.0964095910968e-09,1.87367881120548e-08,-6.0530172752424,1.42157615635879e-09
poverty,-0.0859067350433108,0.917679814597287,0.0110203747626312,0.0298849855803103,-2.87457843379086,0.00404567271275523
education,0.0490334900536558,1.05025552326489,0.00600603821026299,0.0162970451357082,3.00873499737809,0.0026233783091587
popdensity,-1.58887343321251e-06,0.999998411127829,6.25381113143267e-08,1.91624428587457e-07,-8.29160167586539,1.11733562203788e-16
pct_owner_occ,0.0174981588423646,1.01765214849101,0.00479994542259146,0.0130733626253535,1.33845892168783,0.180746882541396
summer_tmmx,0.00295513011661309,1.00295950081789,0.000291701247319235,0.000878397455986931,3.36422891080989,0.000767578499982303
winter_tmmx,-0.0020775081973651,0.997924648329131,0.000157591533124464,0.000464974638791401,-4.46800325016678,7.89531066423343e-06
summer_rmax,-0.00085878434726628,0.999141584302473,8.77965860313018e-05,0.000275471575318627,-3.11750621193115,0.00182388103027828
winter_rmax,0.00164128639890256,1.00164263404662,8.11063741371376e-05,0.00025745510977595,6.37503912946566,1.8291624378493e-10
as.factor(year)2002,0.00676999539754552,1.00679296361872,0.00484963675505077,0.010018760671878,0.675731821456568,0.499210928480696
as.factor(year)2003,-0.0257952608397415,0.974534594579349,0.00457744370114019,0.00927611947611484,-2.78082455774335,0.00542210307050762
as.factor(year)2004,-0.0580000728479484,0.943649878693838,0.00453996355968286,0.00946338404130696,-6.12889349040284,8.84923387070698e-10
as.factor(year)2005,-0.0568337127220435,0.944751156403518,0.00434431505023278,0.00877091902767226,-6.47978992198343,9.18504142171664e-11
as.factor(year)2006,-0.0689792390605373,0.933346057018047,0.0044993175330478,0.00932349702997736,-7.39842988513343,1.37804120448162e-13
as.factor(year)2007,-0.0827165998529097,0.920612011833411,0.00446931663000414,0.00924349446648614,-8.94862869803329,3.59925639700347e-19
as.factor(year)2008,-0.0614679590489055,0.940383076024874,0.004468244347298,0.00915470504404419,-6.71435712599991,1.88897157946817e-11
as.factor(year)2009,-0.105258011417917,0.900092258544283,0.00446197425029164,0.00921898562026731,-11.4175263693345,3.41824897979019e-30
as.factor(year)2010,-0.0976614874494125,0.906955867739468,0.0044455606736311,0.00922891648794861,-10.5821184509516,3.60708874628292e-26
as.factor(year)2011,-0.0877145779910404,0.916022292337597,0.00447948279078258,0.00926647161509656,-9.4658011845781,2.91319113642628e-21
as.factor(year)2012,-0.0801485468991786,0.922979230500121,0.00448615220446716,0.00936896280858017,-8.55468727293676,1.18188702505861e-17
as.factor(year)2013,-0.0653346791515695,0.936753898908469,0.0044407080691886,0.00945966694168176,-6.9066574493958,4.96206156241088e-12
as.factor(year)2014,-0.0949949599083925,0.909377517802677,0.00453611448478757,0.00951807834867382,-9.98047677571685,1.8557292251653e-23
as.factor(year)2015,-0.0539855452527497,0.947445801492413,0.00454641096780565,0.00966235705929377,-5.58720247259167,2.30756631210096e-08
as.factor(year)2016,-0.0723142109893342,0.930238558707997,0.00460139011898056,0.00999189852271782,-7.23728436842297,4.57757712422276e-13
as.factor(region)NORTHEAST,0.0209705694296869,1.0211919969324,0.00169947030251289,0.00418939033869717,5.00563751149728,5.5677448089987e-07
as.factor(region)SOUTH,0.040721538518709,1.04156203025416,0.00185063927001558,0.0049667604456311,8.19881267970731,2.42772881397631e-16
as.factor(region)WEST,0.0039929533235467,1.00400093578266,0.00286920155968426,0.00842912243866163,0.473709256521454,0.63570725156768
