rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.0112826950878673,1.01134658474852,0.000228756875058588,0.000229050822329842,49.2584788524344,0
as.factor(above_median_poverty)TRUE,0.0220160914587777,1.02226023399651,0.00882712325215998,0.00882113451591609,2.49583445520004,0.0125661230815252
mean_bmi,0.0233916040593513,1.02366733334902,0.000678603287368115,0.000672376241495189,34.7894565806408,3.51125946901646e-265
smoke_rate,0.135964966494247,1.14564175704472,0.00876853629370973,0.00870689603390471,15.6157792587392,5.68463156194522e-55
hispanic,0.0149983372016686,1.01511137668881,0.00452375534161653,0.00447270014954644,3.35330710760693,0.000798520511033855
pct_blk,0.125786383637662,1.13403989293028,0.00369731910022531,0.00363347183681003,34.6187859125104,1.31798602527627e-262
medhouseholdincome,1.30479613183254e-06,1.00000130479698,5.37546321675522e-08,5.3551993284944e-08,24.3650339006033,4.01722284045078e-131
medianhousevalue,7.7267352696312e-08,1.00000007726736,7.37787888214017e-09,7.32637298928445e-09,10.5464672368337,5.27430877230471e-26
poverty,-0.143992466490369,0.865894271257466,0.0131971024284763,0.013087649095021,-11.0021643646565,3.73068446692716e-28
education,0.404606119373167,1.49871207013532,0.00627665741029658,0.00622436321109818,65.0036165389168,0
popdensity,1.04906318527265e-06,1.00000104906374,7.23448428727824e-08,7.31127007542563e-08,14.3485765735659,1.08746336040105e-46
pct_owner_occ,-0.0290276568709807,0.971389598498295,0.0051894575539764,0.00515901532092484,-5.62658861532068,1.83808380528925e-08
summer_tmmx,-0.00467300524548184,0.995337896255995,0.000332807382941505,0.000331135463944211,-14.1120651645731,3.20065765576339e-45
winter_tmmx,0.0115763843213851,1.01164364997211,0.000171732332458032,0.000171121514111398,67.6500811806106,0
summer_rmax,0.000778647125120235,1.00077895034949,0.000101083470353259,0.000101266815773008,7.68906496344855,1.48214197160571e-14
winter_rmax,-0.00039774155953786,0.99960233752915,0.000101099661357617,0.000100048176590548,-3.97550033486005,7.02314450879475e-05
as.factor(year)2002,-0.0393451354061301,0.961418832199307,0.00300755921570525,0.00296657259919706,-13.2628257325573,3.80291451215215e-40
as.factor(year)2003,0.000369381295915164,1.00036944952559,0.00294976793015054,0.00290645890750517,0.127089805041225,0.8988693204296
as.factor(year)2004,-0.0217290531147621,0.978505322106546,0.00304395979771349,0.00299591469525529,-7.25289446631275,4.07957952011136e-13
as.factor(year)2005,-0.0245948429613779,0.975705145764487,0.00298152458501986,0.00293573393924356,-8.3777493023483,5.39494050535706e-17
as.factor(year)2006,-0.054647908155381,0.946818456329268,0.00312606558023642,0.00308093974471249,-17.7374154263055,2.15627516091099e-70
as.factor(year)2007,-0.0571230560021113,0.944477838548326,0.00326948069780787,0.00322498255724688,-17.7126713053842,3.34798990176866e-70
as.factor(year)2008,-0.0823889972762036,0.920913656107657,0.00325300826317089,0.00321510132003671,-25.6256301357442,7.90485480481761e-145
as.factor(year)2009,-0.0935015428629333,0.910736612283354,0.00339680610600509,0.00335393303211794,-27.8781782365789,4.90728994908541e-171
as.factor(year)2010,-0.0554962805217215,0.946015542348152,0.00328994858701739,0.00324945643375727,-17.0786350434471,2.14068191735156e-65
as.factor(year)2011,-0.0758880736433854,0.9269199475262,0.00331319229928317,0.00327770574908703,-23.152802433386,1.36226215021323e-118
as.factor(year)2012,-0.136363495218898,0.872525416021787,0.00335825439429534,0.00332474605338111,-41.0147100047604,0
as.factor(year)2013,-0.162552402220708,0.849971548661682,0.00340523402928559,0.00337592521025907,-48.1504749355016,0
as.factor(year)2014,-0.146459695214678,0.863760545316541,0.00348969883610994,0.00346320829638025,-42.2901779739203,0
as.factor(year)2015,-0.124654417435644,0.882801930830413,0.0034155304515258,0.00339377021246224,-36.7303646481137,2.39318196309315e-295
as.factor(year)2016,-0.227957882022294,0.796157791685422,0.0034918944819276,0.00347251795899345,-65.6462787850838,0
as.factor(region)NORTHEAST,0.031399443012654,1.03189760586385,0.00175651328943753,0.00175679445732721,17.8731455360038,1.90918982886215e-71
as.factor(region)SOUTH,-0.0255322710736725,0.974790920908527,0.00202221643518496,0.00201136697343618,-12.6939894165875,6.38487811624581e-37
as.factor(region)WEST,-0.195628396725512,0.822317753878714,0.0031896870592158,0.00318987823089839,-61.3278572299659,0
get(pollutants_i):as.factor(above_median_poverty)TRUE,-0.000444851970392015,0.999555246961575,0.000270899191505589,0.000270494243896405,-1.64458941522758,0.100054511134171
