rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.00352630224056206,1.0035325269589,0.000143220324974362,0.000142494298180312,24.7469708303688,3.34204935348832e-135
as.factor(dual)1,,,0,0,,
mean_bmi,0.0200809491820096,1.02028392783338,0.000675535842882044,0.000669247545971794,30.0052638263329,8.37832434184537e-198
smoke_rate,0.13229841031486,1.14144888857225,0.00874611174944041,0.00868307599444883,15.236352923715,2.02883527001554e-52
hispanic,0.0396313540629667,1.04042715424357,0.0045388968490461,0.00448821275857451,8.83009701072057,1.04584974751577e-18
pct_blk,0.148623686478486,1.16023629444142,0.00368997378209527,0.00362552673051913,40.9936810636077,0
medhouseholdincome,1.58549152336359e-06,1.00000158549278,5.30907977618035e-08,5.28887356957133e-08,29.9778677351158,1.90718046339597e-197
medianhousevalue,6.58767420303765e-08,1.00000006587674,7.36523505723489e-09,7.31317245283354e-09,9.00795686895803,2.0993089471671e-19
poverty,-0.15290739580284,0.858209191904917,0.0121178116799107,0.0120413901576212,-12.6984836303192,6.02864985691171e-37
education,0.402464745493815,1.49550620096295,0.00627787911812303,0.00622463211458653,64.656792254549,0
popdensity,1.35860024208544e-06,1.00000135860116,7.26471850676263e-08,7.34704762284498e-08,18.491784888681,2.40461930552924e-76
pct_owner_occ,-0.0629192065259499,0.939019337258909,0.00513445218778616,0.00510304481707457,-12.32973818208,6.26499533591038e-35
summer_tmmx,-0.00491413568737766,0.995097918923318,0.000355934462136199,0.000354578635328056,-13.8590856801936,1.12092971461199e-43
winter_tmmx,0.0124594978725558,1.01253744078966,0.000184187885510949,0.000184074170121874,67.6873776712204,0
summer_rmax,0.000143797992586074,1.00014380833201,0.00010140379954189,0.000101384050142424,1.41834926089524,0.156088821326124
winter_rmax,-0.00159124855939915,0.998410016805331,0.000101749608198458,0.000100574728653994,-15.8215545862768,2.20968536936527e-56
as.factor(year)2002,-0.0544549047876954,0.947001213115697,0.0030085634343363,0.00296376514729619,-18.3735559605234,2.13925636981149e-75
as.factor(year)2003,-0.00976467320902088,0.99028284641544,0.00295213188707962,0.00290488738075641,-3.36146360568313,0.000775305731995213
as.factor(year)2004,-0.0444420178357195,0.956531060226829,0.00301934643163989,0.00296832208824936,-14.9721009090123,1.1173497866512e-50
as.factor(year)2005,-0.0436987625502963,0.957242271265955,0.00296753839482005,0.0029177190523697,-14.9770288934451,1.03752594302337e-50
as.factor(year)2006,-0.0811453337578756,0.922059675308711,0.00309026524651016,0.00304199539391996,-26.6750350510264,9.17233772323377e-157
as.factor(year)2007,-0.0929493066616728,0.911239692907352,0.00320430364229234,0.00315635376536832,-29.4483171314691,1.32299590079072e-190
as.factor(year)2008,-0.114769440917095,0.891571680160718,0.00319623864310164,0.00315475123424233,-36.379870359147,8.86075680036892e-290
as.factor(year)2009,-0.137176382791665,0.871816439152462,0.00329782027715923,0.00325264446903814,-42.1738016858112,0
as.factor(year)2010,-0.0789454224049805,0.924090357698115,0.00327736964279685,0.003234867861027,-24.4045277261857,1.53101105930187e-131
as.factor(year)2011,-0.0987535549921012,0.905965951299847,0.00331419092958698,0.00327663949206366,-30.1386695824463,1.50988442154613e-199
as.factor(year)2012,-0.172154760174635,0.841848878407101,0.00329127220314289,0.00325455675582315,-52.8965303390734,0
as.factor(year)2013,-0.200807921391049,0.818069550125031,0.00333459041999699,0.00330452661713144,-60.7675303173572,0
as.factor(year)2014,-0.183651007176143,0.832226194121234,0.00342024417059065,0.00339160770727413,-54.1486584024026,0
as.factor(year)2015,-0.157313916603215,0.854435795131203,0.00336606124725479,0.0033423526592807,-47.0668216791552,0
as.factor(year)2016,-0.267077449582461,0.765613772702049,0.00341391245190127,0.00339232910033231,-78.7298170912422,0
as.factor(region)NORTHEAST,0.0259919475360485,1.02633268393323,0.00175430341582769,0.0017545739619532,14.8138226712964,1.19260542694032e-49
as.factor(region)SOUTH,-0.0384650228256572,0.962265361474518,0.00201435096948249,0.00200278080130959,-19.2058076453027,3.30936723596572e-82
as.factor(region)WEST,-0.205232178073368,0.814458195122774,0.00331019672914948,0.00331563003391719,-61.8983951689267,0
get(pollutants_i):as.factor(dual)1,-0.00140294410968922,0.998598039556335,0.000183281991937531,0.000183008009375773,-7.66602573556514,1.77407609478874e-14
