rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.0104950763243049,1.01055034281062,0.000208208854762129,0.000205733319523144,51.013012129638,0
as.factor(entry_age_over85)TRUE,-0.0554093992109405,0.946097736989027,0.0094380285416793,0.00952650702207618,-5.81633951274459,6.01502365173531e-09
mean_bmi,0.0234286584049778,1.02370526537497,0.000678375248285144,0.000672151499498221,34.856216823838,3.42761557168654e-266
smoke_rate,0.136697433269922,1.14648120896637,0.00875587977295034,0.00869383723634263,15.723486597896,1.04416034889922e-55
hispanic,0.0151658030798133,1.01528138744203,0.00451414106184687,0.00446431177622836,3.3971200579154,0.000680990823212277
pct_blk,0.126057951167792,1.13434790316397,0.00369536813200079,0.00363153340119271,34.712045089931,5.18474715671106e-264
medhouseholdincome,1.27457716291169e-06,1.00000127457798,5.33953231146052e-08,5.31835904616686e-08,23.965609539475,6.35309253926463e-127
medianhousevalue,7.7794982154645e-08,1.00000007779499,7.37373110971775e-09,7.32216296938565e-09,10.6245903676154,2.29015379659541e-26
poverty,-0.115497248909475,0.890923023243594,0.0120836309909391,0.0120031822008513,-9.62221908964143,6.44260025218879e-22
education,0.407080148680638,1.50242451817932,0.00624810461477601,0.00619543474227792,65.7064702663568,0
popdensity,1.03373378040288e-06,1.00000103373431,7.2302359315081e-08,7.30544669404066e-08,14.1501789513588,1.862826467258e-45
pct_owner_occ,-0.0293581752086284,0.971068589475597,0.00516769369467153,0.0051366239303214,-5.71546128485825,1.09406828888796e-08
summer_tmmx,-0.00464555465642913,0.995365219242568,0.000332665952812962,0.000330986306719175,-14.0354889677374,9.45420951620556e-45
winter_tmmx,0.0115545722242656,1.01162158414322,0.000171629678934658,0.000171018867276508,67.5631432266699,0
summer_rmax,0.000789299525391332,1.00078961110423,0.000101033215056065,0.000101212466131021,7.7984417884806,6.26762528363511e-15
winter_rmax,-0.000410689085634283,0.999589395235585,0.000101055689884144,9.99967821626223e-05,-4.10702301366447,4.00791309959886e-05
as.factor(year)2002,-0.0392166349869508,0.961542382860237,0.00300733914236094,0.00296637016664415,-13.2204117435945,6.6896741747949e-40
as.factor(year)2003,0.000418736277967473,1.00041882396024,0.00294931063093098,0.00290603615445663,0.144091902409855,0.885427898934902
as.factor(year)2004,-0.0216145948732344,0.978617326514831,0.00304375868638061,0.00299573967020875,-7.21511120882149,5.38899170384285e-13
as.factor(year)2005,-0.024310283834766,0.975982831075668,0.00298139213062664,0.00293561867740152,-8.28114496678583,1.21996567129253e-16
as.factor(year)2006,-0.054176181525772,0.947265201170959,0.00312480372529193,0.0030796389592105,-17.5917314475268,2.85033853467516e-69
as.factor(year)2007,-0.0566366532337062,0.944937346927707,0.00326813404312372,0.00322356489412656,-17.5695712957106,4.21344301880104e-69
as.factor(year)2008,-0.0818992537272995,0.921364778087856,0.00325135948666606,0.00321338210019443,-25.4869328245602,2.75193718326106e-143
as.factor(year)2009,-0.0930827145258008,0.911118134474818,0.00339555301442302,0.00335258589285727,-27.7644533206785,1.16603097936362e-169
as.factor(year)2010,-0.0550694933178551,0.946419375845639,0.00328870789044714,0.00324816934956982,-16.954009286846,1.79765952292249e-64
as.factor(year)2011,-0.0755152824429971,0.927265559542658,0.00331223049279343,0.00327666548042882,-23.0463814185617,1.59908811182465e-117
as.factor(year)2012,-0.135778258193098,0.873036199651361,0.00335591350978401,0.00332231346306445,-40.868587417353,0
as.factor(year)2013,-0.161985536774734,0.8504535047519,0.00340331525962561,0.00337390581674707,-48.0112799742914,0
as.factor(year)2014,-0.145856981651594,0.864281302430384,0.00348728475980738,0.00346070527931593,-42.14660593127,0
as.factor(year)2015,-0.124018836538361,0.883363201221208,0.00341329468874958,0.0033914483526179,-36.5681041383482,9.1944307323429e-293
as.factor(year)2016,-0.227190540758791,0.796768950865083,0.00348845118405373,0.00346893187197882,-65.4929382136272,0
as.factor(region)NORTHEAST,0.0315732426903322,1.03207696492097,0.00175595132416872,0.00175620255922198,17.9781327185399,2.89064826737884e-72
as.factor(region)SOUTH,-0.0249679991662348,0.975341123258087,0.0020195985263266,0.00200853518105351,-12.4309493812992,1.7751351502979e-35
as.factor(region)WEST,-0.194871324183472,0.822940543789832,0.00318562364506624,0.00318563110329878,-61.1719680855953,0
get(pollutants_i):as.factor(entry_age_over85)TRUE,0.00163888124849662,1.00164022494832,0.000281399766733683,0.000283911979276356,5.77249770394984,7.81050090642728e-09
