rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.00923252079125835,1.00927527197712,0.000235545930905776,0.000228967388270389,40.3224269665669,0
as.factor(race_collapsed)Hispanic,,,0,0,,
as.factor(race_collapsed)Others,,,0,0,,
as.factor(race_collapsed)White,,,0,0,,
mean_bmi,0.0216445771716231,1.02188052025329,0.000841564574833437,0.000834119236168499,25.9490205153964,1.86517719298392e-148
smoke_rate,0.189383488638033,1.2085043113032,0.0107680868099941,0.0106988068541247,17.7013653223416,4.09263852724982e-70
hispanic,-0.0681059832113235,0.934161462898839,0.00603566767500473,0.00598432914481619,-11.3807214749073,5.21663648780077e-30
pct_blk,0.0733305351455758,1.07608616243445,0.00490537319250089,0.00482291004658992,15.2046242698275,3.29515914721647e-52
medhouseholdincome,7.03207610600051e-07,1.00000070320786,6.39539786444782e-08,6.36096871537047e-08,11.0550396027077,2.07245347780665e-28
medianhousevalue,4.83502897674733e-08,1.00000004835029,8.73605609076656e-09,8.67000520981001e-09,5.57673133953432,2.45079923465881e-08
poverty,-0.114890765133634,0.891463517486642,0.0159254568343217,0.015800257398079,-7.27144895421783,3.55651771661522e-13
education,0.378450829788551,1.46002101549098,0.00778314130157533,0.00771006215261171,49.0853150464363,0
popdensity,-2.64662480522195e-07,0.999999735337554,9.23173700546609e-08,9.26363865246108e-08,-2.85700349993555,0.00427661122446396
pct_owner_occ,0.0587264005547968,1.06048505292223,0.00642724546680006,0.00638757542832601,9.193848466254,3.79032423713619e-20
summer_tmmx,-0.000218654527443797,0.999781369375715,0.000412603742361625,0.000410611259810839,-0.532509818519169,0.594372943342337
winter_tmmx,0.0088017669869681,1.00884061643563,0.000212515108437907,0.000211185111655423,41.6779711314564,0
summer_rmax,0.000672922502746888,1.00067314896589,0.000125897240728131,0.000125881328987697,5.34568953281907,9.00734877917703e-08
winter_rmax,-0.000125277279522678,0.999874730567348,0.000121834686011194,0.000120831503555861,-1.0367931858496,0.299832251927285
as.factor(year)2002,-0.0280260651991987,0.972363021635083,0.00374803537033919,0.00370318804438461,-7.5680912941206,3.7874779062514e-14
as.factor(year)2003,-0.00168040594654986,0.99832100514501,0.00365232123221857,0.00360508830871109,-0.466120605836324,0.641129174606385
as.factor(year)2004,-0.00989214388955766,0.990156622432183,0.00376278355292109,0.00371108672500497,-2.66556527038436,0.00768590102394818
as.factor(year)2005,-0.00669192763975218,0.993330413445262,0.00368297186616624,0.00363223675801846,-1.8423709921935,0.0654209018830767
as.factor(year)2006,-0.0164493654396677,0.983685186596608,0.00387928170133991,0.00382833896988526,-4.29673693188163,1.73330690396022e-05
as.factor(year)2007,-0.0164775184360268,0.983657493300957,0.00406619629564216,0.00401654312883818,-4.10241292262511,4.08863750516817e-05
as.factor(year)2008,-0.0519013150546608,0.949422555932998,0.00402749385657524,0.00398569436856751,-13.0219003905496,9.18560000452734e-39
as.factor(year)2009,-0.0665909296679409,0.935577840206096,0.00416376309956803,0.00411715842247695,-16.1740022692347,7.69339742175541e-59
as.factor(year)2010,-0.0251276229273044,0.975185448064727,0.00408717096484167,0.00404253658102104,-6.21580594849133,5.10618762421333e-10
as.factor(year)2011,-0.0472653738015651,0.953834241382646,0.00408379839873198,0.00404407193769901,-11.6875699863188,1.47547984057703e-31
as.factor(year)2012,-0.0902030551513109,0.913745625676169,0.00417535983628809,0.00413647263892954,-21.8067573570737,2.0017030648471e-105
as.factor(year)2013,-0.11113647023084,0.894816624764723,0.00421300039964683,0.00418033924300915,-26.5855146604896,9.98328194757041e-156
as.factor(year)2014,-0.0917792976820192,0.91230647548157,0.00433833536526627,0.00431037715782027,-21.2926373543682,1.32838006680881e-100
as.factor(year)2015,-0.0629661369964504,0.938975269673666,0.00422869360693834,0.00420437123080887,-14.9763504552229,1.04816879961568e-50
as.factor(year)2016,-0.158343984143589,0.853556121692613,0.00435590829723087,0.00433164335218297,-36.5551757772925,1.47557539522911e-292
as.factor(region)NORTHEAST,0.0445526291781578,1.0455600022261,0.00205292816863387,0.00205233913693298,21.7082198435962,1.71575301057584e-104
as.factor(region)SOUTH,0.021700708785364,1.02193788166582,0.00250978298816452,0.00248874869359112,8.71952593737021,2.79368989266752e-18
as.factor(region)WEST,-0.144507217846992,0.865448665704515,0.00400540283191866,0.00399641550611364,-36.1592075763712,2.66633262326991e-286
get(pollutants_i):as.factor(race_collapsed)Hispanic,-0.00231106846449964,0.997691599998162,0.000688821735806436,0.000660698906199965,-3.49791477299674,0.000468910951839198
get(pollutants_i):as.factor(race_collapsed)Others,-0.00601429704486765,0.994003752636095,0.000604111092284692,0.00058804534665912,-10.2276075799883,1.49158646807769e-24
get(pollutants_i):as.factor(race_collapsed)White,-0.00114570969457215,0.998854946380199,0.000226688889238337,0.000219992024082636,-5.20796014923606,1.9092791540341e-07
