rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.0125022924126333,1.01258077279093,0.000594444220588531,0.000586350440315799,21.3222188524319,7.06291167891176e-101
as.factor(race_collapsed)Hispanic,,,0,0,,
as.factor(race_collapsed)Others,,,0,0,,
as.factor(race_collapsed)White,,,0,0,,
mean_bmi,0.0334277408000728,1.03399272553969,0.00116318029558466,0.00115681198222317,28.896433745293,1.32369470411299e-183
smoke_rate,0.0849676575002042,1.0886818554363,0.0153074035389215,0.0152583693285701,5.56859358103941,2.56803695178863e-08
hispanic,0.0119895937827546,1.01206175707677,0.00717726857806739,0.00713207173940086,1.68108148948061,0.0927470873066627
pct_blk,0.104601316882249,1.11026787704766,0.00590915386381897,0.00585368125448719,17.8693222836597,2.04463201550279e-71
medhouseholdincome,5.3117374823625e-07,1.00000053117389,1.0440986111372e-07,1.05044069812952e-07,5.05667525241637,4.26628813292376e-07
medianhousevalue,1.91489561532448e-07,1.00000019148958,1.40980384697266e-08,1.41279054228513e-08,13.5539951465644,7.50326162090807e-42
poverty,-0.169840342213659,0.843799525006752,0.0190474635405075,0.0190163683289151,-8.93127116997466,4.21141405065685e-19
education,0.450233951704023,1.56867913772128,0.0105717038482594,0.0105592272328109,42.6389111416225,0
popdensity,4.84142644594994e-07,1.00000048414276,1.28870204771813e-07,1.31017925671598e-07,3.69523973237462,0.000219679411695135
pct_owner_occ,-0.102758575464573,0.902344795359701,0.00901926287955914,0.00901321887976973,-11.4008742975515,4.13940960326947e-30
summer_tmmx,-0.00018478496888727,0.999815232102804,0.00056737855966359,0.000567353068051241,-0.325696606386521,0.744653912068597
winter_tmmx,0.0126891236722501,1.01276997220581,0.000296286714660432,0.000298548829083521,42.5026743906613,0
summer_rmax,0.00297651311451198,1.00298094732808,0.000175456377122648,0.000177531277466763,16.7661335905682,4.31701593564931e-63
winter_rmax,-0.00132387577109719,0.998677000165845,0.000173144363288955,0.000171646477946183,-7.71280475392141,1.23082314028092e-14
as.factor(year)2002,-0.038002164744863,0.962710856865562,0.00504350646213484,0.00496015708072791,-7.66148412769342,1.8379659664662e-14
as.factor(year)2003,0.00385074652745562,1.00385817017767,0.00497312736218319,0.00489088623367974,0.787331036436408,0.431088105764787
as.factor(year)2004,-0.0248255290378885,0.975480090132178,0.00513444988188032,0.00504484108565905,-4.92097344918553,8.61148136752946e-07
as.factor(year)2005,-0.0277061137576,0.972674180360799,0.00510116166959561,0.0050167936368338,-5.52267359657351,3.33879646253533e-08
as.factor(year)2006,-0.0688090750390965,0.93350489245016,0.00536790848940792,0.00528705739803687,-13.0146260686797,1.01035661769509e-38
as.factor(year)2007,-0.0564496304799982,0.945114088239219,0.00564950999237055,0.00556817151002018,-10.1379115888249,3.75031346401203e-24
as.factor(year)2008,-0.0688439162948797,0.933472368534017,0.00563589042992091,0.00556856224755739,-12.3629607130777,4.14600071721722e-35
as.factor(year)2009,-0.0798900723556922,0.92321782796973,0.00589684084543423,0.00582017687509052,-13.7263993982055,7.05536041303629e-43
as.factor(year)2010,-0.0324507904249644,0.968070086976779,0.00570336270942532,0.00562910471010281,-5.76482266651097,8.1743745631701e-09
as.factor(year)2011,-0.0756465919781653,0.927143808726754,0.00575459214650565,0.00569046731309988,-13.2935640986851,2.52269639139673e-40
as.factor(year)2012,-0.139237222528712,0.870021615248685,0.00582785933864199,0.00576986938818074,-24.1317806628225,1.1600255242914e-128
as.factor(year)2013,-0.173551763039558,0.840673634213023,0.00594352164676111,0.0058927932124168,-29.4515277871731,1.20350297993309e-190
as.factor(year)2014,-0.154343812577562,0.856977330770251,0.00610742865758056,0.00605847641410468,-25.4756810174643,3.66730135231072e-143
as.factor(year)2015,-0.155808586607267,0.855722971532786,0.00600902409753361,0.00597043582216293,-26.0966856102678,3.97570209510615e-150
as.factor(year)2016,-0.246459944567066,0.78156266674101,0.00614520705226924,0.00611210206774959,-40.3232704289262,0
as.factor(region)NORTHEAST,0.0387567310169583,1.03951757050621,0.00352691568986303,0.0035499690322111,10.9174842555792,9.50933251118714e-28
as.factor(region)SOUTH,-0.0243235412137742,0.975969892187139,0.00368219328565568,0.00371004754744568,-6.55612654628122,5.5223373865296e-11
as.factor(region)WEST,-0.1544778637153,0.856862459683517,0.00545947800918871,0.0055075152484476,-28.0485585144485,4.15955476880133e-173
get(pollutants_i):as.factor(race_collapsed)Hispanic,-0.00259832515420238,0.997405047570823,0.00101755376035161,0.00099192285141872,-2.61948310847569,0.00880631338568609
get(pollutants_i):as.factor(race_collapsed)Others,-0.00431970724215231,0.995689609273476,0.00110261140313156,0.00107919364922724,-4.00271744116124,6.26190718117553e-05
get(pollutants_i):as.factor(race_collapsed)White,-0.0051607468973207,0.994852546878513,0.000614998666981638,0.000608862697593824,-8.47604380711047,2.32981058989977e-17
