rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.00243498749129463,1.00243795448104,0.000390620648992677,0.000384836128055125,6.32733601078598,2.49429822406702e-10
as.factor(race_collapsed)Hispanic,,,0,0,,
as.factor(race_collapsed)Others,,,0,0,,
as.factor(race_collapsed)White,,,0,0,,
mean_bmi,0.0298110286398324,1.03025982595634,0.00115458417363065,0.00114837157825273,25.9593925906721,1.42441132356141e-148
smoke_rate,0.0869336060236473,1.09082425315429,0.0152827112446302,0.0152323977910576,5.70715177059536,1.14882338179534e-08
hispanic,0.0378880385578641,1.03861494154187,0.00722425227017899,0.00718020218086025,5.27673700593829,1.31504401865572e-07
pct_blk,0.123841640766466,1.13183662002689,0.00589859542885408,0.00584119156451793,21.2014345700861,9.26295149262621e-100
medhouseholdincome,8.10745538332616e-07,1.00000081074587,1.03746702613578e-07,1.04376206725209e-07,7.76753212029501,8.00300487864458e-15
medianhousevalue,1.84069776526473e-07,1.00000018406979,1.4099289519274e-08,1.41290647941698e-08,13.0277395714419,8.50912898200378e-39
poverty,-0.187881968726767,0.828712515453696,0.0190971085366536,0.0190666952420932,-9.85393464054451,6.59119678793757e-23
education,0.443754942177333,1.55854850431708,0.010633568316314,0.0106188984936846,41.7891688522354,0
popdensity,7.68763374249405e-07,1.00000076876367,1.29305770612462e-07,1.31583305814636e-07,5.84240811925167,5.14515658791601e-09
pct_owner_occ,-0.137911014676195,0.871176210193901,0.00890476184162368,0.00889545213942507,-15.5035418677558,3.28284991579683e-54
summer_tmmx,-0.00200923016995252,0.997992786981785,0.000610888776549062,0.000611577340988683,-3.28532474192777,0.00101864892164374
winter_tmmx,0.0138590041811927,1.0139554853755,0.00031989808911661,0.000322607862908399,42.9592882710606,0
summer_rmax,0.00238937975390266,1.00239223659661,0.000176252946275433,0.000177787210512181,13.439548024963,3.54595803252379e-41
winter_rmax,-0.00184865442874947,0.998153053280365,0.000173402588728964,0.000171813996288875,-10.7596265070355,5.33860946205962e-27
as.factor(year)2002,-0.0504528777709552,0.950798731372312,0.00504046064468471,0.00495033469283192,-10.1918114433779,2.15706885903948e-24
as.factor(year)2003,-0.00412511733156194,0.995883379277752,0.00497354017846033,0.00488525433412221,-0.844401754633139,0.398444942213883
as.factor(year)2004,-0.0406491087499595,0.960165984687266,0.00509394326391588,0.00499991802819388,-8.1299550354115,4.29449703037146e-16
as.factor(year)2005,-0.042431493419646,0.958456123823371,0.00507189020596306,0.00498050918372752,-8.51950912133233,1.60230990522435e-17
as.factor(year)2006,-0.0880712498772685,0.915695631197647,0.00530788361953121,0.00522051800363707,-16.8702128439956,7.45273496402641e-64
as.factor(year)2007,-0.0822881423609877,0.921006539460157,0.00552852323013301,0.00544207143952918,-15.120739092706,1.18208385190921e-51
as.factor(year)2008,-0.093062894856498,0.911136192713892,0.00553417890531819,0.00546088632769349,-17.041719836678,4.02712858856753e-65
as.factor(year)2009,-0.111866971415415,0.894163198853613,0.00571604054564271,0.00563497590037997,-19.8522537439552,1.05367429965486e-87
as.factor(year)2010,-0.0458513566568206,0.955183933372125,0.00568148232321675,0.00560399954942194,-8.18189870510433,2.79405886256888e-16
as.factor(year)2011,-0.0881046287838787,0.915665066788796,0.00574643521987544,0.0056797164449322,-15.5121526995404,2.87090044841933e-54
as.factor(year)2012,-0.164269918464324,0.848512961652236,0.00570805679104399,0.00564514636598856,-29.0993196304057,3.66175369144778e-186
as.factor(year)2013,-0.200764790240628,0.818104835166789,0.00580956255997768,0.00575733635567817,-34.8711240472556,2.03748752009283e-266
as.factor(year)2014,-0.182355596446997,0.833304967438584,0.00597672721077447,0.00592554752729724,-30.7744719972186,5.75521271851525e-208
as.factor(year)2015,-0.180317418827158,0.835005122994659,0.00591286447348738,0.00587205668451587,-30.707710860939,4.49065359059455e-207
as.factor(year)2016,-0.274907378068182,0.759642479520594,0.00600054960976355,0.00596509268937384,-46.0860195111301,0
as.factor(region)NORTHEAST,0.0331439251280505,1.03369930384024,0.00352448177677921,0.00354719776446072,9.34369249443002,9.30317791851406e-21
as.factor(region)SOUTH,-0.0335692724431668,0.966987923295261,0.00366367101235408,0.00368989712770306,-9.09761743522197,9.23350924691865e-20
as.factor(region)WEST,-0.17276313311032,0.841336876093509,0.0056897806954036,0.00574948088102398,-30.0484751032951,2.28579217691774e-198
get(pollutants_i):as.factor(race_collapsed)Hispanic,0.00251894225010296,1.00252211745062,0.000602714476031742,0.000586332826252822,4.29609623974355,1.73832138758649e-05
get(pollutants_i):as.factor(race_collapsed)Others,0.00621873651892193,1.0062381130058,0.000715739144075202,0.000704507962245615,8.82706349989253,1.07459796598101e-18
get(pollutants_i):as.factor(race_collapsed)White,0.000579919042475496,1.00058008722803,0.00040307387700039,0.00039814749993016,1.45654322224106,0.145242510312579
