rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.00901441110935509,1.00905516327339,0.000157641609334957,0.00015378381547871,58.6174239551434,0
as.factor(race_collapsed)Hispanic,,,0,0,,
as.factor(race_collapsed)Others,,,0,0,,
as.factor(race_collapsed)White,,,0,0,,
mean_bmi,0.0266611951549208,1.0270197845327,0.000681394003998745,0.000675251634014576,39.4833478542095,0
smoke_rate,0.146473661517322,1.15774443718508,0.00879477094581395,0.0087346359129574,16.7692921579062,4.09356161852593e-63
hispanic,-0.0466583364160453,0.954413430203602,0.00458054830631769,0.0045366833610519,-10.2846799528955,8.26160860277972e-25
pct_blk,0.0626449785197628,1.06464879893653,0.00379221249500317,0.00373378945680127,16.7778551106175,3.54407483373207e-63
medhouseholdincome,5.45179234105356e-07,1.00000054517938,5.43939774987839e-08,5.41785678874413e-08,10.0626364882511,8.08048547836424e-24
medianhousevalue,9.20757301047729e-08,1.00000009207573,7.39165278473531e-09,7.34746369721481e-09,12.5316345747548,5.01189365178859e-36
poverty,-0.0840762947912615,0.91936111095525,0.0120647015270166,0.0119848553111291,-7.01521149889796,2.29601370074031e-12
education,0.413778741768712,1.51252243182069,0.00624994572676541,0.00619625484578063,66.7788449744732,0
popdensity,-3.66127955672981e-07,0.999999633872111,7.56367140019611e-08,7.63412550405433e-08,-4.79593838847079,1.6191504506045e-06
pct_owner_occ,0.0366513780021215,1.03733132127592,0.00524043634605665,0.00520800879149682,7.03750309752984,1.95715186967617e-12
summer_tmmx,0.00107495912447021,1.00107553710011,0.000331154779408124,0.000329692266473224,3.26049238573058,0.0011121895336167
winter_tmmx,0.00967736822076596,1.00972434536469,0.000171668638643576,0.000170965157239272,56.6043302450343,0
summer_rmax,0.00173195884195784,1.00173345954894,0.000102077244534147,0.000102352270375204,16.9215478621901,3.12118692421109e-64
winter_rmax,-0.000494588569575487,0.999505533719189,9.80852732791643e-05,9.71249227721919e-05,-5.09229305371549,3.53758749212502e-07
as.factor(year)2002,-0.0284035190125575,0.971996068762835,0.00300721352006764,0.00296909279273169,-9.56639653771989,1.10696733058711e-21
as.factor(year)2003,0.00107878955316972,1.00107937165592,0.00293854063940151,0.00289860269853933,0.372175722362138,0.70976202059949
as.factor(year)2004,-0.0116187408599352,0.988448496054953,0.0030284310154629,0.00298393546977481,-3.89376411709469,9.87006292800057e-05
as.factor(year)2005,-0.00817601926651908,0.9918573134741,0.00298524397238852,0.00294161982311668,-2.7794275800931,0.00544547942630994
as.factor(year)2006,-0.0232774725795761,0.976991357847726,0.00315024103430052,0.00310665881360307,-7.49276762470711,6.74362352761517e-14
as.factor(year)2007,-0.0166552714624165,0.98348266074356,0.00331013494328018,0.0032662363243178,-5.09922424731322,3.41048316827826e-07
as.factor(year)2008,-0.0465191808338943,0.954546251401286,0.00328110256752563,0.00324416556397784,-14.3393362380848,1.24237993591302e-46
as.factor(year)2009,-0.0610814345643775,0.940746627364814,0.00339340519360494,0.00335175257763641,-18.2237301678905,3.34551802819756e-74
as.factor(year)2010,-0.01670982201586,0.983429012683394,0.00332820457155874,0.00328790563164015,-5.08220852054213,3.73071532542285e-07
as.factor(year)2011,-0.0474298052988293,0.953677413884237,0.00332595298068374,0.00329036441977027,-14.4147575307603,4.17904221773041e-47
as.factor(year)2012,-0.0935018858335883,0.910736299927475,0.00340158355497811,0.00336728388583865,-27.7677466479192,1.06400969117504e-169
as.factor(year)2013,-0.118936008081347,0.887864615104326,0.00344147603348053,0.00341221184346984,-34.8559859520334,3.45533272337048e-266
as.factor(year)2014,-0.0960816861411834,0.908389810179667,0.00354644909082132,0.00352008697463659,-27.2952591323692,4.82845995292348e-164
as.factor(year)2015,-0.0784519256903866,0.924546505798164,0.0034648311515491,0.00344243660467056,-22.7896500937581,5.80776560133037e-115
as.factor(year)2016,-0.170031032271699,0.843638636166793,0.00357379262574096,0.00355145130681538,-47.876492617371,0
as.factor(region)NORTHEAST,0.0433699679679098,1.04432418988618,0.00176271184533995,0.00176417191480094,24.5837537736811,1.88479215655984e-133
as.factor(region)SOUTH,0.013699970179168,1.01379424479849,0.00208533920482456,0.00207510592848115,6.60205823285155,4.05488161462368e-11
as.factor(region)WEST,-0.134843874402194,0.873852331756115,0.00321647408701092,0.00321744268549348,-41.9102646366215,0
get(pollutants_i):as.factor(race_collapsed)Hispanic,-0.00254598815430901,0.997457250124742,0.00034429738481622,0.000333915674621118,-7.62464402786078,2.44708711400157e-14
get(pollutants_i):as.factor(race_collapsed)Others,-0.00597391799721712,0.994043890371344,0.000353279534595479,0.000343450901184149,-17.393804985284,9.19239496867207e-68
get(pollutants_i):as.factor(race_collapsed)White,-0.00148775170306931,0.998513354450867,0.000151058243730197,0.000147041586672324,-10.1178975059941,4.60194713413161e-24
