rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.0118053740982485,1.01187533255124,0.000448156291919983,0.000438610836584505,26.9153726118073,1.45139297983346e-159
as.factor(race_collapsed)Hispanic,,,0,0,,
as.factor(race_collapsed)Others,,,0,0,,
as.factor(race_collapsed)White,,,0,0,,
mean_bmi,0.0235249920746814,1.02380388741011,0.000678791883076816,0.000672579414520864,34.9772704409044,4.98670645553933e-268
smoke_rate,0.13707052552905,1.14690903203444,0.00876572309545353,0.00870438924708157,15.7472881368451,7.16903525260347e-56
hispanic,0.0137673457596831,1.01386255207535,0.00452737877572738,0.00447859520358321,3.07403217613153,0.00211186654076262
pct_blk,0.125242511375892,1.1334232877812,0.00370423738896804,0.00364134727886656,34.3945528356407,3.04156932293958e-259
medhouseholdincome,1.26867035018964e-06,1.00000126867116,5.34144187698966e-08,5.32022646235092e-08,23.8461719471436,1.10961420216755e-125
medianhousevalue,7.77884795769426e-08,1.00000007778848,7.37384513801605e-09,7.32249504982954e-09,10.6232205071622,2.3240212784368e-26
poverty,-0.115584876772479,0.890844956983407,0.0120893625120054,0.0120100194585722,-9.62403742734815,6.32967599437654e-22
education,0.407521073536921,1.50308712056227,0.00624981429147685,0.00619710426479006,65.7599188466657,0
popdensity,1.04520000077705e-06,1.00000104520055,7.23538337876407e-08,7.31151003409872e-08,14.295268636746,2.34200318330372e-46
pct_owner_occ,-0.0289316515778224,0.971482861518269,0.0051702464534291,0.00513945941230135,-5.62931803850307,1.80923525083676e-08
summer_tmmx,-0.00456321568255965,0.995447179967581,0.000333021659703057,0.000331364699457743,-13.7709770836395,3.81024723107639e-43
winter_tmmx,0.0115449802076225,1.01161188069868,0.000171769290881627,0.000171136267504264,67.4607456150977,0
summer_rmax,0.000819809544915913,1.00082014568061,0.000101175667949952,0.000101362557536414,8.08789325014217,6.07055733926748e-16
winter_rmax,-0.000440263868946471,0.999559833032969,0.000101223335423508,0.000100161865716665,-4.39552384329458,1.10505932720414e-05
as.factor(year)2002,-0.0391748568930084,0.961582555107392,0.0030073754995054,0.00296641671236293,-13.2061206133791,8.08869333821319e-40
as.factor(year)2003,0.000571446870260111,1.00057161017713,0.00294981764957515,0.00290662004355649,0.196601847402421,0.844139124810076
as.factor(year)2004,-0.0212938546292918,0.978931258817534,0.00304480080173869,0.00299692815984494,-7.10522691688195,1.20125005779013e-12
as.factor(year)2005,-0.0242798195331063,0.976012564163945,0.00298153139860554,0.00293578621467105,-8.27029550441118,1.33627391395016e-16
as.factor(year)2006,-0.0539424058356214,0.947486674633666,0.00312570139475024,0.00308060695874725,-17.5103174659962,1.19525616880936e-68
as.factor(year)2007,-0.0564663443510577,0.945098291856222,0.00326875166669383,0.0032243021157269,-17.5127337093,1.14558030886031e-68
as.factor(year)2008,-0.0814325048453559,0.921794924445248,0.00325319878699692,0.00321540240258915,-25.3257585364071,1.66247750457185e-141
as.factor(year)2009,-0.0924453760855727,0.911699010173051,0.00339818902158674,0.00335553243834735,-27.5501363149102,4.40875798936532e-167
as.factor(year)2010,-0.0548449118518807,0.946631947965479,0.00328945221010482,0.00324904703734856,-16.8803071243431,6.28171748398342e-64
as.factor(year)2011,-0.0754385826131493,0.927336683380857,0.00331278984507424,0.00327732939218752,-23.0183096007925,3.0563078126082e-117
as.factor(year)2012,-0.135523045182625,0.873259038282576,0.0033570424043897,0.00332355199528474,-40.7765683747078,0
as.factor(year)2013,-0.161522958919282,0.850846996713607,0.00340500038576672,0.00337584191278533,-47.8467188607222,0
as.factor(year)2014,-0.145164755377966,0.864879787775474,0.00349028948626945,0.00346405162103077,-41.9060600877449,0
as.factor(year)2015,-0.123534122267484,0.883791483760151,0.00341505710763977,0.00339346016748527,-36.4035869497267,3.73554500887459e-290
as.factor(year)2016,-0.226825527220571,0.797059835404149,0.0034898965634903,0.00347059635604239,-65.3563549174085,0
as.factor(region)NORTHEAST,0.0316605295193302,1.03216705557833,0.00175600816777643,0.00175626172711741,18.0272273946864,1.1911682415205e-72
as.factor(region)SOUTH,-0.0251865352340843,0.975127999332679,0.00202077393558173,0.00200978815940587,-12.5319353267212,4.99292123509224e-36
as.factor(region)WEST,-0.194085846519908,0.823587199138839,0.00319073659749158,0.00319119930373522,-60.8190927757896,0
get(pollutants_i):as.factor(race_collapsed)Hispanic,-0.00304721918625951,0.996957418873867,0.00087734997070483,0.000851765260608264,-3.57753400753093,0.000346851103624707
get(pollutants_i):as.factor(race_collapsed)Others,-0.00300451698646788,0.996999992057729,0.000895759170788714,0.000873861697289786,-3.43820652145088,0.000585580907407498
get(pollutants_i):as.factor(race_collapsed)White,-0.000686358707922588,0.999313876782335,0.000454065193156338,0.000444818071684386,-1.54300994409594,0.122828363197019
