rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.00346958039655162,1.00347560635779,0.000173726988284552,0.000172612000268657,20.1004587812636,7.31145887514917e-90
as.factor(sex)2,,,0,0,,
mean_bmi,0.0200571514212517,1.02025964764947,0.000675539713337287,0.00066924663003048,29.969745862356,2.43352242405555e-197
smoke_rate,0.130213513393049,1.13907156439713,0.00874191342384136,0.00867838068483649,15.004356010859,6.87550154836373e-51
hispanic,0.0401080231005613,1.04092321187214,0.00453870264924672,0.00448773078738321,8.93726139128507,3.98933916909213e-19
pct_blk,0.14853177675778,1.16012966234798,0.00368992001457537,0.00362552947364734,40.9682993442486,0
medhouseholdincome,1.58800385472602e-06,1.00000158800512,5.30900049903914e-08,5.28876384646579e-08,30.0259928562928,4.49409356201437e-198
medianhousevalue,6.5213702408773e-08,1.0000000652137,7.36456845939491e-09,7.31219832056406e-09,8.91848108459708,4.7272685814782e-19
poverty,-0.150593835939914,0.860197008825364,0.0121130535768037,0.0120362614394784,-12.5116787049817,6.44476624503136e-36
education,0.402420071771488,1.49543939262649,0.00627779497317999,0.00622454575573836,64.6505122724016,0
popdensity,1.35343071738143e-06,1.00000135343163,7.26383544309584e-08,7.34565843292865e-08,18.4249067628078,8.29334516862641e-76
pct_owner_occ,-0.0625600682473458,0.939356635612017,0.00513438760529568,0.00510287004155243,-12.2597808170543,1.48902098890991e-34
summer_tmmx,-0.00499133282086203,0.995021103181457,0.0003558210523947,0.000354480281373797,-14.0807065530359,4.99082952442192e-45
winter_tmmx,0.0125082465716162,1.01258680187578,0.000184083039131048,0.000183969664219795,67.9908104668399,0
summer_rmax,0.000112021179538854,1.00011202745415,0.000101301964847331,0.000101278171496338,1.1060742693494,0.268694374663722
winter_rmax,-0.00157880680419393,0.99842243885563,0.000101727624699995,0.000100557637000422,-15.7005161546041,1.50016494023885e-55
as.factor(year)2002,-0.0544727234954927,0.946984338928135,0.0030085526941405,0.00296381935023283,-18.3792320173675,1.92677138814048e-75
as.factor(year)2003,-0.00974549750121621,0.990301835972015,0.00295214156292598,0.0029049299824102,-3.35481321760824,0.000794185885273802
as.factor(year)2004,-0.0447467023455424,0.956239664423762,0.00301922436472308,0.0029682607164871,-15.0750579613841,2.36308418353619e-51
as.factor(year)2005,-0.0435334691487982,0.957400510174594,0.0029674603077606,0.00291771301297711,-14.9204081947657,2.42783610298325e-50
as.factor(year)2006,-0.0813468906348763,0.921873846568307,0.00309017195558997,0.00304197854881063,-26.7414412460869,1.55289398697009e-157
as.factor(year)2007,-0.0929698303607831,0.911220991089993,0.00320429937396975,0.00315642031379364,-29.4541984647933,1.11236333594955e-190
as.factor(year)2008,-0.114949927100796,0.891410778311387,0.0031961759275911,0.00315472690822625,-36.4373622328617,1.09073950187962e-290
as.factor(year)2009,-0.137560774964957,0.871481384137094,0.00329753377840424,0.00325237032007131,-42.2955449187412,0
as.factor(year)2010,-0.0788239453044806,0.9242026203339,0.00327735009227921,0.00323489062621613,-24.3668038312261,3.84738018520003e-131
as.factor(year)2011,-0.0986183929099616,0.906088411819996,0.00331417104904783,0.00327664638198869,-30.0973560809169,5.24713591675844e-199
as.factor(year)2012,-0.172126239919392,0.841872888494375,0.00329128519122628,0.00325463850688488,-52.8864387105588,0
as.factor(year)2013,-0.200946692321839,0.81795603372868,0.00333455574613059,0.00330449039210541,-60.8101911271735,0
as.factor(year)2014,-0.184028405993797,0.831912172199031,0.00341990064329745,0.00339123179545358,-54.2659473293783,0
as.factor(year)2015,-0.157463142746316,0.854308300485971,0.00336600917429263,0.00334228110681828,-47.1124772913595,0
as.factor(year)2016,-0.267376128358874,0.765385134263638,0.00341366692489935,0.00339204699980819,-78.8244173426823,0
as.factor(region)NORTHEAST,0.0260138259204279,1.02635513867982,0.00175430941770826,0.00175459164099781,14.8261426263459,9.92761251215314e-50
as.factor(region)SOUTH,-0.0384140140119873,0.962314446740922,0.00201458999006241,0.0020031372032681,-19.176926048458,5.76918710377318e-82
as.factor(region)WEST,-0.206358631346254,0.813541262561049,0.00330736525334224,0.00331248718275378,-62.2971863621526,0
get(pollutants_i):as.factor(sex)2,-0.000711136508523006,0.999289116289116,0.000184142442698968,0.000182660511707271,-3.89321425783949,9.8924708001216e-05
