rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.0219898986861699,1.02223345851731,0.00035249123333518,0.000350198251098788,62.7927141759677,0
as.factor(sex)2,,,0,0,,
mean_bmi,0.0152267453838889,1.01534326291446,0.000679644129035297,0.000673421987656546,22.6110012191268,3.37789601196364e-113
smoke_rate,0.212009485605461,1.23615961074525,0.00881520837849257,0.00875106149064003,24.226716476878,1.16373822840841e-129
hispanic,0.0469535718178085,1.0480733478097,0.00451885984827165,0.00446848931104957,10.5077059716139,7.96063877580632e-26
pct_blk,0.132275455051071,1.14142268661265,0.00367910524873172,0.00362056763250912,36.5344521846156,3.14858793888189e-292
medhouseholdincome,9.43812598682941e-07,1.00000094381304,5.38211768734089e-08,5.35190555116957e-08,17.6350757624392,1.32518437604815e-69
medianhousevalue,9.80399878039172e-08,1.00000009803999,7.38039964205512e-09,7.31065451762723e-09,13.4105622919981,5.24397183158458e-41
poverty,-0.0643878311716661,0.937641282487695,0.0121144851863571,0.0120349717749815,-5.35006083732715,8.79246692814698e-08
education,0.318400929316203,1.37492739943853,0.0063645910226661,0.00631320850591749,50.4340905290487,0
popdensity,6.68532393933106e-07,1.00000066853262,7.25566203634838e-08,7.30968631793444e-08,9.14584244597269,5.91668819711802e-20
pct_owner_occ,0.0161702572777519,1.01630170343829,0.00523298204404366,0.00519844607160265,3.1105944074489,0.00186711200809468
summer_tmmx,-0.00623796721294447,0.993781448512001,0.000334506462062121,0.000332546549174002,-18.7581775496955,1.65994017756366e-78
winter_tmmx,0.0123474566294003,1.01242400119113,0.000173318721885106,0.000172538175841995,71.5636210313694,0
summer_rmax,-0.0018752608455584,0.998126496357485,0.000104819557834814,0.000104793310647011,-17.8948525815269,1.29338640856734e-71
winter_rmax,-0.000710778703131544,0.999289473840213,9.79028249933303e-05,9.69390708283926e-05,-7.33222112670965,2.26369176470033e-13
as.factor(year)2002,-0.0393847932761202,0.961380705132277,0.00299332871341797,0.00296246258592745,-13.2946128883481,2.48757315974416e-40
as.factor(year)2003,0.00088709269294359,1.00088748627604,0.00293215537148674,0.00290017384258552,0.305875696110941,0.759699291335735
as.factor(year)2004,-0.0268672684381185,0.973490445856756,0.00300591110514286,0.00296827625273277,-9.05147167935696,1.41054250497031e-19
as.factor(year)2005,-0.0305590907441765,0.969903118076838,0.00295675976805419,0.00292236259252499,-10.4569812186696,1.3612361154912e-25
as.factor(year)2006,-0.0523037284877906,0.94904057240558,0.00310137173232623,0.00306415017450565,-17.0695708464187,2.50031008277887e-65
as.factor(year)2007,-0.0694017066276441,0.932951831859605,0.0032066585381143,0.00317166160730703,-21.8818131378685,3.87142192487302e-106
as.factor(year)2008,-0.073397265367504,0.929231605155403,0.00323442897081247,0.00320178273500572,-22.9238744294037,2.68584965289016e-116
as.factor(year)2009,-0.0821736665282153,0.921111978485746,0.00336269205771338,0.00332386556344645,-24.7223195281734,6.15533268662938e-135
as.factor(year)2010,-0.0209194305561604,0.979297862875186,0.00334640258202997,0.00331238702686164,-6.31551518180554,2.69262950288864e-10
as.factor(year)2011,-0.0382779624809513,0.962445380001373,0.00338239651112227,0.00335224578196885,-11.4186026236029,3.37618650529204e-30
as.factor(year)2012,-0.0972492980269114,0.907329782411367,0.00343226558524103,0.00339920424851182,-28.6094305952598,5.12849093288523e-180
as.factor(year)2013,-0.120976666024158,0.886054634529097,0.00348762655453296,0.00346036084361123,-34.9607082878407,8.90319561154617e-268
as.factor(year)2014,-0.116197071200149,0.890299753567098,0.00352910809066131,0.00350411661063985,-33.1601610652252,4.04231912997312e-241
as.factor(year)2015,-0.0721389935487878,0.930401567007883,0.00354220808496787,0.00351943881569984,-20.4973000885776,2.27574505896778e-93
as.factor(year)2016,-0.165374632527674,0.847576115019666,0.00366632145401451,0.00364326664127299,-45.3918553899451,0
as.factor(region)NORTHEAST,0.058405664984416,1.06014497218481,0.00179505084052322,0.00179796993728938,32.484227779953,1.7809337335743e-231
as.factor(region)SOUTH,-0.00526915391027355,0.994744703731159,0.00204947724228529,0.00203789559874871,-2.58558579424229,0.00972136757939734
as.factor(region)WEST,-0.172908192565645,0.841214841075899,0.00320224584989625,0.00319331207640214,-54.1469760639423,0
get(pollutants_i):as.factor(sex)2,-0.001777115305242,0.998224462829181,0.000370826666716329,0.000367427365934216,-4.8366438376835,1.32049727060271e-06
