rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.00102930235101938,1.00102983226448,0.000131033686413686,0.000128259446553363,8.02515821391086,1.01395178641392e-15
as.factor(above_median_popdensity)TRUE,0.00668194497335618,1.00670431897386,0.00291418647513776,0.00287524514661187,2.32395661331002,0.0201278195146827
mean_bmi,0.00240969382014472,1.00241259946573,0.000647719109380053,0.000643166961717302,3.74660696766927,0.000179242590074415
smoke_rate,0.0692080423555272,1.07165913644945,0.00829234518824273,0.00822068627274414,8.41876700549781,3.80467212015378e-17
hispanic,-0.0747597414988346,0.92796641136679,0.00441992594887455,0.00442354368901397,-16.900418929851,4.46721516938938e-64
pct_blk,-0.00424299012078653,0.995765998644222,0.00366058301530192,0.00363735807873308,-1.16650327763837,0.24341102417808
medhouseholdincome,5.94078820964064e-07,1.000000594079,5.19588510817717e-08,5.10854429475298e-08,11.6291214617488,2.93098522684348e-31
medianhousevalue,-2.48159808390946e-07,0.999999751840222,7.08529948436274e-09,6.99391750873372e-09,-35.4822326801902,9.23916513012827e-276
poverty,-0.166917432602845,0.84626948272108,0.0115767323389586,0.0114635870069815,-14.5606634730639,4.99704523749693e-48
education,0.049284640924606,1.05051932898041,0.0060918976391577,0.00602295298139962,8.18280353122618,2.77315100621853e-16
popdensity,-1.1503435312303e-06,0.99999884965713,7.67131588705102e-08,7.57220647402678e-08,-15.191655631368,4.01645518806794e-52
pct_owner_occ,-0.005727881927441,0.994288491112384,0.00517589624083222,0.00510389701759601,-1.1222565635031,0.261753368917129
summer_tmmx,0.0012957029327246,1.00129654271843,0.000314120650674433,0.00031148987828918,4.15969513950532,3.18672657409249e-05
winter_tmmx,-0.000276982074999821,0.999723056280994,0.00016703882157596,0.000165810907977291,-1.6704695630625,0.0948264965318711
summer_rmax,-0.00101594956375449,0.998984566338279,9.65109445491653e-05,9.59470787343549e-05,-10.5886450859781,3.36426009258997e-26
winter_rmax,0.00105025555923231,1.00105080727073,9.36799377389809e-05,9.31168373849352e-05,11.2789006663818,1.66817539227922e-29
as.factor(year)2001,0.0646585625014692,1.06679471847376,0.00392095877671503,0.00389322341994553,16.6079763545586,6.10170860797319e-62
as.factor(year)2002,0.0535631718065465,1.05502363741163,0.00346910074500305,0.00344515956645394,15.5473703825215,1.65773826002185e-54
as.factor(year)2003,0.0206912496499296,1.02090679764148,0.00332514273893607,0.00330209998822388,6.26608816320517,3.70230771905828e-10
as.factor(year)2004,-0.0338567374176181,0.966709988086829,0.00316575984410203,0.00314598992490047,-10.761870897819,5.2101506849919e-27
as.factor(year)2005,-0.0302781796636046,0.9701756128814,0.00302310665694628,0.00300440387507004,-10.0779325692018,6.91660963539716e-24
as.factor(year)2006,-0.0657932294588791,0.936324448590064,0.00286855579184986,0.00285474835495591,-23.0469453970122,1.57839946264181e-117
as.factor(year)2007,-0.0782958164020426,0.924690847361461,0.00280122416683198,0.00278838167311292,-28.0793039048468,1.75326319927233e-173
as.factor(year)2008,-0.0640461479658087,0.937961713506871,0.00276809202590836,0.00275371137543525,-23.2581194010159,1.1773677405236e-119
as.factor(year)2009,-0.116292268378777,0.890215003576469,0.00277178034095035,0.00275764511580233,-42.1708608233812,0
as.factor(year)2010,-0.10648182983646,0.898991382833276,0.00282076957866403,0.00280360727018009,-37.98029451879,1.11253699028513e-308
as.factor(year)2011,-0.087870820084352,0.915879182277321,0.00287682100014264,0.00285620912350574,-30.7648411879934,7.74273539743318e-208
as.factor(year)2012,-0.0943908319594412,0.909927064158772,0.00271560668492588,0.00269293585890727,-35.0512737417158,3.72877201337508e-269
as.factor(year)2013,-0.0635260234152492,0.93844969731673,0.00273072864388689,0.00270393048338532,-23.4939558563335,4.70234979357646e-122
as.factor(year)2014,-0.0777644158268999,0.925182359192847,0.00285498360066207,0.00282423064990929,-27.5347255470787,6.74364841285404e-167
as.factor(year)2015,-0.0264796916411041,0.973867821291942,0.00286809500797956,0.00283376923087581,-9.34433592989511,9.24678955896428e-21
as.factor(year)2016,,,0,0,,
as.factor(region)NORTHEAST,0.0112919764947966,1.01135597151128,0.00165679492974347,0.00163466703177832,6.907814420477,4.92177235240506e-12
as.factor(region)SOUTH,0.0376447986149379,1.03836233962545,0.00196890144992738,0.00194817030882341,19.3231559091327,3.43023767166718e-83
as.factor(region)WEST,0.0432938202895216,1.0442446700513,0.00307743603875346,0.00305745616479803,14.1600788223832,1.61812556213809e-45
get(pollutants_i):as.factor(above_median_popdensity)TRUE,-0.00027907965886839,0.999720959280237,0.000145559003455634,0.000142794259470084,-1.95441791500629,0.050651813730634
