rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.000695985767290286,1.00069622802158,8.99427975285834e-05,8.84250553461259e-05,7.87091129958539,3.52067196931066e-15
as.factor(above_median_poverty)TRUE,-0.00395046766348571,0.99605732516874,0.00232056872150852,0.00229117361331025,-1.72421140001614,0.08466968687483
mean_bmi,0.00230159946493905,1.00230425017822,0.000633670798481671,0.000628722761336086,3.66075416141762,0.000251473959352787
smoke_rate,0.0693328086691166,1.07179285175074,0.00815004694932291,0.00807684269336845,8.58414745727842,9.15125296458847e-18
hispanic,-0.0748899954942239,0.927845547905767,0.00431820812860472,0.00432039020918914,-17.3340813834219,2.60190981685098e-67
pct_blk,-0.00532884553843129,0.99468532757234,0.00357217746873917,0.00355023490451784,-1.50098392972535,0.133359718144052
medhouseholdincome,5.7685462166326e-07,1.00000057685479,4.99747897904898e-08,4.90963150622001e-08,11.7494484246413,7.1081294991012e-32
medianhousevalue,-2.51474192512038e-07,0.999999748525839,6.82722321736661e-09,6.7363056533102e-09,-37.3311731168945,5.12368484207819e-305
poverty,-0.179088705694076,0.836031735332344,0.0124738306807713,0.0123745474615465,-14.4723438372667,1.8119102785497e-47
education,0.045979821857832,1.04705328315377,0.00595087461909748,0.00589043375588878,7.80584652392791,5.91034705574783e-15
popdensity,-1.26618831616036e-06,0.999998733812486,7.51580389790625e-08,7.40578610912127e-08,-17.0972844408897,1.55482072920753e-65
pct_owner_occ,-0.00350351690963962,0.996502613244606,0.00493803723965652,0.00486694526567792,-0.719859525511146,0.471611490429176
summer_tmmx,0.00133421529614993,1.00133510575736,0.00030559679771982,0.000303301417465319,4.39897481291031,1.0876344724056e-05
winter_tmmx,-0.000298101416984091,0.999701943010828,0.000159075196569405,0.000158034780592701,-1.88630259659347,0.0592541895782289
summer_rmax,-0.00100775298035069,0.998992754632154,9.3986705997421e-05,9.34684779550433e-05,-10.781741635243,4.19859880430715e-27
winter_rmax,0.00102101519172697,1.00102153660518,9.0916748781926e-05,9.03995565429758e-05,11.2944712426945,1.39742540431306e-29
as.factor(year)2002,-0.0165135576617269,0.983622043685337,0.00363290376636715,0.0036148053494652,-4.56831172504767,4.91668434275435e-06
as.factor(year)2003,-0.0518714545163033,0.949450906624928,0.00349954401318186,0.00347989197185472,-14.906053100452,3.01028665156621e-50
as.factor(year)2004,-0.108418908557658,0.897251651297515,0.0035236099148818,0.00350386133387804,-30.9426938530301,3.18594229456487e-210
as.factor(year)2005,-0.106605282079323,0.898880407180989,0.00345328247344473,0.00343289728507915,-31.0540261553048,1.00665231352266e-211
as.factor(year)2006,-0.143592606823695,0.866240576684318,0.00355409448789634,0.00353061290222795,-40.6707307768242,0
as.factor(year)2007,-0.157449649393218,0.854319828047297,0.00365675026307944,0.0036304469709327,-43.3692189016516,0
as.factor(year)2008,-0.143935907847319,0.865943246447445,0.00360791313381449,0.00358141791551798,-40.1896431085735,0
as.factor(year)2009,-0.196924455134155,0.821252672392222,0.00369351403599043,0.00366633235645778,-53.7115667616159,0
as.factor(year)2010,-0.187940912096536,0.828663669785043,0.00363706281631834,0.00360914947984617,-52.0734630543889,0
as.factor(year)2011,-0.175232976806264,0.839261469533848,0.00362383590617653,0.00359585519420875,-48.7319336686535,0
as.factor(year)2012,-0.178497418690882,0.836526216207355,0.00367817748560934,0.00364941262218784,-48.9112734486768,0
as.factor(year)2013,-0.162807523834934,0.849754730206854,0.00368894558203343,0.00365845565994632,-44.5017075421717,0
as.factor(year)2014,-0.183090603465567,0.832692707474156,0.00376619750503133,0.00373647861800979,-49.0008433563816,0
as.factor(year)2015,-0.141359043017441,0.86817754264718,0.00370102882829832,0.00367031675128534,-38.5141263265458,0
as.factor(year)2016,-0.154803522716483,0.856583460142567,0.00378347708804593,0.0037534431327682,-41.2430712923347,0
as.factor(region)NORTHEAST,0.00991060408423926,1.00995987676037,0.00161457163710779,0.00159344218686654,6.21961949164167,4.98361969741445e-10
as.factor(region)SOUTH,0.0381716602901361,1.03890955708846,0.00191725506172223,0.00189798691606158,20.111656180088,5.83429296545923e-90
as.factor(region)WEST,0.0433594826648828,1.044313239888,0.00296039932035656,0.00294298292261785,14.7331750828896,3.94716436810693e-49
get(pollutants_i):as.factor(above_median_poverty)TRUE,0.00036064580628155,1.0003607108468,0.000105615395937163,0.000104111820125315,3.46402364157554,0.000532159738811672
