rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.00246857366293282,1.00247162309963,0.00028032719169094,0.000277398513108296,8.89901548235442,5.63442350787836e-19
as.factor(entry_age_over85)TRUE,0.142528337891028,1.15318575934673,0.00421475849163248,0.00417558554128344,34.1337368093337,2.3309371085933e-255
mean_bmi,0.00120955987046681,1.00121029168303,0.000634566669593184,0.000629610641982974,1.92112361166144,0.0547161255214975
smoke_rate,0.0760930796778269,1.07906300832019,0.0082046917790337,0.00813214926391457,9.3570687414065,8.19794483290054e-21
hispanic,-0.0640139569405477,0.937991907942077,0.00424797311369072,0.00425253884545442,-15.0531151547205,3.29353029986662e-51
pct_blk,0.00322912719208427,1.00323434643965,0.00348178272092943,0.00346040324321216,0.933164999893712,0.350734782786057
medhouseholdincome,6.21597400114144e-07,1.00000062159759,4.92076867100393e-08,4.83369831811361e-08,12.8596647785153,7.5905132579975e-38
medianhousevalue,-2.52320717247162e-07,0.999999747679315,6.82422774068993e-09,6.73217708605287e-09,-37.4798098775355,1.96451416159392e-307
poverty,-0.171383705006358,0.84249824065059,0.0113508803078454,0.01123376553409,-15.2561226675309,1.4989455315379e-52
education,0.0391141941276248,1.03988922611319,0.00603848729741984,0.0059749600613766,6.54635239831428,5.89593643176083e-11
popdensity,-1.08629854272115e-06,0.999998913702047,7.23136976598126e-08,7.13363505283924e-08,-15.2278401498657,2.31100713058323e-52
pct_owner_occ,-0.00919555673979782,0.990846593096068,0.00488669270711405,0.00481609566815935,-1.90933847111726,0.0562184425151113
summer_tmmx,0.000549961914385589,1.00055011317117,0.000308716405286415,0.000306319586505811,1.79538605630481,0.0725922124990679
winter_tmmx,-3.15577115216485e-05,0.999968442786418,0.000159400832426391,0.00015828323031158,-0.199374952479345,0.84196945217877
summer_rmax,-0.00134658825635184,0.99865431798679,9.59249248150876e-05,9.53705425536572e-05,-14.119540691448,2.87861375519022e-45
winter_rmax,0.000926742573145389,1.00092717213173,9.04265177128311e-05,9.00268717921004e-05,10.2940661460005,7.49432090663141e-25
as.factor(year)2002,-0.018240464009292,0.981924886372133,0.00362844742045882,0.00361044261251125,-5.05214068382735,4.36885709005914e-07
as.factor(year)2003,-0.0528009305904125,0.948568824724195,0.00350003999424867,0.00348044458698699,-15.1707430676614,5.52477954885638e-52
as.factor(year)2004,-0.111264637230921,0.894701946151469,0.0035122967791565,0.00349319450442172,-31.8518299195996,1.24170643601723e-222
as.factor(year)2005,-0.109883392581982,0.895938602292713,0.00343908492079391,0.00341922873647511,-32.1368943264266,1.34646216784714e-226
as.factor(year)2006,-0.147780865733713,0.862620123860051,0.00352299586039215,0.0035009280664749,-42.2119115068005,0
as.factor(year)2007,-0.164219431798272,0.848555801324179,0.00358253222107128,0.00355880524084184,-46.1445402838134,0
as.factor(year)2008,-0.147835458718669,0.862573032138056,0.0035764381274974,0.00355160015423773,-41.6250288035024,0
as.factor(year)2009,-0.200771177985777,0.818099609338288,0.00367233407711288,0.00364743522673842,-55.0444807118095,0
as.factor(year)2010,-0.189959200280752,0.826992874332152,0.00365397722462105,0.00362674439927516,-52.377333323715,0
as.factor(year)2011,-0.175777821844912,0.838804326633374,0.00367225383873176,0.00364357762094715,-48.2431939515585,0
as.factor(year)2012,-0.18060640703386,0.834763851225604,0.00370915745649647,0.00368103287182931,-49.0640571063705,0
as.factor(year)2013,-0.165170256729284,0.847749356767477,0.00372860413548082,0.00369949936095774,-44.6466509691528,0
as.factor(year)2014,-0.187142804381012,0.829325296643103,0.00375601327362344,0.00372897174952317,-50.1861684537949,0
as.factor(year)2015,-0.143012537770035,0.866743201800421,0.00376699339813873,0.00373635478320975,-38.2759523835097,1.11253692925437e-308
as.factor(year)2016,-0.157017496498531,0.854689104620199,0.00386405716133534,0.00383421414475521,-40.9516762941667,0
as.factor(region)NORTHEAST,0.0108001899844142,1.01085872256748,0.00164751039690887,0.00162576791582109,6.64313145764078,3.07087715027907e-11
as.factor(region)SOUTH,0.0353520526087895,1.03598436560524,0.00188039447443299,0.00186230346653715,18.9829709518421,2.35873305708112e-80
as.factor(region)WEST,0.0391813075562732,1.03995901898656,0.00292228141178386,0.00290625421253432,13.4817206930106,2.00378548513525e-41
get(pollutants_i):as.factor(entry_age_over85)TRUE,-0.0013631921386403,0.998637736585705,0.000353906644674803,0.000349643161718485,-3.898809666233,9.66667200029736e-05
