rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.00560609537920405,1.00562183893812,0.000574800550013837,0.000569365301403828,9.84621887807644,7.1171241949677e-23
as.factor(race_collapsed)Hispanic,,,0,0,,
as.factor(race_collapsed)Others,,,0,0,,
as.factor(race_collapsed)White,,,0,0,,
mean_bmi,-0.00101554560047774,0.998984969891439,0.00105433392833286,0.00103891792493129,-0.977503204158215,0.328320092258211
smoke_rate,0.0971263803145185,1.1019996358814,0.0137130834727537,0.013484298759072,7.20292408599842,5.89347888642488e-13
hispanic,-0.109264357191312,0.89649339169482,0.00665954233720829,0.006605430819161,-16.541594361167,1.84084995087726e-61
pct_blk,0.0107836421209211,1.01084199515373,0.00543058046019826,0.00533437958732799,2.02153632758682,0.0432242757307501
medhouseholdincome,5.80407802411619e-07,1.00000058040797,9.16708338395298e-08,8.96354531165901e-08,6.47520352975373,9.46842244369521e-11
medianhousevalue,-3.32003289539994e-07,0.999999667996765,1.28261167771618e-08,1.26504036274352e-08,-26.2444819404791,8.263301789994e-152
poverty,-0.248091006867405,0.780288928395618,0.0176120677227194,0.0172779481980161,-14.3588233987119,9.38062055371619e-47
education,-0.078175811525935,0.924801821430618,0.00976694116450799,0.00956741004820386,-8.17105268113928,3.05710095802148e-16
popdensity,-1.17536181434404e-06,0.999998824638876,1.30336033499883e-07,1.28053143124946e-07,-9.17870335441276,4.36313339763829e-20
pct_owner_occ,-0.0168310109449945,0.983309839195866,0.00823286238446256,0.00804396347650022,-2.09237784261016,0.0364047292710497
summer_tmmx,-0.00111139627741769,0.998889221094689,0.0005083702394688,0.000501314089564832,-2.21696597113886,0.0266254169748027
winter_tmmx,0.00322667420077189,1.00323188551754,0.000264989572915954,0.000260234271913983,12.3991132184097,2.64231546144976e-35
summer_rmax,-0.00151314340612252,0.998488000818163,0.000156161564853745,0.000154297443033458,-9.8066654662217,1.05393819423771e-22
winter_rmax,0.00129277752577881,1.00129361352286,0.000156596637631716,0.000154762478046048,8.35330076192082,6.63813381975047e-17
as.factor(year)2002,-0.036441052716987,0.964214930071507,0.00611892306039787,0.00610445207295611,-5.96958617767315,2.3785610166366e-09
as.factor(year)2003,-0.0432911459584047,0.957632538632507,0.00590044581357727,0.00587250496965252,-7.37183641088792,1.68293455098307e-13
as.factor(year)2004,-0.106791893416796,0.898712681556214,0.00593830038614774,0.00590097391928683,-18.0973335719645,3.34472430853645e-73
as.factor(year)2005,-0.0978927495663662,0.906746147456623,0.00583284219469427,0.00579304158977758,-16.8983336386033,4.62801419488605e-64
as.factor(year)2006,-0.141513755364258,0.868043235251878,0.00597204640143791,0.00592627081981557,-23.879056436483,5.05568990374743e-126
as.factor(year)2007,-0.159071521870042,0.852935353256047,0.00614833971992828,0.00609279591147962,-26.1081323223596,2.94755893138548e-150
as.factor(year)2008,-0.147724809986115,0.862668480031295,0.00609680052349986,0.00604053605222316,-24.4555795560141,4.3895719730704e-132
as.factor(year)2009,-0.20688421975648,0.813113787050134,0.00629480570489691,0.00623461946634694,-33.1831350531005,1.8852156228054e-241
as.factor(year)2010,-0.198558732643921,0.819911613749368,0.00615320197044291,0.00609528192257704,-32.5758078405621,9.02859737332394e-233
as.factor(year)2011,-0.180905223428333,0.834514447366182,0.00616993493237243,0.00611006315920269,-29.6077501516268,1.18760457192405e-192
as.factor(year)2012,-0.199928541113815,0.818789260756104,0.0062109669628782,0.00615157380099486,-32.5003889381092,1.0528786829265e-231
as.factor(year)2013,-0.192248429273136,0.825101863571895,0.00626256099848668,0.00619859937796943,-31.0148176306425,3.40316186293219e-211
as.factor(year)2014,-0.220312600352856,0.802267969509636,0.00638187276305679,0.00631977162821731,-34.860848352364,2.91620733497709e-266
as.factor(year)2015,-0.170880484763573,0.842922309510865,0.006282165264195,0.00621607062084398,-27.4901131577511,2.30487866880047e-166
as.factor(year)2016,-0.196204722730444,0.82184396731371,0.00638680122391114,0.0063259911499433,-31.0156492603065,3.3164170981038e-211
as.factor(region)NORTHEAST,-0.0659095914700371,0.936215502332855,0.00311158733452665,0.00302664760088566,-21.7764339167701,3.88133909009486e-105
as.factor(region)SOUTH,0.0169756552326444,1.01712056046041,0.00321272264293,0.0031255317593678,5.43128547062919,5.59495481700337e-08
as.factor(region)WEST,0.0101497877928306,1.01020147160085,0.00485597587118569,0.00477595174485473,2.12518642043762,0.0335710606889851
get(pollutants_i):as.factor(race_collapsed)Hispanic,-0.00378495077339795,0.996222203124218,0.00100622183074823,0.000996564582721525,-3.79799848301011,0.000145869216146285
get(pollutants_i):as.factor(race_collapsed)Others,-0.0106255629554614,0.989430688926337,0.00109989712047368,0.00109020881860638,-9.74635572022259,1.91209353460114e-22
get(pollutants_i):as.factor(race_collapsed)White,-0.00384225471685745,0.996165117299054,0.000589588354848635,0.000584112368179752,-6.57793761298178,4.77018282143857e-11
