rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.00332352531391582,1.00332905434777,0.000839769619609006,0.00082788689033228,4.01446786116144,5.95800609789679e-05
as.factor(race_collapsed)Hispanic,,,0,0,,
as.factor(race_collapsed)Others,,,0,0,,
as.factor(race_collapsed)White,,,0,0,,
mean_bmi,-0.00248629847100415,0.997516789809047,0.00105326569678594,0.00103794086437355,-2.39541437893455,0.0166015911256453
smoke_rate,0.107519268272877,1.11351231599899,0.0137674253203372,0.0135368955585304,7.94268285575434,1.97854366205879e-15
hispanic,-0.10107997059065,0.903860747717699,0.00662870960420428,0.00657533848963952,-15.3725881564755,2.49980211213158e-53
pct_blk,0.0157462598681477,1.01587088548796,0.00542200214865396,0.00532510162626517,2.95698767333977,0.00310660537011344
medhouseholdincome,6.06809733976876e-07,1.00000060680992,9.19876262598584e-08,8.99561203477655e-08,6.74561921557957,1.5237576169656e-11
medianhousevalue,-3.32343938121771e-07,0.999999667656117,1.28274913126406e-08,1.26500005693009e-08,-26.2722468905105,3.98169550043905e-152
poverty,-0.252373242930739,0.776954691097366,0.0176785030940137,0.0173422885757648,-14.5524762679489,5.63265922269119e-48
education,-0.0875997813733327,0.916127454634525,0.00998505724709342,0.00978323040983209,-8.95407525977263,3.4259507767158e-19
popdensity,-1.19207524218904e-06,0.999998807925468,1.30411041686744e-07,1.28080850346712e-07,-9.30720899308612,1.31235484082781e-20
pct_owner_occ,-0.0201267009898191,0.980074489031929,0.00832498773206506,0.0081326808683558,-2.47479291461343,0.0133313450702725
summer_tmmx,-0.00131817857024222,0.998682689845512,0.000511476256753104,0.000503936354524616,-2.61576399163683,0.00890280701659792
winter_tmmx,0.00321073222352837,1.00321589214513,0.000266781686431225,0.000261865302567443,12.2610066780476,1.46666426359498e-34
summer_rmax,-0.0018439973686702,0.998157701749927,0.000163196420001831,0.000161194926383863,-11.4395496808564,2.65258746306927e-30
winter_rmax,0.00112260588454748,1.00112323624239,0.000149098871126921,0.000147622960841681,7.60454795207245,2.8590145096938e-14
as.factor(year)2002,-0.0378796990579677,0.962828763131518,0.00611248843398409,0.00609828291476119,-6.21153521203125,5.24694299218925e-10
as.factor(year)2003,-0.0458861398666611,0.955150709586753,0.00588949099956671,0.00586248143680395,-7.82708488910403,4.99311966745628e-15
as.factor(year)2004,-0.111117320343802,0.894833760566081,0.00590296644240304,0.0058674281242595,-18.9379942950431,5.54703119406877e-80
as.factor(year)2005,-0.100643303118664,0.904255520491373,0.00581282773069277,0.0057738954140636,-17.430745779275,4.82130897088993e-68
as.factor(year)2006,-0.144380347864497,0.865558472127005,0.00594956476433323,0.00590486270287657,-24.451093129424,4.89944866087772e-132
as.factor(year)2007,-0.164426284351989,0.848380293542447,0.00607057757654115,0.0060189233422946,-27.3182220475505,2.57705304161263e-164
as.factor(year)2008,-0.151394272714518,0.859508750996281,0.00607408514109062,0.00601958073874309,-25.150301870713,1.40249086771106e-139
as.factor(year)2009,-0.212408256252729,0.808634500077662,0.00624219521097125,0.00618488669769021,-34.3431119493352,1.78469212407312e-258
as.factor(year)2010,-0.199134373391531,0.81943977503288,0.00622364980727078,0.00616384088273753,-32.306864693608,5.60246245792997e-229
as.factor(year)2011,-0.180881159935271,0.834534528940412,0.00625508534269776,0.0061928771513269,-29.2079360716069,1.53763731116941e-187
as.factor(year)2012,-0.200275394195575,0.81850531042507,0.00630169989749237,0.00623926505832707,-32.0991963513848,4.52418420710224e-226
as.factor(year)2013,-0.194366851896879,0.82335579922131,0.00635254022462807,0.00628600594202321,-30.9205644553241,6.32152428919978e-210
as.factor(year)2014,-0.223948068000429,0.799356645480449,0.00641754015272147,0.00635547813844983,-35.2370133484642,5.42435104627653e-272
as.factor(year)2015,-0.171985018555015,0.84199178732765,0.00643401082994855,0.00636296186342612,-27.0290820920323,6.72943851798151e-161
as.factor(year)2016,-0.196358350190496,0.821717719210288,0.00659167964696643,0.00652246895905522,-30.1049114105617,4.17873242428022e-199
as.factor(region)NORTHEAST,-0.0639074707055596,0.938091796487086,0.00322468234265716,0.00314052806691884,-20.3492754542579,4.71187365031312e-92
as.factor(region)SOUTH,0.0187331505019104,1.01890971679006,0.00327117518071003,0.00318486380289476,5.88193142980984,4.0550634584408e-09
as.factor(region)WEST,0.0114267797038026,1.01149231473123,0.00486426294791865,0.00478510803409117,2.3879878202108,0.0169409032113431
get(pollutants_i):as.factor(race_collapsed)Hispanic,-0.000137186600210075,0.999862822809441,0.00162465881220385,0.00160098465079858,-0.0856888916090771,0.931713732859525
get(pollutants_i):as.factor(race_collapsed)Others,-0.00704591371751286,0.992978850536145,0.00159122625977271,0.00156701776597747,-4.49638406819068,6.91188379264024e-06
get(pollutants_i):as.factor(race_collapsed)White,-0.00136836962294998,0.998632566167878,0.000847117654667787,0.000835445494341385,-1.63789215720018,0.101444192303776
