rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),-0.0013954768181079,0.99860549640691,0.000291963631335897,0.000290719825217941,-4.80007449461613,1.58606621854736e-06
as.factor(race_collapsed)Hispanic,,,0,0,,
as.factor(race_collapsed)Others,,,0,0,,
as.factor(race_collapsed)White,,,0,0,,
mean_bmi,0.00162738365810852,1.00162870856551,0.000631197771669728,0.000626220158196226,2.59874045383026,0.00935664888017686
smoke_rate,0.0698804630759777,1.07237998458751,0.00814643691161972,0.00807395800406674,8.65504416059384,4.92720852458325e-18
hispanic,-0.0630723691899545,0.938875525569234,0.00427748842849148,0.00428095695586621,-14.7332406843115,3.94333380022049e-49
pct_blk,0.00495467062493795,1.00496696530241,0.00348334594037484,0.00346216246520396,1.4310913120728,0.152404046910594
medhouseholdincome,6.7383176317571e-07,1.00000067383199,4.87277550753415e-08,4.78649833307381e-08,14.077760322607,5.20328418362276e-45
medianhousevalue,-2.52774012517815e-07,0.999999747226019,6.82106463748742e-09,6.7296713411546e-09,-37.5611229291394,1.57629844302052e-308
poverty,-0.178349070534892,0.836650322534211,0.0113365925009668,0.0112168448658846,-15.9001102954835,6.32532922782646e-57
education,0.0446684481126088,1.04568110488432,0.00595961100911715,0.00589735396060805,7.57432034959679,3.61012582441293e-14
popdensity,-1.02888165777275e-06,0.999998971118871,7.26993267792349e-08,7.17197465579134e-08,-14.345862989657,1.1308476887855e-46
pct_owner_occ,-0.0162743823797527,0.983857329901193,0.004805819901269,0.00473703840456445,-3.43556057389598,0.000591329252855292
summer_tmmx,0.00060480534645514,1.00060498827809,0.000328544759729019,0.000325834081325145,1.85617583033499,0.0634284999596162
winter_tmmx,-5.43014197387055e-07,0.99999945698595,0.000170102452150788,0.000168770750416396,-0.0032174662733164,0.997432837764866
summer_rmax,-0.00116500440580689,0.998835673948372,9.32663974551471e-05,9.27653183494636e-05,-12.558620253079,3.56495154611265e-36
winter_rmax,0.000902538894336594,1.00090294630512,9.4781806587675e-05,9.43161847449078e-05,9.56928969060449,1.07642654200516e-21
as.factor(year)2002,-0.0194303198689806,0.980757232100207,0.00362832761579347,0.00361075154652029,-5.38123978308775,7.3974579109479e-08
as.factor(year)2003,-0.0533989373260767,0.948001743753788,0.00350363261158673,0.00348437301785366,-15.3252642735048,5.18432646721619e-53
as.factor(year)2004,-0.112180625343173,0.893882785032984,0.00351334932275553,0.00349478917528808,-32.0993970498737,4.49510377528513e-226
as.factor(year)2005,-0.110509647694673,0.895377691817228,0.00343528722915042,0.00341576473252158,-32.3528276530606,1.26593608415006e-229
as.factor(year)2006,-0.149800945771559,0.860879321040088,0.00350476592261892,0.00348342806096137,-43.0038867316858,0
as.factor(year)2007,-0.165715052050459,0.847287632668366,0.00357163089943275,0.00354843943760736,-46.7008258036376,0
as.factor(year)2008,-0.151303563905591,0.85958671954751,0.00353954067173196,0.00351579426543603,-43.0353861695108,0
as.factor(year)2009,-0.205331322630154,0.814377450028782,0.00361774081374554,0.00359445292431968,-57.1244990415383,0
as.factor(year)2010,-0.194590193080995,0.823171930495656,0.00359211612989067,0.0035665775851529,-54.5593607415254,0
as.factor(year)2011,-0.180544039256481,0.834815915215182,0.00361053413921245,0.00358444408305533,-50.3687699049243,0
as.factor(year)2012,-0.18684827644284,0.829569592086949,0.00358838988366929,0.00356311080417611,-52.4396480243741,0
as.factor(year)2013,-0.171824703374228,0.842126782213832,0.00360016092110591,0.00357404539458432,-48.0756913817018,0
as.factor(year)2014,-0.192532287559206,0.824867684809432,0.00366544873322759,0.00364048673283307,-52.8864137376968,0
as.factor(year)2015,-0.150005238557489,0.860703467568652,0.00361994871845686,0.00359339393875032,-41.7447241004854,0
as.factor(year)2016,-0.165405415524834,0.847550024488099,0.00365209547231037,0.00362742687482793,-45.5985527020941,0
as.factor(region)NORTHEAST,0.00796296749269964,1.00799475623991,0.00160410750969763,0.00158306027460017,5.03011011043835,4.90198239365978e-07
as.factor(region)SOUTH,0.0326701183750724,1.03320964614025,0.0018469366171532,0.00182913241104693,17.8609914611776,2.37384907427642e-71
as.factor(region)WEST,0.0351063138154537,1.03572981533504,0.00302352290326279,0.00300361357543324,11.6880260838447,1.46757885402693e-31
get(pollutants_i):as.factor(race_collapsed)Hispanic,0.00150897006118801,1.00151010912938,0.000511509424843616,0.000507402807877238,2.97390956014003,0.00294031723692666
get(pollutants_i):as.factor(race_collapsed)Others,0.00119107660007441,1.00119178621351,0.000576383477018656,0.000570744963266957,2.08688061521674,0.0368989275756652
get(pollutants_i):as.factor(race_collapsed)White,0.00198063299923035,1.00198259574838,0.000295957026195778,0.00029474083008066,6.71991389414328,1.81831979457841e-11
