rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.00388389322603127,1.00389144531333,0.000626033880590105,0.000620564202567913,6.25864851688126,3.8832797345583e-10
as.factor(race_collapsed)Hispanic,,,0,0,,
as.factor(race_collapsed)Others,,,0,0,,
as.factor(race_collapsed)White,,,0,0,,
mean_bmi,0.00122840702595443,1.0012291618269,0.000634905533034533,0.000629946635322336,1.95001760002396,0.0511740213427651
smoke_rate,0.0756838329359732,1.07862149564975,0.00820911795423169,0.00813634056774312,9.30194997441787,1.37893148850007e-20
hispanic,-0.0636145173574432,0.938366653877938,0.00425088236045093,0.00425533108488321,-14.9493696468013,1.57230410731881e-50
pct_blk,0.00234665892300442,1.00234941448209,0.00349179997101429,0.00347035064960665,0.676202251570862,0.498912243232254
medhouseholdincome,6.186200178414e-07,1.00000061862021,4.92149126689556e-08,4.834365679935e-08,12.7963017032199,1.71946939412828e-37
medianhousevalue,-2.51117438407067e-07,0.999999748882593,6.82456401299411e-09,6.73329677781776e-09,-37.2948715455927,1.98730932109829e-304
poverty,-0.172594876553491,0.841478448449318,0.011357815301836,0.0112404513872187,-15.3547994300074,3.2892525582881e-53
education,0.0385795681930041,1.0393334229504,0.00603986731006916,0.00597636933036761,6.4553520808981,1.07967592869269e-10
popdensity,-1.08264010369051e-06,0.999998917360482,7.2347285442809e-08,7.13481595062592e-08,-15.1740438882034,5.25377199492205e-52
pct_owner_occ,-0.0095542920819465,0.990491205153396,0.0048873088596422,0.0048161615870464,-1.9837980743096,0.0472783549082753
summer_tmmx,0.0005846128908734,1.0005847838103,0.000308878332205772,0.000306465183626047,1.90759969519654,0.0564429745767049
winter_tmmx,-2.0612768437529e-05,0.999979387444004,0.000159450364397326,0.00015831416102528,-0.130201671815306,0.896406871923661
summer_rmax,-0.00132802733088003,0.998672854107181,9.60119559244994e-05,9.54565056257333e-05,-13.9123815833671,5.32754993182205e-44
winter_rmax,0.000927340781766233,1.00092777089517,9.04695064971403e-05,9.00624774416646e-05,10.2966386014297,7.29665356295214e-25
as.factor(year)2002,-0.0180169629586426,0.982144372142632,0.00362848384462334,0.00361057935921887,-4.9900476256366,6.03644077647436e-07
as.factor(year)2003,-0.0523916309980018,0.948957153023414,0.00350004221560655,0.00348055240465471,-15.0526769624086,3.31542211707065e-51
as.factor(year)2004,-0.110699806976194,0.895207443626312,0.00351218345895367,0.00349317643890403,-31.6902993342431,2.11359283169934e-220
as.factor(year)2005,-0.10938977344698,0.896380963900686,0.00343850021500623,0.00341878307655407,-31.996699117055,1.21201607312653e-224
as.factor(year)2006,-0.147171659274196,0.863145797717312,0.00352275888443888,0.00350070539123326,-42.040572635091,0
as.factor(year)2007,-0.163654917078408,0.849034958797652,0.00358196285897005,0.00355832252704091,-45.9921538406759,0
as.factor(year)2008,-0.147254927305607,0.863073928258172,0.0035772520225163,0.00355240914427736,-41.4521304627375,0
as.factor(year)2009,-0.200054199942848,0.818686379120501,0.00367396734034315,0.00364895712678282,-54.8250343843392,0
as.factor(year)2010,-0.18924094373035,0.827587080752057,0.00365432417462002,0.0036270405588526,-52.1750282798647,0
as.factor(year)2011,-0.175052750108491,0.839412740488193,0.00367276059117903,0.00364404639665582,-48.0380135305464,0
as.factor(year)2012,-0.179687623222891,0.835531171184693,0.00371071116714846,0.00368244070372612,-48.7957954193455,0
as.factor(year)2013,-0.164170983156142,0.848596913696436,0.00373055290474462,0.00370137775304492,-44.3540200729546,0
as.factor(year)2014,-0.185969642280129,0.830298800577736,0.00375828966265955,0.00373111045350076,-49.8429742559995,0
as.factor(year)2015,-0.14183455274372,0.867764813917554,0.00376901673280709,0.003738197191771,-37.9419665329438,1.11253719099906e-308
as.factor(year)2016,-0.1557888677758,0.855739845556211,0.00386621747679175,0.00383608132685903,-40.6114611504756,0
as.factor(region)NORTHEAST,0.0109152648152636,1.01097505365726,0.00164795580255704,0.00162619043805441,6.71216885786314,1.91752606083076e-11
as.factor(region)SOUTH,0.0351117439696543,1.03573543952292,0.0018806374366854,0.0018624925567466,18.8520184107406,2.82841846790569e-79
as.factor(region)WEST,0.038965042735877,1.03973413675403,0.00292916843538499,0.00291307320277979,13.375922959538,8.36093651853543e-41
get(pollutants_i):as.factor(race_collapsed)Hispanic,-0.00147413402157884,0.998526951980275,0.00139551950765959,0.00137792748775344,-1.06981973629269,0.2847004568138
get(pollutants_i):as.factor(race_collapsed)Others,-0.00436557215715125,0.995643943101427,0.00129350806017523,0.00128274219724413,-3.4033121905012,0.000665741646704145
get(pollutants_i):as.factor(race_collapsed)White,-0.00205340572268842,0.997948701072561,0.000625139152345042,0.000620104259270617,-3.31138787065209,0.000928344359806215
