rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.0015727100501117,1.00157394740715,0.00024691644841559,0.000242920783992418,6.47416834518693,9.53355647971016e-11
as.factor(above_median_popdensity)TRUE,0.0253774546597733,1.02570220354296,0.00918146005458245,0.00905525840287163,2.80251026869929,0.00507066021571382
mean_bmi,0.0023700391861001,1.00237284994907,0.00064808149381039,0.000643427315256828,3.68346063324042,0.000230088831511778
smoke_rate,0.0680076081218434,1.07037345197944,0.00828978454045923,0.00821791619984735,8.27552952208331,1.27886006359646e-16
hispanic,-0.070267377148423,0.932144552430873,0.00439023718990784,0.00439483372734102,-15.9886315405467,1.53362998975568e-57
pct_blk,-1.93576163906191e-05,0.999980642570967,0.00362690152487737,0.00360397629952362,-0.00537118304390011,0.995714436582173
medhouseholdincome,6.39585849247686e-07,1.00000063958605,5.14619749793922e-08,5.05753453156657e-08,12.6461983651464,1.17420436726383e-36
medianhousevalue,-2.47234219883961e-07,0.999999752765811,7.0703913412679e-09,6.97951599419808e-09,-35.4228316246401,7.60234780123589e-275
poverty,-0.168902510890331,0.844591237820423,0.0115761821310749,0.0114609751286356,-14.7371850121481,3.71969147430718e-49
education,0.0498366156242468,1.05109934913499,0.00608012926375545,0.00601192100532942,8.28963247854852,1.13598926248262e-16
popdensity,-1.01646398993004e-06,0.999998983536527,7.38281215691568e-08,7.29027846260017e-08,-13.942732025184,3.48346225325069e-44
pct_owner_occ,-0.00800597284919369,0.992025989597733,0.00515551464003479,0.00508264570893228,-1.57515855081615,0.115219851937619
summer_tmmx,0.00090154842955932,1.0009019549465,0.00032150391013881,0.000318632317002116,2.82943186065252,0.00466307285205096
winter_tmmx,-0.000185519164977174,0.999814498042639,0.000168215165331603,0.000166907420819681,-1.11150938685704,0.266349151855426
summer_rmax,-0.00104999060005185,0.998950560447197,9.67687306133551e-05,9.62108733347289e-05,-10.9134296744071,9.94327811827769e-28
winter_rmax,0.00106709805937933,1.00106766761108,9.70200406230135e-05,9.64082139464755e-05,11.0685388277369,1.78283787782958e-28
as.factor(year)2001,0.0702201664306953,1.07274433754827,0.00383918515475063,0.00381496137218524,18.4065209526545,1.16468271889089e-75
as.factor(year)2002,0.0583563919946693,1.06009273695937,0.00340157899264079,0.00338042737385041,17.2630219616875,8.93120766142667e-67
as.factor(year)2003,0.0262459136116642,1.02659337071864,0.00323365059757936,0.00321336870779539,8.16772552368287,3.1425790087651e-16
as.factor(year)2004,-0.0289690208959293,0.971446558544495,0.00310015918412628,0.00308238477289568,-9.39824941735451,5.54783860661633e-21
as.factor(year)2005,-0.0263474504836084,0.973996615215619,0.00297013760101145,0.00295316022256505,-8.92178158241736,4.58846457906168e-19
as.factor(year)2006,-0.0631243272032413,0.938826744729491,0.0028425721537551,0.0028295616880327,-22.3088711832006,3.03047213217557e-110
as.factor(year)2007,-0.0766789452458254,0.926187162669528,0.00279071102992467,0.00277829748255716,-27.599256640887,1.13580111992693e-167
as.factor(year)2008,-0.0617790938910897,0.940090535597042,0.00275032379758717,0.00273648362345255,-22.576087560555,7.44554321090305e-113
as.factor(year)2009,-0.11353992376355,0.892668557011362,0.00276473054014825,0.00275065732388455,-41.2773786024375,0
as.factor(year)2010,-0.105190188175399,0.900153307790079,0.00281458870062122,0.00279775277858831,-37.5980997965359,1.2279839306854e-308
as.factor(year)2011,-0.0856633981374668,0.917903147135349,0.00286192743151753,0.00284151051571175,-30.1471339499898,1.16954211001784e-199
as.factor(year)2012,-0.0929459502548525,0.911242751403605,0.00270799688598363,0.00268557228010643,-34.6093646197335,1.82665403815878e-262
as.factor(year)2013,-0.0620920311881276,0.939796392232476,0.0027273062851549,0.00270053531408851,-22.9924899941866,5.54178188730384e-117
as.factor(year)2014,-0.0766571032645806,0.926207392653095,0.00285264978151286,0.00282187047952953,-27.1653514293686,1.66786059052475e-162
as.factor(year)2015,-0.0253626831385677,0.974956247706282,0.0028638914749994,0.00282966207339726,-8.96314912547759,3.15535409017213e-19
as.factor(year)2016,,,0,0,,
as.factor(region)NORTHEAST,0.0104163133431102,1.01047075198742,0.0016526039504433,0.00163069950915741,6.38763505147088,1.68470806065807e-10
as.factor(region)SOUTH,0.0340216326537767,1.0346069877808,0.00192391318538594,0.00190399779498643,17.868525238507,2.07405265751164e-71
as.factor(region)WEST,0.0389118714627752,1.03967885423603,0.00308402028285808,0.00306326373732076,12.702749354781,5.70882900240921e-37
get(pollutants_i):as.factor(above_median_popdensity)TRUE,-0.000610067730188646,0.999390118323292,0.000284003548393249,0.000279882292904018,-2.17972964226737,0.0292775079473834
