rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.00133203739069381,1.00133292494654,8.50970423719434e-05,8.40369184851379e-05,15.8506215447367,1.39197289558701e-56
as.factor(dual)2,,,0,0,,
mean_bmi,0.00216788174840042,1.00217023330303,0.000646020714981427,0.00064147097802687,3.37954766881069,0.000726052153322189
smoke_rate,0.0703392275806627,1.07287206732639,0.0082919563007396,0.00822046445997417,8.55660016817148,1.16244835423165e-17
hispanic,-0.0722430747823069,0.930304734704421,0.00440092419917065,0.00440588395129472,-16.396953614967,2.01071282591043e-60
pct_blk,-0.00309598249850264,0.996908805113251,0.00363841318560425,0.00361534264477114,-0.856345525915879,0.391806686411812
medhouseholdincome,6.18244378249779e-07,1.00000061824457,5.12214598616603e-08,5.03494488007344e-08,12.2790694431746,1.17340130651396e-34
medianhousevalue,-2.51806733693417e-07,0.999999748193298,7.05013598974472e-09,6.95805535157574e-09,-36.1892398048246,8.98959300213969e-287
poverty,-0.16912214944643,0.844405753390966,0.0115680506529507,0.0114540126825,-14.7653188567552,2.45160085193934e-49
education,0.0476322872968944,1.04878493286865,0.00604807722804533,0.00598121414598524,7.96364853929641,1.67039276281559e-15
popdensity,-1.18000814189804e-06,0.999998819992554,7.54608425271546e-08,7.44316250583392e-08,-15.8535856361211,1.32783458234363e-56
pct_owner_occ,-0.0113191884091588,0.988744632576408,0.00501617194223627,0.00494421328628052,-2.28938109133922,0.0220572197982736
summer_tmmx,0.00116136308242905,1.00116203772568,0.000310797634540281,0.000308326841540914,3.76666227508753,0.000165444562543118
winter_tmmx,-0.000204514221900217,0.999795506689708,0.000162956576614919,0.000161884839838897,-1.2633315269283,0.206470060618317
summer_rmax,-0.00101101526777048,0.998989495635974,9.60668370645743e-05,9.55040099572497e-05,-10.5861028057674,3.45685821326772e-26
winter_rmax,0.00105055482080795,1.00105110684682,9.29908791401754e-05,9.24380299525138e-05,11.3649633310839,6.24907018667494e-30
as.factor(year)2001,0.0644024587067816,1.0665215432803,0.00390902112543855,0.00388138818436121,16.5926353272961,7.87861501431512e-62
as.factor(year)2002,0.0531757156845891,1.05461494122554,0.00345645684720104,0.0034327544757905,15.4906842477698,4.00999831513161e-54
as.factor(year)2003,0.0203601257860748,1.02056880699948,0.00331589756273609,0.00329327429230204,6.18233526240622,6.31602085772965e-10
as.factor(year)2004,-0.0341077773565916,0.966467335729406,0.00315924433238218,0.00313976121447061,-10.8631755814407,1.72639271681497e-27
as.factor(year)2005,-0.0304846667178304,0.969975304858233,0.0030179127404008,0.00299943261144431,-10.1634777862708,2.88594605673673e-24
as.factor(year)2006,-0.0660625312795534,0.936072328661018,0.00286509234187848,0.00285135741240643,-23.1688005832279,9.39815687416079e-119
as.factor(year)2007,-0.078652110758444,0.924361443916909,0.00280048729350412,0.00278762997605,-28.2146882599864,3.86201150173019e-175
as.factor(year)2008,-0.064194251495865,0.937822808352469,0.00276664269166661,0.00275225318197097,-23.3242537119691,2.5160511084589e-120
as.factor(year)2009,-0.116465774190167,0.890060559498821,0.00277160730954913,0.00275747663425889,-42.2363594103379,0
as.factor(year)2010,-0.106151565561466,0.899288336604466,0.00281894173235379,0.00280189227348117,-37.8856698261205,1.11253914485338e-308
as.factor(year)2011,-0.0873497487276769,0.916356545044612,0.00287324579948551,0.0028529015631893,-30.6178628294582,7.08038441017046e-206
as.factor(year)2012,-0.094017793283301,0.910266565465792,0.00271409126052995,0.00269156860834868,-34.9304836561392,2.56230293799012e-267
as.factor(year)2013,-0.0634880772353818,0.938485308573392,0.00273046506915412,0.00270368834409679,-23.4820249804314,6.22641527658697e-122
as.factor(year)2014,-0.0776815695022171,0.925259010326056,0.00285467849440519,0.00282390042026706,-27.5086079327368,1.38508673941737e-166
as.factor(year)2015,-0.0263465373318655,0.973997504622732,0.00286733957759286,0.00283311286959769,-9.29950148283602,1.4110571289786e-20
as.factor(year)2016,,,0,0,,
as.factor(region)NORTHEAST,0.0111347655418489,1.01119698777255,0.00165501937093198,0.00163280565115709,6.81940654355173,9.14173607990646e-12
as.factor(region)SOUTH,0.03666432348069,1.03734475011323,0.00196509910595961,0.00194448964616255,18.8554994638552,2.64826090948779e-79
as.factor(region)WEST,0.0429986152031237,1.04393644920968,0.00302990955943348,0.00301169424270105,14.2772179836424,3.03476519889703e-46
get(pollutants_i):as.factor(dual)2,-0.00133300890444753,0.99866787915728,0.000105923142815085,0.000104253175967294,-12.7862666252558,1.95649087898147e-37
