rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.00141736380608628,1.0014183687409,0.000287273603045985,0.000284178401763582,4.98758455002303,6.11388656402904e-07
as.factor(dual)2,,,0,0,,
mean_bmi,0.00118919245798444,1.00118989982771,0.000646991375885852,0.000642395584491136,1.85118404717311,0.06414307998352
smoke_rate,0.0742494019539293,1.07707539670971,0.00835248074224078,0.00828075848716888,8.96649770295554,3.06092315775089e-19
hispanic,-0.0634271213648454,0.938542516505924,0.00434378858133714,0.00435109450551867,-14.5772796440983,3.91821520831774e-48
pct_blk,0.00432932626191301,1.00433871133365,0.00355517922538721,0.00353338646733385,1.22526259211598,0.220476297953696
medhouseholdincome,6.7365074179679e-07,1.00000067365097,5.07127973488962e-08,4.98424029281384e-08,13.5156152637352,1.26493717028212e-41
medianhousevalue,-2.49651806121427e-07,0.999999750348225,7.04729407334896e-09,6.95540683343388e-09,-35.8931996502891,3.90005926060819e-282
poverty,-0.168317926194645,0.845085117275285,0.0116070023030845,0.0114899192027099,-14.6491827509933,1.36345802792655e-48
education,0.0386912285943735,1.03944948181704,0.00615904154647183,0.00608970730400429,6.3535448688859,2.10408776678215e-10
popdensity,-1.02645800937025e-06,0.999998973542517,7.36839542447421e-08,7.27583640871913e-08,-14.1077664712222,3.40182542982965e-45
pct_owner_occ,-0.0118524040154529,0.988217559042084,0.00500440176165536,0.00493025396434028,-2.40401490494797,0.0162161121024792
summer_tmmx,0.00047569343089967,1.00047580659096,0.000314911413308191,0.000312273154931833,1.52332476675272,0.127677473847826
winter_tmmx,6.97339070712776e-05,1.00006973633854,0.000163466977008868,0.00016229196520574,0.429681820556395,0.667427109403057
summer_rmax,-0.00138708431842407,0.998613877238391,9.8290752856566e-05,9.76982058613786e-05,-14.1976437150971,9.47448573231637e-46
winter_rmax,0.00100002535063022,1.0010005255427,9.26339075527363e-05,9.22136177425656e-05,10.8446602043313,2.11420012145425e-27
as.factor(year)2001,0.0672041107385867,1.06951375514,0.0039886596946989,0.003960549816587,16.9683791015915,1.40764051385721e-64
as.factor(year)2002,0.0543893577412134,1.05589564327149,0.00356038495227421,0.0035355805406305,15.3834305614529,2.11441409370667e-53
as.factor(year)2003,0.0227712917859714,1.02303253684467,0.00339209314652142,0.00336775974758115,6.76155471076183,1.36518744375267e-11
as.factor(year)2004,-0.0337526164196194,0.966810648135885,0.00326258401429353,0.0032402579840136,-10.4166447814168,2.08167730948312e-25
as.factor(year)2005,-0.0307297425947077,0.969737616436884,0.003164932783918,0.00314306958666283,-9.77698448838199,1.41359455125778e-22
as.factor(year)2006,-0.0676411648996524,0.934595779184113,0.00299130290196351,0.00297421023431102,-22.7425634272023,1.70003914699508e-114
as.factor(year)2007,-0.0828972214652268,0.920445744423711,0.00297622256562254,0.00295885541230908,-28.016651682393,1.01856003312825e-172
as.factor(year)2008,-0.066021042877261,0.936111165612001,0.00285762745288735,0.00284059523005789,-23.2419748433906,1.71486573067015e-119
as.factor(year)2009,-0.118045952345187,0.88865521588512,0.00282296629143979,0.00280681370341494,-42.056924619388,0
as.factor(year)2010,-0.106151559931406,0.899288341667512,0.00284602220716515,0.00282816181055129,-37.5337647002292,2.59275626942855e-308
as.factor(year)2011,-0.0859482061842866,0.917641758157453,0.00287707898491292,0.00285689419811435,-30.0844904375582,7.73107633975684e-199
as.factor(year)2012,-0.0942711191370471,0.91003600061621,0.00272888844222058,0.00270595487181677,-34.8383929528558,6.38205000541517e-266
as.factor(year)2013,-0.063594355692465,0.938385573102762,0.00273860306882209,0.00271135073554934,-23.4548613938655,1.17922335914662e-121
as.factor(year)2014,-0.0795732472793667,0.923510372868874,0.00288359523741895,0.00285192739671484,-27.9015683817996,2.55368429776279e-171
as.factor(year)2015,-0.0256148962543052,0.974710381959927,0.00286820099088478,0.00283392385323167,-9.0386677909836,1.5859274100535e-19
as.factor(year)2016,,,0,0,,
as.factor(region)NORTHEAST,0.0120533740408723,1.0121263086954,0.00168938713578759,0.00166654311139067,7.23256059713577,4.73971035495398e-13
as.factor(region)SOUTH,0.0342681787239366,1.03486209751465,0.00192885693383442,0.00190957320486662,17.9454647963235,5.20730827709993e-72
as.factor(region)WEST,0.0373825368493916,1.03809005259178,0.0029967074645176,0.00297941805198882,12.5469256737698,4.13244825079632e-36
get(pollutants_i):as.factor(dual)2,0.0015209204981917,1.00152207768436,0.000370784583040181,0.000363754135958514,4.18117719592104,2.90003746869351e-05
