rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.000328962842863919,1.00032901695707,0.000166960366322692,0.000165901816229006,1.9828766817708,0.0473812059071856
as.factor(sex)2,,,0,0,,
mean_bmi,0.00164729588880363,1.001648653426,0.00064363881077207,0.00063901937814542,2.57784966331453,0.00994172404216479
smoke_rate,0.0671757994884152,1.06948347629713,0.00828590014211434,0.00821361211359333,8.17859408983301,2.87174715932816e-16
hispanic,-0.0635246822057481,0.938450955975224,0.00436383303780793,0.00437054048001907,-14.5347428987709,7.29870487049269e-48
pct_blk,0.00602147858391717,1.00603964412893,0.00355617917531446,0.0035347280494272,1.70351962010004,0.0884708694793558
medhouseholdincome,7.28287634483019e-07,1.0000007282879,5.02073419339835e-08,4.93462938179937e-08,14.7587098874983,2.70403905809045e-49
medianhousevalue,-2.51556218873308e-07,0.999999748443813,7.0418421221521e-09,6.95007155212807e-09,-36.1947667713267,7.3586986648984e-287
poverty,-0.174118350400708,0.84019745406859,0.0115816711008424,0.0114624007886892,-15.1903910542479,4.09469600489816e-52
education,0.0460098131615197,1.04708468611767,0.0060734456519892,0.00600538590338648,7.66142491119087,1.83881377730492e-14
popdensity,-9.51326152141492e-07,0.9999990486743,7.40269696268567e-08,7.31383563896018e-08,-13.0072126186957,1.11329312326071e-38
pct_owner_occ,-0.0189262828388431,0.981251694666014,0.0049179969468241,0.00484630435299179,-3.90530215609742,9.41077243752684e-05
summer_tmmx,0.000425030787943481,1.00042512112633,0.000335379456963346,0.000332446852348959,1.27849244154473,0.201075848155068
winter_tmmx,0.000179668654831944,1.00017968479621,0.000174265892077355,0.000172862746722827,1.03937174572397,0.298631879192566
summer_rmax,-0.001213884993401,0.998786851466965,9.54156851874894e-05,9.48734954708091e-05,-12.7947746351824,1.75360441836925e-37
winter_rmax,0.00098040172615508,1.00098088247702,9.69181348528365e-05,9.64159895014341e-05,10.1684557844059,2.74221497854915e-24
as.factor(year)2001,0.0756611978083019,1.0785970811908,0.00377628779663311,0.00375449858145687,20.1521444653051,2.57705073136591e-90
as.factor(year)2002,0.0613268452176301,1.06324637439388,0.00339381034912152,0.00337415607161617,18.1754619276564,8.07457637109491e-74
as.factor(year)2003,0.0307529804043349,1.03123073822177,0.00318745604007289,0.00316859756469333,9.70554946674375,2.85533643819999e-22
as.factor(year)2004,-0.0262711430666623,0.974070941217217,0.00308379342733114,0.00306681407467911,-8.56626532516848,1.06895422589263e-17
as.factor(year)2005,-0.0234273940972522,0.976844896799707,0.00295894052615982,0.00294287967998946,-7.9607040194508,1.71063140549821e-15
as.factor(year)2006,-0.0615927403687394,0.940265741104253,0.00284582150005082,0.00283313215817873,-21.7401578641266,8.56038843008155e-105
as.factor(year)2007,-0.0762194578694057,0.926612831766276,0.00280137685144521,0.0027892220755259,-27.326421419863,2.05920776051152e-164
as.factor(year)2008,-0.0609344444627386,0.940884917970613,0.00275350371270649,0.00273986524286535,-22.2399421363561,1.41138168909494e-109
as.factor(year)2009,-0.113772264702068,0.892461177653331,0.00276216975292389,0.00274822516357212,-41.3984509748785,0
as.factor(year)2010,-0.102146045613595,0.902897677793943,0.0027980600512657,0.00278137544261857,-36.7250116789082,2.91354793945749e-295
as.factor(year)2011,-0.0820424765447726,0.921232827077841,0.00284490719067968,0.00282481257420033,-29.0435115214672,1.85835742416569e-185
as.factor(year)2012,-0.0922068203760841,0.911916527121186,0.00270960928809687,0.00268734170501036,-34.3115355238118,5.28090988907204e-258
as.factor(year)2013,-0.061589994489525,0.940268322963952,0.00272650419682332,0.00269978269594047,-22.812945124115,3.41105367089613e-115
as.factor(year)2014,-0.07646168692302,0.92638840639924,0.00285197301354688,0.0028212332586471,-27.102220877577,9.27045977848378e-162
as.factor(year)2015,-0.024102795767075,0.976185356877504,0.00286110145206077,0.00282685422913496,-8.52636670071618,1.51016017089603e-17
as.factor(year)2016,,,0,0,,
as.factor(region)NORTHEAST,0.00900047233989179,1.00904109838412,0.00164395013268269,0.00162195840152152,5.54913882590865,2.87080157169682e-08
as.factor(region)SOUTH,0.0310139056785551,1.0314998474921,0.00189191688960034,0.00187330320816668,16.5557318982585,1.45560538046243e-61
as.factor(region)WEST,0.0329418560504209,1.0334904462779,0.00309479018822606,0.00307338567919769,10.7184257001615,8.34109491846753e-27
get(pollutants_i):as.factor(sex)2,0.000233674141786766,1.00023370144572,0.00017711359804346,0.000176506982459091,1.32388044105238,0.185542754963052
