rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
pm25,0.0166611086389933,1.01680067896424,0.000271196549526115,0.000269599422144194,61.7994968478907,0
ox,0.00503282340815508,1.00504550933697,0.000197226525493862,0.000195875228200747,25.6940270313155,1.36310746901037e-145
mean_bmi,0.0175013399857119,1.01765538579352,0.000702816474620126,0.000696059774249041,25.1434440448646,1.66691494128934e-139
smoke_rate,0.203244017917542,1.22537144435632,0.00904648842882883,0.00897594722993975,22.6431832441718,1.62848577212435e-113
hispanic,0.0449386157936406,1.04596365228939,0.00469039556656813,0.00463511605818474,9.69525147364703,3.1585860955681e-22
pct_blk,0.126067807588827,1.1343590838296,0.00380400484742358,0.00374187896897201,33.6910436265288,7.81914636453453e-249
medhouseholdincome,7.69918300557421e-07,1.0000007699186,5.65005380740547e-08,5.62178350887744e-08,13.6952676911452,1.08360265886654e-42
medianhousevalue,1.2865462699315e-07,1.00000012865464,7.77326743850865e-09,7.71171858364717e-09,16.6830033536188,1.7423456658737e-62
poverty,-0.044734632397292,0.956251206256681,0.0125263501130617,0.0124475966773749,-3.59383691139375,0.000325843837847662
education,0.325861400764498,1.38522336466793,0.00656821880258853,0.00651451264676437,50.0208409183682,0
popdensity,7.06993489521387e-07,1.00000070699374,7.48876823680682e-08,7.57479981137541e-08,9.33349404771944,1.02437068951709e-20
pct_owner_occ,0.0232406335890761,1.02351280147547,0.00542377364950824,0.00538760645634028,4.31372146006059,1.60529177212776e-05
summer_tmmx,-0.00468649668725576,0.995324467803307,0.000342316428083879,0.00033982676262581,-13.7908405183972,2.8936865587836e-43
winter_tmmx,0.0115812193726627,1.01164854133286,0.000179046395284211,0.000177949241658346,65.0815887987772,0
summer_rmax,-0.00103144681916442,0.998969084939263,0.000109867331676438,0.000109771273080995,-9.39632738342541,5.65008426800819e-21
winter_rmax,-1.17599746464311e-05,0.999988240094502,0.000105138387200735,0.000104030143543287,-0.113043914445219,0.909995739634722
as.factor(year)2002,-0.0423955095808974,0.958490613374508,0.0029864939233367,0.00295562372357101,-14.3440145113177,1.16138291523417e-46
as.factor(year)2003,0.00707001416688233,1.00709506572052,0.00293136001602594,0.00289756807959354,2.43998207209478,0.0146879908163092
as.factor(year)2004,-0.0238830625470638,0.976399880797451,0.00300385828473795,0.00296606385867492,-8.05210665886794,8.13809374011053e-16
as.factor(year)2005,-0.00337080513896277,0.99663486964669,0.00299999190951231,0.00296187098336828,-1.13806616084589,0.255092856874471
as.factor(year)2006,-0.0615391234895929,0.940316156570407,0.00309225734668284,0.00305696834390173,-20.1307689732397,3.96789316836576e-90
as.factor(year)2007,-0.0462506041516254,0.954802654696991,0.0032618481627637,0.00322356310928338,-14.3476651716328,1.1018467271083e-46
as.factor(year)2008,-0.0842946904662494,0.919160348388501,0.0032210340485505,0.0031903840133045,-26.4214872299775,7.76180011900503e-154
as.factor(year)2009,-0.085231561543777,0.918299616902661,0.00335669017120853,0.00331744598918061,-25.6919213822163,1.43900095684313e-145
as.factor(year)2010,-0.00379533398307035,0.996211859193904,0.00342137417213681,0.00338339143406461,-1.12175432758333,0.261966910271062
as.factor(year)2011,-0.0360603172423012,0.964582110795535,0.00339530426197704,0.00336364879099319,-10.720595247298,8.14772702607151e-27
as.factor(year)2012,-0.094971341865722,0.909398995773329,0.00338768154957523,0.00335075986449473,-28.3432253298888,1.01444835544808e-176
as.factor(year)2013,-0.120227443504438,0.886718735363574,0.00369066163101464,0.00366209012444959,-32.8302798180064,2.17793509697952e-236
as.factor(year)2014,-0.0977333966895389,0.906890651577041,0.00391760503179372,0.00389469692856127,-25.0939671256121,5.78769594451636e-139
as.factor(year)2015,-0.0641519735136562,0.937862458446633,0.00395809802648779,0.00394786031386598,-16.2498083552593,2.24063735385804e-59
as.factor(year)2016,-0.12189946833041,0.885237358419025,0.00383347416578663,0.00382270262754093,-31.888294802786,3.87983121644469e-223
as.factor(region)NORTHEAST,0.0562564195165674,1.05786890719541,0.0018677334794841,0.00187012144714597,30.081693144807,8.41059390643949e-199
as.factor(region)SOUTH,-0.00674881580586606,0.993273906307005,0.00212727483732788,0.00211424908492111,-3.19206277727578,0.00141260627245623
as.factor(region)WEST,-0.173994890219835,0.840301191401822,0.00332722200610554,0.00331358525682901,-52.5095558839921,0
