rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
pm25,0.0125324520514419,1.01261131232183,0.0002918506661569,0.000289556986339576,43.2814701170586,0
no2,0.00560059319873041,1.0056163058405,9.01714032332867e-05,8.94271484810373e-05,62.627438019205,0
ozone_summer,-0.000378675746858715,0.999621395941753,0.000127684581798342,0.000126760239071643,-2.98733853479633,0.00281417905714624
mean_bmi,0.0216007044821634,1.02183568859001,0.000706740602253685,0.000700156007295382,30.8512735120339,5.3855987955997e-209
smoke_rate,0.199669457324282,1.2209990991413,0.00907072283802194,0.00900127349316674,22.1823564716548,5.08449231524175e-109
hispanic,-0.00942875869838068,0.99061555267049,0.0047921645278544,0.00474246950937826,-1.9881537835373,0.0467946845923147
pct_blk,0.0792059278467459,1.0824272010238,0.00389070732200473,0.00383080387576971,20.676059233346,5.6903834667159e-95
medhouseholdincome,2.88486508571286e-07,1.00000028848655,5.72583205532137e-08,5.69879886574323e-08,5.06223355776677,4.1437294704341e-07
medianhousevalue,1.27965795501115e-07,1.0000001279658,7.78365746242344e-09,7.73157129188527e-09,16.55107230731,1.57276219932849e-61
poverty,-0.02474354637738,0.975560065863507,0.0125199948597401,0.0124455830725996,-1.98813878249351,0.0467963431786117
education,0.347643827025355,1.41572791590722,0.00657582512855701,0.00652138257666897,53.3083012594741,0
popdensity,-2.98543363217994e-07,0.999999701456681,7.79896427760962e-08,7.88904888467895e-08,-3.78427574200719,0.000154156836948275
pct_owner_occ,0.0665997837121626,1.06886761433247,0.00547689627603838,0.00544048644564848,12.2415126620583,1.86523587863127e-34
summer_tmmx,-0.000216857404648547,0.999783166107219,0.000362157810296369,0.000360122731245778,-0.602176385529369,0.547056732846247
winter_tmmx,0.00979332746506556,1.00984143902565,0.000190452735149506,0.00018975688721442,51.609865701472,0
summer_rmax,0.000276911376474138,1.00027694971997,0.000112056427385799,0.00011195607046757,2.47339313819833,0.013383682339035
winter_rmax,0.000203277615198219,1.00020329827749,0.000107130794225419,0.000105958768106781,1.91845959357855,0.0550527608934566
as.factor(year)2002,-0.0340577257481874,0.966515710184628,0.00300420102667458,0.00297461105157831,-11.449471933521,2.36582313263077e-30
as.factor(year)2003,0.0155439153105736,1.01566535033824,0.00295222476887038,0.00291848745153818,5.32601752403669,1.0038945007347e-07
as.factor(year)2004,-0.0145561697611463,0.985549259111146,0.00300828252560373,0.00297156062805192,-4.89849327781979,9.65743420872534e-07
as.factor(year)2005,0.00737404780177839,1.0074013030449,0.00299222053198666,0.00295533828126289,2.49516200853572,0.0125899633435235
as.factor(year)2006,-0.0346093666215208,0.965982687646198,0.00314412970883824,0.00310719553648262,-11.13845788434,8.15186359145493e-29
as.factor(year)2007,-0.0148776661297324,0.985232459530965,0.00331042861556564,0.00327024290033921,-4.54940705725229,5.3797288451489e-06
as.factor(year)2008,-0.0449282046679525,0.956066120453682,0.00330736480246698,0.00327460433649092,-13.7201933581074,7.6860157754903e-43
as.factor(year)2009,-0.0534658863754864,0.947938278062713,0.00341063131308051,0.00337044494260802,-15.863153763347,1.14021397221293e-56
as.factor(year)2010,0.0135156785662812,1.01360742823687,0.00341965436805219,0.00338298536946228,3.99519273369765,6.464164454934e-05
as.factor(year)2011,-0.0144488108895506,0.985655072247394,0.00341754558821589,0.00338580488541143,-4.26746708051809,1.97704934296935e-05
as.factor(year)2012,-0.0639841632866652,0.938019854564641,0.00343372744873635,0.00339601243680013,-18.8409684821278,3.48529668886333e-79
as.factor(year)2013,-0.0881677861252851,0.915607237643746,0.00375818180793013,0.00372684852996912,-23.6574643204015,9.88969814867053e-124
as.factor(year)2014,-0.0593403664181369,0.942385958030492,0.00397342056436052,0.00394976090345346,-15.023786975625,5.12916947873713e-51
as.factor(year)2015,-0.0345329931757151,0.966056465889956,0.00399204217672395,0.0039816655325301,-8.67300201224373,4.20874515128998e-18
as.factor(year)2016,-0.0886883871927061,0.915130695593403,0.00388348763382452,0.00387128373716228,-22.9092965574557,3.75356441339527e-116
as.factor(region)NORTHEAST,0.0601222333676415,1.0619663463351,0.00187554807830182,0.00187792016906479,32.0153297025307,6.67252593791983e-225
as.factor(region)SOUTH,0.0219800957497169,1.0222234376768,0.00220254902834695,0.00219120381977068,10.0310594347253,1.11315720203391e-23
as.factor(region)WEST,-0.131965551491668,0.876371184239427,0.00350940482756398,0.00350406240847272,-37.6607309197973,1.12345453763975e-308
