rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.00723949704875595,1.00726576555952,8.16937948993276e-05,8.12800503083036e-05,89.0685601361687,0
mean_bmi,0.0261983755703158,1.0265445696405,0.000699415372485651,0.000692766029952307,37.8170615151545,1.11256672159808e-308
smoke_rate,0.152190979697369,1.16438258863346,0.00901039820898017,0.0089437185904636,17.0165215014307,6.19429552195355e-65
hispanic,-0.0394842403366759,0.961285103400811,0.00471899522833447,0.00467227978286566,-8.45074399899462,2.894523098868e-17
pct_blk,0.0701868183466059,1.07270856417638,0.00388455670447467,0.00381973625753378,18.3747812975763,2.09149146182447e-75
medhouseholdincome,5.05003504472158e-07,1.00000050500363,5.6940041546875e-08,5.67498538911487e-08,8.89876307771293,5.64724969119981e-19
medianhousevalue,1.06680973864931e-07,1.00000010668098,7.76484271384671e-09,7.72964024566434e-09,13.8015445058739,2.49450203530741e-43
poverty,-0.072596892803835,0.929975634348022,0.0124783792583471,0.0124053050444994,-5.85208445446692,4.85449994986835e-09
education,0.409304999941797,1.5057709104956,0.00643030895358761,0.00637532948042642,64.2013877397942,0
popdensity,-3.08911780296136e-07,0.999999691088267,7.71471807032246e-08,7.8132160179812e-08,-3.95370842922059,7.69491715646369e-05
pct_owner_occ,0.0365156706556339,1.03719055734645,0.00542543279981554,0.00539057800770172,6.77398056450768,1.25286510430422e-11
summer_tmmx,0.00220373745794009,1.00220616747204,0.000341506114371311,0.000339808349697622,6.48523633954577,8.85928002794244e-11
winter_tmmx,0.00906152303088373,1.00910270292089,0.000178532231338298,0.000177747639043933,50.9797096581634,0
summer_rmax,0.00189115988230183,1.00189294925297,0.000105402415415749,0.000105644293751483,17.9012023758764,1.15403271039764e-71
winter_rmax,-0.000419010667479363,0.999581077105231,0.000101743205478124,0.000100697131363139,-4.16109835312295,3.16720637160517e-05
as.factor(year)2002,-0.0365824505695226,0.964078601789502,0.00299645578157828,0.00295728890906807,-12.3702660424378,3.78565437175936e-35
as.factor(year)2003,0.0049670346275026,1.00497939079336,0.00293394316321649,0.0028920149686651,1.71749962615003,0.0858879226886268
as.factor(year)2004,-0.0234773900904088,0.976796059689771,0.00300869409350183,0.00296320009368891,-7.92298506618283,2.31875436082748e-15
as.factor(year)2005,-0.00173999667157426,0.998261516245017,0.00299260443476395,0.00294647788553973,-0.59053444117587,0.554832402535222
as.factor(year)2006,-0.0331116936825059,0.967430497679374,0.00313390260228322,0.00308987250874712,-10.716200616294,8.54413909809525e-27
as.factor(year)2007,-0.0249910066947571,0.975318683327519,0.00330198033103537,0.00325579611654971,-7.67585125116527,1.64323722505859e-14
as.factor(year)2008,-0.0450832157850274,0.955917931062151,0.00329772302705056,0.00325848161418793,-13.8356514238804,1.5532295518457e-43
as.factor(year)2009,-0.0711285665085841,0.931342145022141,0.00338232013537155,0.00333867205873777,-21.3044483726488,1.03236325711177e-100
as.factor(year)2010,-0.0145956955327189,0.985510305286102,0.00335303410563354,0.0033102841236448,-4.40919721315287,1.0375451020359e-05
as.factor(year)2011,-0.0451134300627783,0.9558890491286,0.00334572009954218,0.00330785233765831,-13.638284136563,2.37073198321451e-42
as.factor(year)2012,-0.0882354131755193,0.915545319920771,0.00338732235079503,0.00334780059359929,-26.3562332070249,4.35390966621114e-153
as.factor(year)2013,-0.123969862760093,0.883406463914115,0.00364538362634776,0.00361787277257546,-34.2659542092858,2.523801932009e-257
as.factor(year)2014,-0.0878263785205363,0.915919886284916,0.00391525275100266,0.00389339668890497,-22.5577780889411,1.12640070794674e-112
as.factor(year)2015,-0.0708053118882344,0.931643254338512,0.00390387755827896,0.00389523712170506,-18.1774073505545,7.7932124970107e-74
as.factor(year)2016,-0.129044570321719,0.87893479026619,0.00376707066450123,0.00375872458647196,-34.332010061648,2.61373553253273e-258
as.factor(region)NORTHEAST,0.042299091826728,1.04320644661669,0.00183102608156621,0.00183161400124147,23.0938897595551,5.33315570024875e-118
as.factor(region)SOUTH,0.0116504835645845,1.01171861477834,0.00216803520240344,0.00215607438140648,5.40356291278993,6.53300269320047e-08
as.factor(region)WEST,-0.134300619412104,0.874327185367561,0.00333536964559017,0.00333525348341808,-40.2669902242237,0
