rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.0096692799587861,1.00971617848269,0.000181184012874939,0.000180291633348897,53.6313293034197,0
mean_bmi,0.023172839182531,1.02344341538452,0.000696444038882688,0.000689710486343487,33.5979220866747,1.79893387228371e-247
smoke_rate,0.136977761218432,1.14680264474329,0.0089787063965942,0.00891073363877622,15.3722203772712,2.51403479486275e-53
hispanic,0.0178031386027176,1.01796255913146,0.00466521390253049,0.00461242256186106,3.85982384830201,0.000113468790083084
pct_blk,0.127807886199462,1.13633467615264,0.00381265898251891,0.00374480754395556,34.1293603741412,2.70681561203016e-255
medhouseholdincome,1.22105940907327e-06,1.00000122106015,5.59029166359985e-08,5.5726869356012e-08,21.9115019950701,2.01815727963352e-106
medianhousevalue,1.01455795990199e-07,1.0000001014558,7.7531774138345e-09,7.71120684800001e-09,13.1569283498746,1.55270920403522e-39
poverty,-0.116428554424664,0.890093687960643,0.0124922527599207,0.0124181541501367,-9.37567314892626,6.8735747313746e-21
education,0.408452754797458,1.50448817123044,0.00643048901868589,0.00637655072981016,64.0554387637747,0
popdensity,1.06998887521598e-06,1.00000106998945,7.44734954580792e-08,7.55666173358345e-08,14.1595444250298,1.63047724091683e-45
pct_owner_occ,-0.03225168681168,0.96826285241852,0.00534340947852534,0.00531114516476973,-6.07245439752131,1.25969877715869e-09
summer_tmmx,-0.00262947663048818,0.99737397741508,0.000339764918882865,0.00033777766073472,-7.78463745876105,6.99133944618817e-15
winter_tmmx,0.0109072472219868,1.01096694810296,0.000177590167355174,0.000176819153773036,61.6858919932805,0
summer_rmax,0.000974705441464985,1.00097518062119,0.000104409434863322,0.000104580665016714,9.32013045919349,1.16197339689158e-20
winter_rmax,-0.000731687381720033,0.999268580236217,0.000104100480482665,0.000102966289668102,-7.10608670156544,1.19379435918605e-12
as.factor(year)2002,-0.0474052192878202,0.953700861295872,0.00299634734169884,0.00295458099186121,-16.0446504659727,6.23087483135392e-58
as.factor(year)2003,-0.00905233017188108,0.990988518816453,0.00293067773306351,0.00288641314523,-3.13618658051108,0.00171160274153079
as.factor(year)2004,-0.0372341704579847,0.963450497287005,0.00300649773399993,0.00295843544572104,-12.585764043572,2.52884068604435e-36
as.factor(year)2005,-0.0156057068067887,0.984515431268613,0.00300281165367953,0.00295453744506535,-5.28194585343749,1.27818979120078e-07
as.factor(year)2006,-0.0646843781330659,0.93736326903855,0.00310335763845145,0.00305823618693679,-21.150877230923,2.70858043194495e-99
as.factor(year)2007,-0.0666355373103166,0.935536107215198,0.00325000146128164,0.00320389701960745,-20.7982768804726,4.48638956584666e-96
as.factor(year)2008,-0.0933172981569947,0.910904426141605,0.00322599601546309,0.00318675554747809,-29.282854227976,1.71474653592994e-188
as.factor(year)2009,-0.116452367980831,0.890072491916988,0.00332180832845436,0.00327797512830843,-35.525702124813,1.97169063095756e-276
as.factor(year)2010,-0.0435183623214672,0.957414973568036,0.00336092005639312,0.00331818318531429,-13.1151174878084,2.69763853565472e-39
as.factor(year)2011,-0.0855917438998843,0.917968921141996,0.00329638147602091,0.00325968212769078,-26.2576964707044,5.83822311276992e-152
as.factor(year)2012,-0.136585990674848,0.872331304676768,0.00331743020147501,0.00327927890686785,-41.6512271611889,0
as.factor(year)2013,-0.178391989991747,0.836614414727368,0.00356170303169208,0.00353623401432573,-50.4468848127863,0
as.factor(year)2014,-0.146215892756661,0.863971157933521,0.00382887572005866,0.00380896094333263,-38.3873436698279,1.11253692925361e-308
as.factor(year)2015,-0.122035555240658,0.885116897398851,0.0038373029840373,0.00383137227265061,-31.8516569407211,1.24857348871412e-222
as.factor(year)2016,-0.18617874120608,0.830125204140363,0.00367957002455322,0.00367524982155485,-50.6574383363456,0
as.factor(region)NORTHEAST,0.0304792626189057,1.03094851065495,0.00182392809385184,0.00182343195046969,16.7153277154405,1.01361218630623e-62
as.factor(region)SOUTH,-0.0306805771298478,0.969785295209653,0.00209178552702956,0.00207949703332257,-14.7538451068752,2.90623773468682e-49
as.factor(region)WEST,-0.19143385295457,0.825774245826517,0.00329732940608292,0.00329576122149605,-58.084867224596,0
