rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
pm25,0.000832715114424348,1.00083306191791,0.000289205928331097,0.000285548170042401,2.91619839237877,0.00354325116232913
no2,0.000778422764792061,1.00077872581442,8.47285782676416e-05,8.35125989857515e-05,9.32102190862089,1.15225095724125e-20
ozone_summer,0.000227658351577157,1.00022768426771,0.00012855214824247,0.000127429555885279,1.78654276863455,0.0740114188295219
mean_bmi,0.00199169102414953,1.00199367575816,0.000653015016111479,0.000648529750934332,3.07108659437769,0.00213281285557435
smoke_rate,0.0725446649395447,1.07524083058434,0.00835962928849078,0.00828780867141135,8.75317804931795,2.07427044109783e-18
hispanic,-0.0711414530042874,0.93133014336292,0.00445321445524815,0.00445767773204618,-15.9593082498657,2.45436582667151e-57
pct_blk,-0.00260358285108871,0.997399803531196,0.00364713144093387,0.00362451667496471,-0.718325527117092,0.472556593984962
medhouseholdincome,6.050670131648e-07,1.0000006050672,5.13725258571357e-08,5.05040985975672e-08,11.9805526673422,4.49318250659393e-33
medianhousevalue,-2.49155044442073e-07,0.999999750844987,7.05154901573112e-09,6.95961783007225e-09,-35.8001043341034,1.10028581949557e-280
poverty,-0.163194128890609,0.849426274227534,0.0116273071533454,0.0115102546737873,-14.1781510067067,1.25099408086328e-45
education,0.0429805318330177,1.04391757149119,0.00617704139069675,0.00610669701485989,7.03826171962191,1.94652819468211e-12
popdensity,-1.15493153981249e-06,0.999998845069127,7.63793122623194e-08,7.53967538590001e-08,-15.3180539041818,5.79260107779832e-53
pct_owner_occ,-0.00637972311659729,0.99364058410915,0.00505081285447221,0.00497762099619766,-1.28168117288775,0.199954512032917
summer_tmmx,0.000752162965963258,1.00075244591146,0.000339084324878807,0.000335979361122648,2.23871776959741,0.0251742855877608
winter_tmmx,-1.52969143544748e-05,0.999984703202643,0.000175255301989216,0.000173860761147864,-0.0879837074995041,0.929889625450612
summer_rmax,-0.00115080489442204,0.998849857027592,0.000101301689528399,0.000100708476513128,-11.4270906905441,3.0619648902805e-30
winter_rmax,0.0011719891585706,1.00117267620624,9.84021989905218e-05,9.78658337568854e-05,11.9754679808073,4.77734263479048e-33
as.factor(year)2001,0.0609838168775197,1.06288171330307,0.00403632240662735,0.00400564834569614,15.2244559717888,2.43374639603994e-52
as.factor(year)2002,0.049642998243592,1.05089585773257,0.00359267797435779,0.00356668868460636,13.9185117158805,4.88980211331645e-44
as.factor(year)2003,0.0179060470285993,1.0180673214464,0.00343353028087684,0.00340762613984151,5.25469822503244,1.48267379000359e-07
as.factor(year)2004,-0.0365591430558456,0.964101072326564,0.00328121024921599,0.00325811733278885,-11.2209412128667,3.2182680544613e-29
as.factor(year)2005,-0.0340082157138985,0.966563563595183,0.00317861435797111,0.00315596424738763,-10.7758558234774,4.47600034383871e-27
as.factor(year)2006,-0.069149248129957,0.933187393210972,0.00299363290162328,0.00297647515852559,-23.2319251621809,2.16688277598616e-119
as.factor(year)2007,-0.0820169551545926,0.921256338520289,0.00297798981072709,0.00296067364040396,-27.7021263118356,6.58227363192185e-169
as.factor(year)2008,-0.0667493590805308,0.935429628899266,0.00285757749034713,0.00284063226113759,-23.4980641435789,4.26891526650679e-122
as.factor(year)2009,-0.117956493701845,0.888734717331125,0.00282803390200344,0.00281186255112166,-41.9495944617891,0
as.factor(year)2010,-0.107392845423456,0.898172760616357,0.00285806871545067,0.00283962857261867,-37.8193283653362,1.11256427233208e-308
as.factor(year)2011,-0.0881194416202104,0.915651503292484,0.00290569940538359,0.00288468064830843,-30.5473819682201,6.12594100449486e-205
as.factor(year)2012,-0.0955004944973362,0.908917912196074,0.00273187603693378,0.00270892793680634,-35.2539811782241,2.98135538917104e-272
as.factor(year)2013,-0.0640216370039067,0.937984704132457,0.00274164857303751,0.0027143924527905,-23.5859913838509,5.36683188490938e-123
as.factor(year)2014,-0.0790805922936992,0.923965456948899,0.00288599515092123,0.00285422442729626,-27.7065081278877,5.82889383899115e-169
as.factor(year)2015,-0.0266954553914598,0.973657718585559,0.00287168435131086,0.00283737663390388,-9.40849905947457,5.0327198324788e-21
as.factor(year)2016,,,0,0,,
as.factor(region)NORTHEAST,0.012186405051737,1.0122609618377,0.00169498007191884,0.00167207579718488,7.28818937051427,3.14148210432419e-13
as.factor(region)SOUTH,0.037690105875707,1.03840938604451,0.00198024661055834,0.00196010766604416,19.2285895966992,2.13351862970326e-82
as.factor(region)WEST,0.0405891436394245,1.04142414190295,0.00316848580922241,0.00314646005276485,12.8999392837542,4.50451945257476e-38
