rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.000480542157032565,1.00048065763591,0.000121144104042446,0.000120059041315195,4.00254867745432,6.26637697686324e-05
mean_bmi,0.00164634895581825,1.0016477049323,0.000643639146081505,0.000639018713553161,2.57637048947126,0.00998436008560262
smoke_rate,0.0671925577774914,1.06950139916057,0.0082858819653146,0.0082136346759929,8.18061192493552,2.82406039688819e-16
hispanic,-0.0635096043721786,0.938465105889227,0.00436381615086104,0.00437051428890648,-14.5313801017383,7.66602250000359e-48
pct_blk,0.00601557709301792,1.00603370701264,0.00355618006993699,0.00353473372736517,1.70184731213177,0.0887839947524483
medhouseholdincome,7.28143080605836e-07,1.00000072814335,5.02072055009897e-08,4.93462919728401e-08,14.7557810626704,2.8240292417294e-49
medianhousevalue,-2.51538917227136e-07,0.999999748461114,7.04182559104573e-09,6.95007847008138e-09,-36.1922413264768,8.06357876706443e-287
poverty,-0.174102975854048,0.840210371822854,0.0115816690140373,0.0114623807449796,-15.189076312118,4.17764997634688e-52
education,0.0459769666630003,1.04705029361692,0.00607339069671698,0.00600533868955686,7.65601559541566,1.9179044455541e-14
popdensity,-9.51221302637561e-07,0.99999904877915,7.40266044763786e-08,7.31378082034687e-08,-13.0058765227319,1.13292404095097e-38
pct_owner_occ,-0.0189043193788296,0.981273246585049,0.0049179663688726,0.00484628195678731,-3.90078818100002,9.58800159399017e-05
summer_tmmx,0.000423137305411643,1.00042322684063,0.000335376128537452,0.000332446008559039,1.27280007735902,0.203088993736818
winter_tmmx,0.000180225559992694,1.00018024180159,0.000174265643691785,0.000172862647045393,1.04259400786202,0.297136365658513
summer_rmax,-0.0012133035207923,0.99878743223433,9.54146132500886e-05,9.48735250383112e-05,-12.7886417238355,1.89761437496081e-37
winter_rmax,0.000980889652360416,1.00098137088195,9.6917270779476e-05,9.64159705551079e-05,10.1735184193346,2.60331444982476e-24
as.factor(year)2001,0.0756525733590584,1.07858777892514,0.00377627865905425,0.00375448527527153,20.1499187804345,2.69555838714252e-90
as.factor(year)2002,0.0613255357677723,1.06324498212698,0.00339380611654297,0.00337414977011884,18.1751077888912,8.12687399612683e-74
as.factor(year)2003,0.0307432679281779,1.03122072246645,0.00318744763008865,0.00316857948473877,9.70253960055305,2.94085823943646e-22
as.factor(year)2004,-0.0262834377149716,0.974058965431185,0.00308378084885101,0.00306679065825246,-8.57033969509632,1.03180223055486e-17
as.factor(year)2005,-0.0234228525230395,0.976849333223374,0.00295893617772136,0.00294287819618134,-7.95916479092911,1.73204432943136e-15
as.factor(year)2006,-0.0615925493224389,0.940265920738562,0.00284582014243094,0.00283312964744654,-21.7401096973982,8.56937605190429e-105
as.factor(year)2007,-0.0762144193990575,0.926617500489314,0.00280137177692869,0.00278921496056383,-27.3246847147453,2.15942318356183e-164
as.factor(year)2008,-0.0609375566933617,0.940881989724315,0.0027535021946795,0.00273986024059203,-22.241118649247,1.37485763486556e-109
as.factor(year)2009,-0.113788046696799,0.89244709294687,0.00276214485555909,0.00274818886669034,-41.4047404368661,0
as.factor(year)2010,-0.102144170440625,0.902899370884851,0.00279805950559283,0.00278137107670717,-36.7243951359242,2.98032001808831e-295
as.factor(year)2011,-0.0820400122173229,0.921235097299982,0.00284490589931126,0.00282480816667439,-29.0426844502887,1.90359101794988e-185
as.factor(year)2012,-0.0922051463919244,0.911918053656285,0.00270960816676236,0.00268733693397912,-34.3109735240371,5.38381741587779e-258
as.factor(year)2013,-0.0615970687918761,0.940261671245073,0.00272649890188373,0.00269977145850991,-22.8156604136683,3.20577937647284e-115
as.factor(year)2014,-0.0764674364662049,0.926383080104403,0.0028519695580525,0.00282122716214346,-27.1043174021151,8.75769869217002e-162
as.factor(year)2015,-0.0241092877591078,0.976179019510516,0.00286109717585418,0.00282684292527186,-8.52869734769193,1.48004840016756e-17
as.factor(year)2016,,,0,0,,
as.factor(region)NORTHEAST,0.00899666278373408,1.00903725439271,0.00164394772286491,0.00162195745098923,5.54679333804165,2.909563007122e-08
as.factor(region)SOUTH,0.0310235098234483,1.03150975421367,0.00189190495526244,0.00187329302683383,16.5609487565771,1.33472671868154e-61
as.factor(region)WEST,0.0329243946839242,1.03347240028,0.00309477045922309,0.00307339067056505,10.71272682619,8.87097009429178e-27
