rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.00198706919524137,1.00198904472552,0.000251452906011026,0.000247997636030528,8.01245216303904,1.12443579810841e-15
mean_bmi,0.00117940433392956,1.00118010010473,0.000646987428883494,0.000642394033694603,1.83595156876917,0.0663648198035971
smoke_rate,0.0748339631982267,1.07770519730439,0.00835138644165299,0.00827967447908784,9.03827359242644,1.59165588400894e-19
hispanic,-0.063635225576147,0.938347222177244,0.00434341788417459,0.00435073812266572,-14.6263056479155,1.90873734707044e-48
pct_blk,0.00431917873502786,1.00432851983128,0.0035552168415568,0.00353338471390404,1.22239130033921,0.221559687555149
medhouseholdincome,6.72192102460765e-07,1.00000067219233,5.07126607688483e-08,4.98433659492088e-08,13.4860896662906,1.88854514620765e-41
medianhousevalue,-2.49300833645308e-07,0.999999750699197,7.04692777832093e-09,6.95521261205502e-09,-35.8437401630557,2.30209496350414e-281
poverty,-0.168032184889498,0.845326627502735,0.0116063632081576,0.0114894294740566,-14.6249372319939,1.94750407223146e-48
education,0.0390430397225476,1.03981523604635,0.00615824598634298,0.00608895415353467,6.41210932749148,1.4351985052134e-10
popdensity,-1.03239555824271e-06,0.999998967604975,7.36714462311696e-08,7.2737612807172e-08,-14.1934209606191,1.00627582796256e-45
pct_owner_occ,-0.0118706796786742,0.988199498875817,0.00500439827532595,0.00493029443991362,-2.40770197872445,0.0160532795566745
summer_tmmx,0.000485897356509845,1.00048601542375,0.000314896216856756,0.00031226505070987,1.55604143148667,0.119698240613148
winter_tmmx,6.26716965276957e-05,1.00006267366044,0.000163457433167274,0.000162281524383405,0.386191199311315,0.699355071076701
summer_rmax,-0.001378363602521,0.998622585904284,9.82685632201143e-05,9.76751412403378e-05,-14.1117134310502,3.21666339962805e-45
winter_rmax,0.000991618793918813,1.00099211061039,9.26121521288654e-05,9.21833202549747e-05,10.7570305688279,5.49111027191636e-27
as.factor(year)2001,0.0667523487920994,1.06903069864567,0.00398712665719194,0.00395897593212865,16.8610140441567,8.70820883267925e-64
as.factor(year)2002,0.0540068764953409,1.05549186021498,0.00355914511348562,0.00353441481491683,15.2802880599661,1.03482287537076e-52
as.factor(year)2003,0.0223391573939268,1.02259054480818,0.00339045991174842,0.00336619810372088,6.6363169087505,3.21617987043902e-11
as.factor(year)2004,-0.034095446163856,0.966479253497875,0.00326151918385043,0.00323927460124381,-10.5256424233883,6.58109689454155e-26
as.factor(year)2005,-0.0311454942732354,0.969334530192817,0.00316333700217777,0.00314151128035894,-9.91417553327288,3.61226388969529e-23
as.factor(year)2006,-0.0679344147729342,0.93432174927188,0.00299045026469784,0.00297345723309242,-22.8469453055768,1.56723878967527e-115
as.factor(year)2007,-0.0832659333865473,0.920106427663724,0.00297487046167605,0.00295754887104086,-28.153696529533,2.159257389399e-174
as.factor(year)2008,-0.0662776387257263,0.935870994188015,0.00285693118515402,0.00284004830376712,-23.3367998135151,1.87657385629405e-120
as.factor(year)2009,-0.118273132578045,0.888453353916638,0.00282240307423533,0.0028063567213281,-42.1447251089563,0
as.factor(year)2010,-0.106398028341759,0.899066722811638,0.00284538628033463,0.00282754476606556,-37.6291224877081,1.14845040194729e-308
as.factor(year)2011,-0.0861819607456138,0.917427280279387,0.0028765070465448,0.00285631150964596,-30.1724655922758,5.44317249176008e-200
as.factor(year)2012,-0.0944051056074436,0.909914076272843,0.0027286884508792,0.0027058062498445,-34.8898246549874,1.06066504931052e-266
as.factor(year)2013,-0.0637541080933237,0.938235675728079,0.00273831900662927,0.00271113694480334,-23.5156354663406,2.82234612232387e-122
as.factor(year)2014,-0.0796880200888208,0.923404385071195,0.00288344535761486,0.00285178821382764,-27.9431760403639,7.97930553264366e-172
as.factor(year)2015,-0.0257377078963614,0.97459068352772,0.00286803554117886,0.00283375854616156,-9.08253384227959,1.06076092357182e-19
as.factor(year)2016,,,0,0,,
as.factor(region)NORTHEAST,0.0120553524918874,1.01212831113971,0.00168935657416967,0.00166651909212086,7.23385201458774,4.69483350341037e-13
as.factor(region)SOUTH,0.0342228561627886,1.03481519597682,0.00192878490807421,0.00190949190482375,17.9224934530149,7.87193346937903e-72
as.factor(region)WEST,0.0379028477649963,1.03863032271956,0.00299399663145964,0.00297730848010721,12.7305746173911,3.99885324051336e-37
