rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.00313172321987813,1.00313663218821,4.61975098546657e-05,0.000285157207335924,10.9824445579903,4.64189769708761e-28
mean_bmi,0.0266532294213674,1.02701160359932,0.000589911150703666,0.00317475266358456,8.39537193781693,4.64421738890802e-17
smoke_rate,0.0539447947259074,1.05542633544665,0.00731835098359428,0.0400747551105928,1.34610416400644,0.178268925951245
hispanic,-0.00314732683601766,0.996857620805113,0.00388616555953868,0.0210011427828884,-0.149864551113004,0.880871479917416
pct_blk,0.0786012861866887,1.08177291826732,0.00330337934251996,0.0176934302509655,4.44239952749692,8.89611774407497e-06
medhouseholdincome,1.94322575622235e-06,1.00000194322764,3.96644282783349e-08,2.28565850793903e-07,8.50182015149127,1.86640818928547e-17
medianhousevalue,8.39809342078925e-09,1.00000000839809,5.20394304003428e-09,3.04935504187099e-08,0.275405562995264,0.783004670632441
poverty,-0.159656339554076,0.85243668740664,0.00973171335950003,0.0535562374546191,-2.98109701394466,0.00287217788349547
education,0.377258505644529,1.45828123458093,0.00516340074304549,0.0281094297513206,13.4210657769322,4.55120459068588e-41
popdensity,-1.18697045891985e-06,0.999998813030246,3.84600365304632e-08,2.39145806502917e-07,-4.9633755919754,6.92784237461075e-07
pct_owner_occ,-0.0855924931201944,0.917968233381294,0.00407486057669771,0.0228585908460507,-3.74443436590853,0.00018080063124686
summer_tmmx,0.000976458758498712,1.00097693564956,0.000246704026252176,0.00139058140592192,0.702194603164095,0.482557810798158
winter_tmmx,0.0100416086460344,1.0100921947784,0.000135494675964321,0.000753118476373855,13.3333717881722,1.48051902496032e-40
summer_rmax,0.00189298937488685,1.00189478221037,7.2351406745232e-05,0.000419928766691283,4.50788211010681,6.5477938530033e-06
winter_rmax,-0.00223364568082066,0.997768847049389,7.24040885077046e-05,0.000407110718701234,-5.48658037780593,4.09789007221009e-08
as.factor(year)2001,0.195624423898922,1.21607009269168,0.00327685762735631,0.0172803488781209,11.3206293043427,1.03724635687846e-29
as.factor(year)2002,0.191731809332099,1.21134560181123,0.00299165418212846,0.0160293613436618,11.9612881150697,5.66758576691838e-33
as.factor(year)2003,0.226620202469891,1.25435337714647,0.00291911000440691,0.0157434813113014,14.3945419687583,5.59946114545525e-47
as.factor(year)2004,0.187607884335551,1.20636038978989,0.00280172579117402,0.0151118131348554,12.4146508867843,2.17634095727803e-35
as.factor(year)2005,0.225385771160761,1.25280591937667,0.00272086684889528,0.0146917902508829,15.340933086573,4.0729807199602e-53
as.factor(year)2006,0.209644634594544,1.23323973134079,0.00261209932520982,0.0141147365925597,14.8528903263455,6.66327182038019e-50
as.factor(year)2007,0.192527494472039,1.21230983506809,0.00260025454156483,0.0139905826476858,13.7612206239235,4.36101098224608e-43
as.factor(year)2008,0.169497457964634,1.18470933545626,0.00264504370707491,0.0142412439712897,11.9018716557585,1.15722225612647e-32
as.factor(year)2009,0.0975297957922976,1.10244428927502,0.00272042783707359,0.0145204814545796,6.71670537215817,1.8587926627836e-11
as.factor(year)2010,0.163495282904498,1.17761980022926,0.00270431102285411,0.0145605058963346,11.2286814804735,2.94845489095413e-29
as.factor(year)2011,0.114897269461337,1.12175819282906,0.00275026414767064,0.0147337216763528,7.79825165597799,6.27707368221379e-15
as.factor(year)2012,0.0609402622310434,1.06283542087393,0.00271991315215712,0.0144063131078717,4.23010813209003,2.33579006278935e-05
as.factor(year)2013,0.0171760829529671,1.01732444004652,0.002854139513804,0.0152796708708079,1.12411341174778,0.260964916337955
as.factor(year)2014,0.0390806043965058,1.03985429710032,0.00287724494360114,0.0156350177126409,2.49955613193256,0.0124348997934808
as.factor(year)2015,0.0857702335229404,1.08955595610907,0.00294792631982254,0.0159162938818807,5.38883198309012,7.09170652454104e-08
as.factor(year)2016,,,0,0,,
as.factor(region)NORTHEAST,0.0469592720430329,1.04807932208086,0.00157018442259847,0.00835582823686896,5.61994223814122,1.91021312702552e-08
as.factor(region)SOUTH,-0.0138727771025708,0.986223006430252,0.00171393746572342,0.00920174008933503,-1.50762540213992,0.131650427609101
as.factor(region)WEST,-0.16388071867736,0.848843266989362,0.00241100645401903,0.0135698116737365,-12.0768602112983,1.39962814471712e-33
