rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.0205264731985552,1.02073859010088,0.000263345683123554,0.000261505260235909,78.4935384475168,0
mean_bmi,0.0157431908360925,1.01586776775243,0.000698384199989825,0.000692023767788715,22.7494944088382,1.45164213811344e-114
smoke_rate,0.204301373064553,1.22666778238408,0.00904406761829324,0.00896971121496405,22.7768060942385,7.78645188800633e-115
hispanic,0.047089723987609,1.04821605498483,0.00466584222325112,0.00462126740953395,10.1897855749399,2.20249464003838e-24
pct_blk,0.132107340222703,1.14123081266247,0.00378432510724443,0.00373637271740804,35.3571097463604,7.79608353485825e-274
medhouseholdincome,8.59014883675964e-07,1.00000085901525,5.63163223059802e-08,5.61119689671797e-08,15.3089420935916,6.66390179854504e-53
medianhousevalue,1.1597408236308e-07,1.00000011597409,7.7491746132792e-09,7.70235267019406e-09,15.056968608029,3.10710797088947e-51
poverty,-0.0583905322203498,0.943281493678808,0.0125094242503617,0.0124663963760881,-4.68383408154335,2.81557948699936e-06
education,0.318039357629861,1.37443035448422,0.00654966865582276,0.00650049092708475,48.9254367396665,0
popdensity,6.77089153866002e-07,1.00000067708938,7.45232493107554e-08,7.57152783550819e-08,8.94256969763298,3.8022386641537e-19
pct_owner_occ,0.0182535926102259,1.01842120773801,0.00541629687864599,0.00538478226779742,3.38984785315977,0.000699314241561476
summer_tmmx,-0.00579064512051815,0.994226088350161,0.000345080320392501,0.0003423236353863,-16.9157035095856,3.44676060350247e-64
winter_tmmx,0.0122274703278329,1.0123025314671,0.000180153131275239,0.000178974745546043,68.3195290515849,0
summer_rmax,-0.00177304505855954,0.998228525857258,0.000108732052126481,0.00010849822408196,-16.3416965905374,4.98463611985794e-60
winter_rmax,-0.000736626776947423,0.999263644465951,0.000101614192969356,0.000100486203578367,-7.33062600352836,2.29080130390111e-13
as.factor(year)2001,0.113884532040988,1.12062272139486,0.00387375821050696,0.00387575013909811,29.3838684006316,8.82787679425232e-190
as.factor(year)2002,0.0760154634314519,1.07897925875009,0.00369005581208836,0.00370712572410425,20.5052294118833,1.9335571460538e-93
as.factor(year)2003,0.116512985470648,1.12357210048501,0.00361906052357698,0.00363432946577454,32.0590047126663,1.64446362922043e-225
as.factor(year)2004,0.0891103915773725,1.09320132988473,0.00354628340281255,0.0035671271901796,24.9809964227504,9.83698129626941e-138
as.factor(year)2005,0.084950488409107,1.08866316391881,0.00350068495515576,0.00352481248710178,24.1007113768359,2.45714590240186e-128
as.factor(year)2006,0.0628139939301058,1.0648287561975,0.00336427529028864,0.00339179908955564,18.5193734273733,1.441043452033e-76
as.factor(year)2007,0.0456103862767301,1.04666653585917,0.00337762546413382,0.00340402851806272,13.3989436441877,6.13298551305503e-41
as.factor(year)2008,0.0414240746091686,1.04229402226616,0.00331070544350701,0.0033418881504798,12.395410242327,2.76725897908092e-35
as.factor(year)2009,0.032560881105297,1.03309678730371,0.00328538739693569,0.00330936723652589,9.83900509617626,7.64632166397953e-23
as.factor(year)2010,0.0929233691819649,1.09737763909977,0.00332739429917606,0.00334729418932081,27.7607416397481,1.2927670343448e-169
as.factor(year)2011,0.0744097652577444,1.07724813392877,0.00337554793668244,0.00339586995586814,21.9118418033537,2.00315541640629e-106
as.factor(year)2012,0.0267616320634543,1.0271229404051,0.00322047504637256,0.0032551706221588,8.22126861224444,2.01361697268204e-16
as.factor(year)2013,-0.0038690650678719,0.996138410120607,0.0034311560131025,0.00346635594859335,-1.11617650502452,0.264346589380195
as.factor(year)2014,0.00212180495189984,1.00212405757295,0.00366359924671844,0.00369151113617075,0.574779507261844,0.565440427871828
as.factor(year)2015,0.0487132391454094,1.04991923183136,0.00371583191694094,0.00372097067270445,13.0915407376764,3.68065090123987e-39
as.factor(year)2016,,,0,0,,
as.factor(region)NORTHEAST,0.055305470712154,1.05686340618865,0.00186421861817117,0.001864857587464,29.65667249013,2.78208066273137e-193
as.factor(region)SOUTH,-0.0082101272314441,0.991823483816575,0.00212716892008019,0.00211361131961064,-3.88440729630297,0.000102579822539363
as.factor(region)WEST,-0.174651756178957,0.839749407397685,0.00332195104809105,0.00330537273522882,-52.8387477507484,0
