rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),5.54456112931566e-05,1.00005544714843,4.41530755460515e-05,0.000247795475184433,0.223755543768056,0.822947523804969
mean_bmi,0.00969041721538899,1.00973752133821,0.000554181331979232,0.00265546392655026,3.64923700092507,0.000263020363072284
smoke_rate,-0.0301614822914237,0.970288836432294,0.00686228006292801,0.0335535375039855,-0.898906182033447,0.368702634844343
hispanic,-0.0668854586561945,0.935302325986842,0.0036792518785406,0.0174975433310108,-3.82256282444254,0.000132071814422867
pct_blk,-0.0193891154532489,0.980797644461509,0.00318723017261802,0.0150647770511674,-1.28704961164668,0.198076996591028
medhouseholdincome,-7.55271881974868e-08,0.999999924472815,3.58293530303005e-08,1.82277546295899e-07,-0.414352671145136,0.678615845072354
medianhousevalue,-1.26364383067128e-07,0.999999873635625,4.66107858386637e-09,2.43864697818443e-08,-5.1817415229656,2.19823704024006e-07
poverty,-0.0905081485650681,0.913466890426232,0.00935780063813234,0.0451504064454556,-2.00459211091283,0.0450066707261957
education,0.033900347568043,1.03448151299285,0.00511141678783301,0.0241509752551067,1.4036844148095,0.160412845436403
popdensity,-2.39693373113954e-07,0.999999760306656,3.78914892894383e-08,2.15249667880091e-07,-1.11355978141383,0.265468088436161
pct_owner_occ,0.0293245690361403,1.0297587680518,0.0039082700590792,0.0191618121407526,1.53036512521559,0.125926376339262
summer_tmmx,0.00139373247896856,1.00139470417546,0.000229171299447289,0.00114193724175219,1.22049831462719,0.222276028057119
winter_tmmx,-0.00411056140200634,0.995897875391569,0.000126301347804903,0.000622869422695447,-6.59939507741128,4.12838803378115e-11
summer_rmax,-0.000791757517454752,0.999208555839822,6.73628926440505e-05,0.000342539446125137,-2.31143457026992,0.0208088632964165
winter_rmax,0.000328162633665019,1.00032821648491,6.8155128239843e-05,0.000341251974628489,0.961643178833704,0.336228873923713
as.factor(year)2001,0.0536066241013957,1.05506948160581,0.00421089951683201,0.0168330478733059,3.18460593143123,0.00144951247765459
as.factor(year)2002,0.106882609891889,1.11280361467493,0.00321932220873696,0.0149905578577038,7.12999548825732,1.00372217375881e-12
as.factor(year)2003,0.0411415133360841,1.04199955194521,0.00293974383611397,0.0138967912004882,2.96050453248795,0.00307135602412747
as.factor(year)2004,0.00765661713740107,1.00768600398379,0.00269312825640123,0.0129719264843319,0.590245184217556,0.555026283425293
as.factor(year)2005,0.0147709077050264,1.01488053667029,0.0025088339401857,0.0121654708462332,1.21416654494717,0.224684132975925
as.factor(year)2006,9.11523401522181e-05,1.00009115649465,0.00232524667416987,0.0113820859884931,0.00800840375343939,0.99361028658874
as.factor(year)2007,-0.0189436759317892,0.981234627812508,0.00224260112574423,0.0110106498096703,-1.72048664331796,0.0853440195150619
as.factor(year)2008,-0.00728489485270322,0.992741575676461,0.00223406783009768,0.0109194813777072,-0.667146597967171,0.504678497960085
as.factor(year)2009,-0.040008985390311,0.960780806122991,0.00220362921355209,0.0108002763368504,-3.70444089970188,0.00021185749314278
as.factor(year)2010,-0.0215440486947179,0.978686366662678,0.00219923184176768,0.0108973038772857,-1.97700724301396,0.0480408114856205
as.factor(year)2011,-0.0222831444164858,0.977963291000105,0.00225487388274409,0.0111270653012865,-2.00260749920372,0.0452194343100008
as.factor(year)2012,-0.00415627022127817,0.995852355115916,0.00216053096215795,0.0105558151940492,-0.393742230692068,0.693771359155186
as.factor(year)2013,0.00645293935268642,1.00647380442203,0.00214224583222965,0.0104980047236287,0.614682458483019,0.538764446516145
as.factor(year)2014,-0.0124574095766202,0.987619862746243,0.00220178096924024,0.0108753747388219,-1.14546945514906,0.252014741389117
as.factor(year)2015,0.0142761934359343,1.01437858495895,0.00216897785890254,0.0108822279264351,1.31188149452876,0.189560122316861
as.factor(year)2016,,,0,0,,
as.factor(region)NORTHEAST,-0.00280216022131359,0.997201762165066,0.00146115057913117,0.0065943352650161,-0.424934448841182,0.670884461134822
as.factor(region)SOUTH,0.0620805876170856,1.06404809037304,0.00160224528478722,0.00746454850946648,8.31672371588925,9.04282179252419e-17
as.factor(region)WEST,0.0502171132133396,1.05149936600113,0.00227961762478109,0.0111663652936493,4.4971762872472,6.8861890504818e-06
