rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.00627337808644045,1.00629309693578,0.000210206331839484,0.000914886199687764,6.85700373290301,7.03197943083853e-12
mean_bmi,0.00383218076200634,1.00383953295535,0.000580693577755418,0.00213461941667039,1.79525246143588,0.072613485418647
smoke_rate,0.0290644696575357,1.02949096326556,0.00733997482053925,0.0280088856349435,1.03768746948202,0.299415580532818
hispanic,-0.0550410273484208,0.946446316974115,0.00370719230937399,0.0146098267281029,-3.76739768190035,0.000164958114242945
pct_blk,-0.00254122169537925,0.99746200447509,0.00304596828421254,0.0113968142986231,-0.222976494026603,0.823553801019333
medhouseholdincome,2.51672826028898e-08,1.00000002516728,3.93848649129992e-08,1.6276307921298e-07,0.154625254846387,0.877116758960233
medianhousevalue,-9.25360222145475e-08,0.999999907463982,5.18913771595092e-09,2.24557118321868e-08,-4.12082337474208,3.77520771555965e-05
poverty,-0.0608850513115671,0.940931392389351,0.00959011195305329,0.0376798267545091,-1.61585274020086,0.106126155572105
education,0.0313601294028366,1.03185703904142,0.00525983034319402,0.0206651861979673,1.51753432572126,0.129131833841922
popdensity,-1.50081326464723e-06,0.999998499187862,5.23527663534807e-08,2.25382130496659e-07,-6.65897185965892,2.75749720371435e-11
pct_owner_occ,0.0404217333174403,1.04124981134481,0.00420942000902058,0.0165855559511658,2.43716480993807,0.0148029308901543
summer_tmmx,0.00277654173217417,1.00278039989413,0.000253714843712141,0.00107119606129809,2.59200143884912,0.0095419372513704
winter_tmmx,-0.00261181215349713,0.997391595660363,0.000138035137497834,0.000576377379188312,-4.53142723466219,5.85865174970886e-06
summer_rmax,-0.00089848780993394,0.999101915709377,7.63496349746014e-05,0.000332095447798735,-2.70551076773104,0.00681994372192955
winter_rmax,0.0016500814638968,1.00165144359742,7.01068668466201e-05,0.000307418296685266,5.36754474827549,7.98157094694455e-08
as.factor(year)2001,-0.00276357388470923,0.997240241270302,0.00446017014735877,0.0134707923785433,-0.20515303087227,0.837452564809777
as.factor(year)2002,0.0221045520380628,1.02235066772884,0.00364020168419072,0.0128144864401414,1.72496589241534,0.084533619400286
as.factor(year)2003,-0.0085760924109343,0.99146057736691,0.00321738397505296,0.0117356789204965,-0.730770879898227,0.464919113153331
as.factor(year)2004,-0.0261876682089009,0.974152255044267,0.00302382804530301,0.0114485901426185,-2.2874142477522,0.0221716554509832
as.factor(year)2005,-0.0216810675893958,0.978552277325077,0.0027181864028105,0.0106219676443338,-2.041153608763,0.0412355612165764
as.factor(year)2006,-0.0177082841365045,0.982447586106052,0.00261821227867044,0.0103123113328175,-1.71719836271335,0.0859429346123827
as.factor(year)2007,-0.0391779746072076,0.961579557172479,0.00259979328254221,0.0102179874698848,-3.83421634863773,0.000125965237174318
as.factor(year)2008,-0.0120281435941127,0.988043905363993,0.00239512059333063,0.00939548787954492,-1.28020425850363,0.200473308633485
as.factor(year)2009,-0.0505684335882732,0.950688867395637,0.0021870258489825,0.00879142083870094,-5.75202057961605,8.81830614938735e-09
as.factor(year)2010,-0.0440728384034103,0.956884257013113,0.0021873035147946,0.00905089777344769,-4.86944383933992,1.11912783789597e-06
as.factor(year)2011,-0.0310880824074772,0.969390183094292,0.0022567994392907,0.00918820464065159,-3.38347736291522,0.000715741076059521
as.factor(year)2012,-0.0233301482246788,0.976939895553108,0.00202473996984247,0.00848759635299029,-2.74873441836797,0.00598258385590908
as.factor(year)2013,-0.00421428475794498,0.995794582878777,0.00192650102564191,0.00829314850862192,-0.508164631751575,0.611337892236094
as.factor(year)2014,-0.0357841611567792,0.964848522799372,0.00213977961672686,0.00903030301638962,-3.9626755704468,7.41144661132829e-05
as.factor(year)2015,0.0114933111819796,1.0115596130488,0.00203858440349146,0.0088662191453826,1.29630353068423,0.194870932670866
as.factor(year)2016,,,0,0,,
as.factor(region)NORTHEAST,0.0244178601636543,1.02471841744713,0.00151001176715174,0.00546364822115277,4.46914939895278,7.85312668542229e-06
as.factor(region)SOUTH,0.0420290092375382,1.04292473276325,0.00161619213724764,0.00625258955205229,6.72185642247107,1.79423710408335e-11
as.factor(region)WEST,0.00973739674354501,1.00978495944483,0.00251774660124376,0.0103823447460738,0.937880313329737,0.348305921353066
