rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
pm25,0.0131172953520867,1.0132037044754,0.000306455561469945,0.000303712133877177,43.1898955916966,0
no2,0.00587968861542064,1.00589700791191,9.09531175646677e-05,9.01992507620953e-05,65.1855593671015,0
ozone_summer,-0.000274339171469568,0.99972569845608,0.000138390753665113,0.000137453180977988,-1.99587357322419,0.04594768588358
mean_bmi,0.0222388701469745,1.02248799715988,0.000707133790782608,0.000700936877205931,31.7273507360932,6.5205045750298e-221
smoke_rate,0.192108377732657,1.21180184218449,0.00907747856153486,0.00900326677804876,21.3376302700531,5.08052004034425e-101
hispanic,-0.0169339581986859,0.983208615358841,0.00478423015676393,0.00474385077843616,-3.56966502312037,0.000357437994809841
pct_blk,0.0763862635608301,1.0793794185839,0.00388005286702941,0.00383365843965628,19.9251615038711,2.46250684858826e-88
medhouseholdincome,2.97162257669746e-07,1.0000002971623,5.71449974759158e-08,5.6948732951943e-08,5.21806618455428,1.80800863449234e-07
medianhousevalue,1.19889899949439e-07,1.00000011988991,7.77046288508646e-09,7.7335951580664e-09,15.5024794418401,3.33759568753598e-54
poverty,-0.023680526136518,0.976597657352366,0.0125128762158939,0.0124706971769714,-1.89889352619731,0.0575784767011037
education,0.349578353272069,1.4184693295321,0.00656526882895984,0.00651476132401029,53.6594260151466,0
popdensity,-3.22947647666719e-07,0.999999677052404,7.79210870693676e-08,7.91861640900424e-08,-4.07833428197754,4.53595166323985e-05
pct_owner_occ,0.0686852772195777,1.0710990568231,0.00547129253269752,0.0054390386165278,12.6282017948652,1.47613005813551e-36
summer_tmmx,-0.00175867755152936,0.998242868015651,0.000373178522453645,0.000370927089018396,-4.74130254596245,2.1234854982504e-06
winter_tmmx,0.0105238870465212,1.01057945791524,0.000193065339939149,0.000192267833372653,54.7355574872677,0
summer_rmax,0.000120070084705566,1.00012007729341,0.000112692515789375,0.000112508211897288,1.06721174108768,0.285876231868427
winter_rmax,0.000139547553285593,1.0001395572905,0.000107475090325206,0.000106238409469376,1.31353202652961,0.189003736399437
as.factor(year)2001,0.0696839846063561,1.0721693057069,0.00393716880776433,0.00393894107515968,17.691045201414,4.91551423263373e-70
as.factor(year)2002,0.04608882663811,1.04716742318763,0.00373111453242245,0.0037483108202433,12.295892429518,9.52984113008546e-35
as.factor(year)2003,0.0789669686118761,1.0821685759497,0.00367089910588008,0.00368555262649796,21.4260862927661,7.63334010247522e-102
as.factor(year)2004,0.0667156050907918,1.06899141922263,0.00356775964987448,0.00358773685937493,18.5954566083799,3.49722215660242e-77
as.factor(year)2005,0.0637776730071211,1.0658554039905,0.00351974720662037,0.00354366371760828,17.9976651537823,2.03206814464391e-72
as.factor(year)2006,0.0542666314567848,1.05576606507393,0.00336919675084193,0.00339653786642438,15.9770429746195,1.84702294759408e-57
as.factor(year)2007,0.0539836468347027,1.05546734178204,0.00338083113301366,0.00340592862408598,15.8499055009381,1.407924164575e-56
as.factor(year)2008,0.037334236418564,1.03803991360588,0.00331207343535826,0.00334311496635093,11.167500009524,5.88129308303389e-29
as.factor(year)2009,0.0316842991223378,1.03219159007106,0.00328995665127266,0.00331366173257207,9.56171802658458,1.15817873183869e-21
as.factor(year)2010,0.0804439075426339,1.08376805372391,0.00334206202017206,0.00336172378693671,23.9293626249813,1.51571528499093e-126
as.factor(year)2011,0.053744741995274,1.05521521564451,0.00340814388800808,0.00342801934973829,15.6780742790664,2.13633399674223e-55
as.factor(year)2012,0.0197413093543875,1.01993745761688,0.00322473500238863,0.00325929316801159,6.05692962760731,1.38744248588563e-09
as.factor(year)2013,-0.00857314741825691,0.99146349721535,0.0034338731210467,0.00346906815729628,-2.47131132325133,0.0134618567334748
as.factor(year)2014,0.00554589986064716,1.00556130683195,0.00366498884401271,0.00369292280966399,1.50176436023361,0.133157975626515
as.factor(year)2015,0.0400245960240245,1.04083637431402,0.0037186846093026,0.00372389018520442,10.7480602363218,6.05209677189439e-27
as.factor(year)2016,,,0,0,,
as.factor(region)NORTHEAST,0.0577434754075729,1.05944318761714,0.00187215277235863,0.00187256257322232,30.8366066017262,8.47048975473203e-209
as.factor(region)SOUTH,0.0205121935830221,1.02072401445032,0.00218502505163848,0.00217298177782013,9.4396528274615,3.74016559197554e-21
as.factor(region)WEST,-0.137860987468389,0.871219793797377,0.00350899172568624,0.00349946541511464,-39.3948706773754,0
