rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.0109007099445476,1.01096033915314,0.000191226613157898,0.00019018221222841,57.317189745673,0
mean_bmi,0.0237395134942446,1.02402353883252,0.000697006096466987,0.000690906771291718,34.3599375207473,1.00077320806263e-258
smoke_rate,0.130554065064149,1.13945954318155,0.00898185149236657,0.00891389449154144,14.6461308452814,1.42608633518585e-48
hispanic,0.015617037135241,1.01573962035726,0.00465642759259663,0.00461585003596712,3.38335019845785,0.000716072600228981
pct_blk,0.125547789250685,1.13376934965356,0.00380044856904538,0.0037482501070591,33.4950405295101,5.691562128304e-246
medhouseholdincome,1.20617900224997e-06,1.00000120617973,5.58045852774102e-08,5.57448521462414e-08,21.6374957652713,7.97167361341593e-104
medianhousevalue,9.34591070028853e-08,1.00000009345911,7.73283045056072e-09,7.71337532571796e-09,12.116499334769,8.63700921768436e-34
poverty,-0.1074257612704,0.898143196985799,0.0124728981991369,0.0124355550340275,-8.63859803414086,5.69070151752702e-18
education,0.406166820017603,1.50105293725026,0.00642562407439054,0.00637814960473753,63.6809804078462,0
popdensity,1.04609441987722e-06,1.00000104609497,7.42029790882442e-08,7.5729047682451e-08,13.8136481560382,2.10875806332491e-43
pct_owner_occ,-0.0271329715457384,0.973231820780318,0.00534504391689358,0.00532011942366018,-5.10006813476213,3.39531235723152e-07
summer_tmmx,-0.00420297973293672,0.995805840425072,0.00034289569807209,0.000340801171515098,-12.3326446157786,6.0430288939766e-35
winter_tmmx,0.0113671008569106,1.01143195183746,0.000178112970095251,0.000177352495038955,64.0932672213819,0
summer_rmax,0.000962135345520421,1.00096259834621,0.000104426301091247,0.000104577568439284,9.20020765331738,3.57258692970495e-20
winter_rmax,-0.000534733178370969,0.999465409765935,0.000104503368679757,0.000103383282108318,-5.17233703037895,2.31184107853635e-07
as.factor(year)2001,0.17413473036146,1.19021591323849,0.00369482402489433,0.00371111552742268,46.9224762944511,0
as.factor(year)2002,0.136573714958896,1.14633937702136,0.00351277115428386,0.00354274509798163,38.550251621745,0
as.factor(year)2003,0.176024544629752,1.19246732696051,0.00344927319002702,0.00348083949786326,50.5695665478992,0
as.factor(year)2004,0.154305531141187,1.16684734052135,0.00337448263373629,0.00340928657979403,45.2603580044331,0
as.factor(year)2005,0.151456619487733,1.16352782628171,0.00329791065657243,0.00333730236617386,45.3829479231078,0
as.factor(year)2006,0.121434372421291,1.12911526239281,0.00320744422077295,0.00325125802715203,37.3499646620364,2.53878180549245e-305
as.factor(year)2007,0.118389375634063,1.12568233931879,0.00319083814975445,0.00323347324230332,36.6136865105863,1.73230736737477e-293
as.factor(year)2008,0.0936820691737008,1.09821053542475,0.0031943952893254,0.00324231969211084,28.8935324303913,1.43959303603364e-183
as.factor(year)2009,0.0822146444475516,1.08568882189867,0.00321528881360236,0.0032559436309645,25.2506350741697,1.11451824361347e-140
as.factor(year)2010,0.119582837922451,1.12702660074257,0.0032749956823936,0.00331517424900464,36.0713582275063,6.38053358969263e-285
as.factor(year)2011,0.0980450863207606,1.10301251476348,0.00333191629047817,0.00337170215564855,29.0788099881561,6.65422441199895e-186
as.factor(year)2012,0.0497625142797703,1.05102146414576,0.00317837329718228,0.00323359341588683,15.3892304565207,1.93317710056805e-53
as.factor(year)2013,0.0161476341769985,1.01627871180253,0.00340079544260272,0.00345651063555832,4.6716575991065,2.98778722895519e-06
as.factor(year)2014,0.0337340785109917,1.03430952502568,0.00361377506340989,0.00366377829890196,9.20745628115704,3.33944567522001e-20
as.factor(year)2015,0.0583231141556419,1.06005745995089,0.00368797380768458,0.00371686155709327,15.6914948969078,1.72934538656818e-55
as.factor(year)2016,,,0,0,,
as.factor(region)NORTHEAST,0.0290269181668932,1.02945230507113,0.0018227987042599,0.00182137821934671,15.9367877899103,3.51988038585184e-57
as.factor(region)SOUTH,-0.0282904613840489,0.972105966545563,0.00209471879402231,0.00208296946966148,-13.5817935865602,5.13533124684969e-42
as.factor(region)WEST,-0.195146183424132,0.822714382059602,0.0033004489040117,0.0032972967846666,-59.1836877807357,0
