rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
pm25,0.00144420970389747,1.00144525307695,0.000269222707395221,0.000265722217656548,5.43503556696995,5.47855033711296e-08
ox,0.00107328009051138,1.0010738562617,0.000190401663505255,0.000188086266931637,5.70631821249064,1.15446080062161e-08
mean_bmi,0.00160354769000254,1.00160483406009,0.000651403317407944,0.000646766844760017,2.47932883850522,0.0131629888954129
smoke_rate,0.0735132970061134,1.07628284791635,0.00835554061109831,0.0082834172659323,8.87475478368762,7.00876635214035e-19
hispanic,-0.0654886231620064,0.936609702355861,0.00435603758994252,0.0043626845708412,-15.011083679923,6.21243690556444e-51
pct_blk,0.00283411987873174,1.00283813979322,0.00356473824113874,0.00354276208888433,0.799974654697814,0.423725481955559
medhouseholdincome,6.59203421337642e-07,1.00000065920364,5.07669340465999e-08,4.98995736523733e-08,13.2106022774864,7.62121831388543e-40
medianhousevalue,-2.49004207174181e-07,0.999999750995824,7.0479661938854e-09,6.95666708155981e-09,-35.7936069463812,1.38865722813076e-280
poverty,-0.165277930875577,0.847658080993325,0.0116143696968293,0.011497517305294,-14.3750973785858,7.41656695821073e-47
education,0.040754237427563,1.04159608875288,0.00616521887148039,0.00609579554500582,6.68563063289619,2.29932306080228e-11
popdensity,-1.03404054565445e-06,0.999998965959989,7.37009032264957e-08,7.27754393298273e-08,-14.2086472466082,8.0974604391612e-46
pct_owner_occ,-0.0107461936575354,0.989311340406371,0.00500845494285298,0.00493412619442234,-2.17793247154546,0.0294110645864449
summer_tmmx,0.000317909813526455,1.00031796035221,0.000316323902362421,0.000313644622523712,1.01359880162594,0.310774229741822
winter_tmmx,9.4632434263706e-05,1.00009463691205,0.0001635350654018,0.000162359922393503,0.582855872734102,0.559990328540153
summer_rmax,-0.00128031356348451,0.998720505688255,9.9778916307852e-05,9.92121268751844e-05,-12.9048091580098,4.2286180581625e-38
winter_rmax,0.00114870733417777,1.00114936735115,9.67090241066761e-05,9.6168975258465e-05,11.9446768678827,6.92188473461577e-33
as.factor(year)2001,0.0647243472875026,1.06686489964446,0.00400345692440828,0.00397481499847328,16.2836125234415,1.29022296068482e-59
as.factor(year)2002,0.0528103611865985,1.0542297032916,0.00356559185624595,0.00354068301684637,14.9153033285752,2.62083564520056e-50
as.factor(year)2003,0.0214665579950639,1.02169862211569,0.00339404718854836,0.00336970389425673,6.37045825648098,1.88464234088869e-10
as.factor(year)2004,-0.033810030779468,0.966755140914899,0.00326189609929842,0.00323971742785248,-10.4361048555644,1.69628806048276e-25
as.factor(year)2005,-0.0316548071863986,0.968840961300589,0.0031646675180042,0.00314276998108263,-10.0722634417852,7.32721015440612e-24
as.factor(year)2006,-0.067923243071895,0.934332187293442,0.00299042935586242,0.00297344807288267,-22.8432585358874,1.70523125707603e-115
as.factor(year)2007,-0.0820822190964834,0.921196215662094,0.00298223858317501,0.00296473870155285,-27.68615630561,1.02495212175436e-168
as.factor(year)2008,-0.0658082878263121,0.936310349178638,0.00285812165573382,0.00284122175900688,-23.1619681278643,1.10130826812101e-118
as.factor(year)2009,-0.116642425340711,0.889903343163564,0.00283714697219947,0.00282064418567416,-41.3531156936167,0
as.factor(year)2010,-0.106690262688575,0.898804023021974,0.00284590940863019,0.00282819581071964,-37.7237892384218,1.11354889604643e-308
as.factor(year)2011,-0.086445097352582,0.917185903336662,0.00287696388160603,0.0028568471202396,-30.258916110755,3.98258115452712e-201
as.factor(year)2012,-0.0944130357243487,0.909906860576455,0.00272872543496459,0.00270585518242266,-34.8921244335837,9.78816387122919e-267
as.factor(year)2013,-0.0631960913627441,0.938759373034702,0.00274009690285613,0.00271279632893757,-23.2955532594273,4.91809959997237e-120
as.factor(year)2014,-0.0790665164231184,0.923978462658626,0.00288546910529473,0.00285369757943377,-27.7066907835437,5.79943154813794e-169
as.factor(year)2015,-0.0259222453809527,0.974410851607851,0.0028682375663075,0.00283400067796972,-9.1468733873146,5.86051414708794e-20
as.factor(year)2016,,,0,0,,
as.factor(region)NORTHEAST,0.0117640176418868,1.01183348583853,0.00169015911482464,0.00166737279214426,7.05542137745825,1.72078457872322e-12
as.factor(region)SOUTH,0.0346237207000307,1.03523009984605,0.00192978127818416,0.00191043020064778,18.1235203925748,2.07859565822388e-73
as.factor(region)WEST,0.0366354542629817,1.03731480321408,0.00300211791054065,0.00298553375528719,12.2709898014393,1.29658544734151e-34
