rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|)
get(pollutants_i),0.00143807978523247,1.00143911431782,0.000177791475832321,0.000175497480353569,8.19430445574043,2.5204635652513e-16
mean_bmi,0.00207720423415225,1.00207936311742,0.000645308243677312,0.000640618442971593,3.24249833413609,0.00118486640955951
smoke_rate,0.0678312104892367,1.07018465728846,0.00828747042943969,0.00821539618117883,8.25659639453975,1.49885186370871e-16
hispanic,-0.0672479180775011,0.934963378278124,0.00434328216882073,0.00434986078250782,-15.4597862873972,6.48132067929542e-54
pct_blk,0.00300720900183119,1.00301173519075,0.00356463617461213,0.00354276825618718,0.848830288738001,0.395975733601951
medhouseholdincome,6.90137405018566e-07,1.00000069013764,5.04325826838915e-08,4.95712353626364e-08,13.9221344791973,4.64812619019492e-44
medianhousevalue,-2.50244269421188e-07,0.999999749755762,7.04450063509798e-09,6.95329313372125e-09,-35.9893168040886,1.22916519367615e-283
poverty,-0.170751150913242,0.843031334948872,0.0115704393604736,0.0114540530424614,-14.9074873566806,2.9463284773992e-50
education,0.0471346137940529,1.0482631102568,0.0060488037443278,0.00598188293769195,7.87956138309843,3.28532273092651e-15
popdensity,-1.00750769663413e-06,0.999998992492811,7.35102563812522e-08,7.25979255194462e-08,-13.8779130316094,8.62178919139377e-44
pct_owner_occ,-0.0150044967305057,0.985107509830112,0.00494459956728463,0.00487225086648994,-3.07958213599031,0.00207291203875325
summer_tmmx,0.000544660910190979,1.00054480926488,0.000313454769422497,0.000310920191054374,1.75177079476234,0.0798132279964643
winter_tmmx,2.21362771685182e-05,1.00002213652218,0.000162921102715188,0.000161801663793802,0.136811183825207,0.891180043357032
summer_rmax,-0.00112434306699494,0.998876288769848,9.54335197322259e-05,9.49070584113767e-05,-11.8467802691919,2.23618561471269e-32
winter_rmax,0.00110963251468564,1.00111024838462,9.64259027333142e-05,9.5843877036115e-05,11.5775002952721,5.35858604780531e-31
as.factor(year)2001,0.0708519139365843,1.07342225522182,0.00383664634951463,0.00381260019747599,18.5836201717373,4.36071471791258e-77
as.factor(year)2002,0.0585475454087244,1.06029539667419,0.00340105573588997,0.00337993824154053,17.3220755010125,3.2058360347236e-67
as.factor(year)2003,0.0270632208814927,1.02743275591477,0.00322942999310995,0.00320949719335417,8.43223073618256,3.39137463461354e-17
as.factor(year)2004,-0.0283270207958814,0.972070427572833,0.00309738835296004,0.00307992622351638,-9.19730498074728,3.6703955641928e-20
as.factor(year)2005,-0.0257615735294426,0.974567424581608,0.00296766660906864,0.0029508860222005,-8.73011473016229,2.54414408914906e-18
as.factor(year)2006,-0.0629379335442505,0.939001752391252,0.0028422095225614,0.0028292613090463,-22.2453590069649,1.25087214644798e-109
as.factor(year)2007,-0.0764382247721065,0.926410141718813,0.00279026793987361,0.00277791027271556,-27.516448433514,1.11601748965622e-166
as.factor(year)2008,-0.0616325818825723,0.940228280239976,0.00275002305909101,0.00273622637693454,-22.5246647726643,2.37953529662537e-112
as.factor(year)2009,-0.113181974556139,0.892988144208404,0.00276273655063786,0.00274875278441434,-41.1757562185622,0
as.factor(year)2010,-0.104196180875693,0.901048511594727,0.00280753925303044,0.00279111315268018,-37.3314069247381,5.07912637512081e-305
as.factor(year)2011,-0.0842823181318252,0.919171720618072,0.00284850973942478,0.00282881921566589,-29.7941691236658,4.64879863391632e-195
as.factor(year)2012,-0.0925403150393474,0.911612458531494,0.00270629667147457,0.00268400278985052,-34.4784720005829,1.68647828841679e-260
as.factor(year)2013,-0.0617239603329442,0.940142367562075,0.00272630622218823,0.00269958019335481,-22.8642810778067,1.05373397177061e-115
as.factor(year)2014,-0.0767253219346789,0.92614421017167,0.00285215264682614,0.00282140584389469,-27.1940040461413,7.64694763730893e-163
as.factor(year)2015,-0.0249871423994881,0.975322452254175,0.00286290124226197,0.00282872528086083,-8.83335775607171,1.01579484026627e-18
as.factor(year)2016,,,0,0,,
as.factor(region)NORTHEAST,0.00970707498456975,1.00975434145287,0.00164638089510826,0.00162462565655705,5.9749610289556,2.30145193045137e-09
as.factor(region)SOUTH,0.0328639000259676,1.03340988261165,0.00190162917448255,0.00188242885532279,17.4582428085083,2.97965531306129e-68
as.factor(region)WEST,0.035097746043734,1.03572094147644,0.00298765938617867,0.00297058182756038,11.8151083124878,3.26128344224656e-32
